Iteration,phi,lnL
     1,           0.9800010,       -5148.8623000,
     2,           0.9800020,       -5148.7290000,
     3,           0.9800030,       -5148.5990000,
     4,           0.9800040,       -5148.4720000,
     5,           0.9800050,       -5148.3390000,
     6,           0.9800060,       -5148.2200000,
     7,           0.9800070,       -5148.0903000,
     8,           0.9800080,       -5147.9570000,
     9,           0.9800090,       -5147.8290000,
    10,           0.9800100,       -5147.7080000,
    11,           0.9800110,       -5147.5751000,
    12,           0.9800120,       -5147.4462000,
    13,           0.9800130,       -5147.3190000,
    14,           0.9800140,       -5147.1914000,
    15,           0.9800150,       -5147.0690000,
    16,           0.9800160,       -5146.9380000,
    17,           0.9800170,       -5146.8081000,
    18,           0.9800180,       -5146.6743000,
    19,           0.9800190,       -5146.5550000,
    20,           0.9800200,       -5146.4290000,
    21,           0.9800210,       -5146.2940000,
    22,           0.9800220,       -5146.1630000,
    23,           0.9800230,       -5146.0380000,
    24,           0.9800240,       -5145.9130000,
    25,           0.9800250,       -5145.7851000,
    26,           0.9800260,       -5145.6550000,
    27,           0.9800270,       -5145.5230000,
    28,           0.9800280,       -5145.4010000,
    29,           0.9800290,       -5145.2734000,
    30,           0.9800300,       -5145.1391000,
    31,           0.9800310,       -5145.0083000,
    32,           0.9800320,       -5144.8842000,
    33,           0.9800330,       -5144.7563000,
    34,           0.9800340,       -5144.6293000,
    35,           0.9800350,       -5144.5020000,
    36,           0.9800360,       -5144.3660000,
    37,           0.9800370,       -5144.2470000,
    38,           0.9800380,       -5144.1170000,
    39,           0.9800390,       -5143.9850000,
    40,           0.9800400,       -5143.8564000,
    41,           0.9800410,       -5143.7280000,
    42,           0.9800420,       -5143.6040000,
    43,           0.9800430,       -5143.4770000,
    44,           0.9800440,       -5143.3471000,
    45,           0.9800450,       -5143.2182000,
    46,           0.9800460,       -5143.0950000,
    47,           0.9800470,       -5142.9643000,
    48,           0.9800480,       -5142.8320000,
    49,           0.9800490,       -5142.7001000,
    50,           0.9800500,       -5142.5751000,
    51,           0.9800510,       -5142.4472000,
    52,           0.9800520,       -5142.3210000,
    53,           0.9800530,       -5142.1904000,
    54,           0.9800540,       -5142.0600000,
    55,           0.9800550,       -5141.9390000,
    56,           0.9800560,       -5141.8090000,
    57,           0.9800570,       -5141.6782000,
    58,           0.9800580,       -5141.5483000,
    59,           0.9800590,       -5141.4194000,
    60,           0.9800600,       -5141.2963000,
    61,           0.9800610,       -5141.1660000,
    62,           0.9800620,       -5141.0380000,
    63,           0.9800630,       -5140.9060000,
    64,           0.9800640,       -5140.7820000,
    65,           0.9800650,       -5140.6550000,
    66,           0.9800660,       -5140.5210000,
    67,           0.9800670,       -5140.3950000,
    68,           0.9800680,       -5140.2651000,
    69,           0.9800690,       -5140.1401000,
    70,           0.9800700,       -5140.0131000,
    71,           0.9800710,       -5139.8842000,
    72,           0.9800720,       -5139.7514000,
    73,           0.9800730,       -5139.6293000,
    74,           0.9800740,       -5139.5000000,
    75,           0.9800750,       -5139.3681000,
    76,           0.9800760,       -5139.2410000,
    77,           0.9800770,       -5139.1152000,
    78,           0.9800780,       -5138.9873000,
    79,           0.9800790,       -5138.8600000,
    80,           0.9800800,       -5138.7314000,
    81,           0.9800810,       -5138.5960000,
    82,           0.9800820,       -5138.4780000,
    83,           0.9800830,       -5138.3440000,
    84,           0.9800840,       -5138.2130000,
    85,           0.9800850,       -5138.0880000,
    86,           0.9800860,       -5137.9560000,
    87,           0.9800870,       -5137.8310000,
    88,           0.9800880,       -5137.7040000,
    89,           0.9800890,       -5137.5771000,
    90,           0.9800900,       -5137.4423000,
    91,           0.9800910,       -5137.3203000,
    92,           0.9800920,       -5137.1904000,
    93,           0.9800930,       -5137.0551000,
    94,           0.9800940,       -5136.9290000,
    95,           0.9800950,       -5136.8002000,
    96,           0.9800960,       -5136.6760000,
    97,           0.9800970,       -5136.5502000,
    98,           0.9800980,       -5136.4180000,
    99,           0.9800990,       -5136.2871000,
   100,           0.9801000,       -5136.1640000,
   101,           0.9801010,       -5136.0380000,
   102,           0.9801020,       -5135.9062000,
   103,           0.9801030,       -5135.7744000,
   104,           0.9801040,       -5135.6480000,
   105,           0.9801050,       -5135.5224000,
   106,           0.9801060,       -5135.3940000,
   107,           0.9801070,       -5135.2670000,
   108,           0.9801080,       -5135.1330000,
   109,           0.9801090,       -5135.0110000,
   110,           0.9801100,       -5134.8840000,
   111,           0.9801110,       -5134.7490000,
   112,           0.9801120,       -5134.6210000,
   113,           0.9801130,       -5134.4921000,
   114,           0.9801140,       -5134.3680000,
   115,           0.9801150,       -5134.2373000,
   116,           0.9801160,       -5134.1083000,
   117,           0.9801170,       -5127.1850000,
   118,           0.9801180,       -5127.0650000,
   119,           0.9801190,       -5126.9350000,
   120,           0.9801200,       -5126.8032000,
   121,           0.9801210,       -5126.6743000,
   122,           0.9801220,       -5126.5430000,
   123,           0.9801230,       -5126.4204000,
   124,           0.9801240,       -5126.2934000,
   125,           0.9801250,       -5126.1621000,
   126,           0.9801260,       -5126.0292000,
   127,           0.9801270,       -5125.9052000,
   128,           0.9801280,       -5125.7760000,
   129,           0.9801290,       -5125.6474000,
   130,           0.9801300,       -5125.5170000,
   131,           0.9801310,       -5125.3974000,
   132,           0.9801320,       -5125.2631000,
   133,           0.9801330,       -5125.1350000,
   134,           0.9801340,       -5125.0020000,
   135,           0.9801350,       -5124.8701000,
   136,           0.9801360,       -5124.7500000,
   137,           0.9801370,       -5124.6190000,
   138,           0.9801380,       -5124.4892000,
