Iteration,phi,lnL
     1,           0.9800010,       -2820.0100000,
     2,           0.9800020,       -2819.9482000,
     3,           0.9800030,       -2819.8870000,
     4,           0.9800040,       -2819.8281000,
     5,           0.9800050,       -2819.7670000,
     6,           0.9800060,       -2819.7110000,
     7,           0.9800070,       -2819.6520000,
     8,           0.9800080,       -2819.5910000,
     9,           0.9800090,       -2819.5300000,
    10,           0.9800100,       -2819.4750000,
    11,           0.9800110,       -2819.4121000,
    12,           0.9800120,       -2819.3522000,
    13,           0.9800130,       -2819.2940000,
    14,           0.9800140,       -2819.2331000,
    15,           0.9800150,       -2819.1770000,
    16,           0.9800160,       -2819.1150000,
    17,           0.9800170,       -2819.0561000,
    18,           0.9800180,       -2818.9940000,
    19,           0.9800190,       -2818.9392000,
    20,           0.9800200,       -2818.8820000,
    21,           0.9800210,       -2818.8180000,
    22,           0.9800220,       -2818.7590000,
    23,           0.9800230,       -2818.6990000,
    24,           0.9800240,       -2818.6420000,
    25,           0.9800250,       -2818.5820000,
    26,           0.9800260,       -2818.5224000,
    27,           0.9800270,       -2818.4602000,
    28,           0.9800280,       -2818.4040000,
    29,           0.9800290,       -2818.3444000,
    30,           0.9800300,       -2818.2830000,
    31,           0.9800310,       -2818.2233000,
    32,           0.9800320,       -2818.1650000,
    33,           0.9800330,       -2818.1054000,
    34,           0.9800340,       -2818.0470000,
    35,           0.9800350,       -2817.9873000,
    36,           0.9800360,       -2817.9270000,
    37,           0.9800370,       -2817.8701000,
    38,           0.9800380,       -2817.8110000,
    39,           0.9800390,       -2817.7500000,
    40,           0.9800400,       -2817.6894000,
    41,           0.9800410,       -2817.6293000,
    42,           0.9800420,       -2817.5722000,
    43,           0.9800430,       -2817.5102000,
    44,           0.9800440,       -2817.4520000,
    45,           0.9800450,       -2817.3913000,
    46,           0.9800460,       -2817.3360000,
    47,           0.9800470,       -2817.2770000,
    48,           0.9800480,       -2817.2140000,
    49,           0.9800490,       -2817.1560000,
    50,           0.9800500,       -2817.0952000,
    51,           0.9800510,       -2817.0361000,
    52,           0.9800520,       -2816.9790000,
    53,           0.9800530,       -2816.9170000,
    54,           0.9800540,       -2816.8560000,
    55,           0.9800550,       -2816.8020000,
    56,           0.9800560,       -2816.7400000,
    57,           0.9800570,       -2816.6782000,
    58,           0.9800580,       -2816.6190000,
    59,           0.9800590,       -2816.5590000,
    60,           0.9800600,       -2816.5014000,
    61,           0.9800610,       -2816.4430000,
    62,           0.9800620,       -2816.3820000,
    63,           0.9800630,       -2816.3222000,
    64,           0.9800640,       -2816.2660000,
    65,           0.9800650,       -2816.2060000,
    66,           0.9800660,       -2816.1442000,
    67,           0.9800670,       -2816.0840000,
    68,           0.9800680,       -2816.0234000,
    69,           0.9800690,       -2815.9660000,
    70,           0.9800700,       -2815.9070000,
    71,           0.9800710,       -2815.8474000,
    72,           0.9800720,       -2815.7873000,
    73,           0.9800730,       -2815.7320000,
    74,           0.9800740,       -2815.6704000,
    75,           0.9800750,       -2815.6110000,
    76,           0.9800760,       -2815.5500000,
    77,           0.9800770,       -2815.4904000,
    78,           0.9800780,       -2815.4310000,
    79,           0.9800790,       -2815.3740000,
    80,           0.9800800,       -2815.3150000,
    81,           0.9800810,       -2815.2512000,
    82,           0.9800820,       -2815.1960000,
    83,           0.9800830,       -2815.1350000,
    84,           0.9800840,       -2815.0754000,
    85,           0.9800850,       -2815.0180000,
    86,           0.9800860,       -2814.9560000,
    87,           0.9800870,       -2814.8994000,
    88,           0.9800880,       -2814.8400000,
    89,           0.9800890,       -2814.7802000,
    90,           0.9800900,       -2814.7172000,
    91,           0.9800910,       -2814.6630000,
    92,           0.9800920,       -2814.6020000,
    93,           0.9800930,       -2814.5410000,
    94,           0.9800940,       -2814.4830000,
    95,           0.9800950,       -2814.4233000,
    96,           0.9800960,       -2814.3630000,
    97,           0.9800970,       -2814.3044000,
    98,           0.9800980,       -2814.2443000,
    99,           0.9800990,       -2814.1840000,
   100,           0.9801000,       -2814.1271000,
   101,           0.9801010,       -2814.0683000,
   102,           0.9801020,       -2814.0090000,
   103,           0.9801030,       -2813.9470000,
   104,           0.9801040,       -2813.8880000,
   105,           0.9801050,       -2813.8293000,
   106,           0.9801060,       -2813.7683000,
   107,           0.9801070,       -2813.7094000,
   108,           0.9801080,       -2813.6470000,
   109,           0.9801090,       -2813.5940000,
   110,           0.9801100,       -2813.5330000,
   111,           0.9801110,       -2813.4721000,
   112,           0.9801120,       -2813.4140000,
   113,           0.9801130,       -2813.3522000,
   114,           0.9801140,       -2813.2951000,
   115,           0.9801150,       -2813.2350000,
   116,           0.9801160,       -2813.1750000,
   117,           0.9801170,       -2813.1140000,
   118,           0.9801180,       -2813.0590000,
   119,           0.9801190,       -2812.9982000,
   120,           0.9801200,       -2812.9370000,
   121,           0.9801210,       -2812.8780000,
   122,           0.9801220,       -2812.8173000,
   123,           0.9801230,       -2812.7612000,
   124,           0.9801240,       -2812.7030000,
   125,           0.9801250,       -2812.6411000,
   126,           0.9801260,       -2812.5800000,
   127,           0.9801270,       -2812.5222000,
   128,           0.9801280,       -2812.4640000,
   129,           0.9801290,       -2812.4040000,
   130,           0.9801300,       -2812.3440000,
   131,           0.9801310,       -2812.2890000,
   132,           0.9801320,       -2812.2272000,
   133,           0.9801330,       -2812.1672000,
   134,           0.9801340,       -2812.1062000,
   135,           0.9801350,       -2812.0451000,
   136,           0.9801360,       -2811.9910000,
   137,           0.9801370,       -2811.9304000,
   138,           0.9801380,       -2811.8693000,
   139,           0.9801390,       -2811.8090000,
   140,           0.9801400,       -2811.7540000,
