Iteration,phi,lnL
     1,           0.9800010,       -7353.1113000,
     2,           0.9800020,       -7352.9090000,
     3,           0.9800030,       -7352.7133000,
     4,           0.9800040,       -7352.5230000,
     5,           0.9800050,       -7352.3203000,
     6,           0.9800060,       -7352.1390000,
     7,           0.9800070,       -7351.9430000,
     8,           0.9800080,       -7351.7440000,
     9,           0.9800090,       -7351.5440000,
    10,           0.9800100,       -7351.3642000,
    11,           0.9800110,       -7351.1630000,
    12,           0.9800120,       -7350.9672000,
    13,           0.9800130,       -7350.7714000,
    14,           0.9800140,       -7350.5771000,
    15,           0.9800150,       -7350.3901000,
    16,           0.9800160,       -7350.1890000,
    17,           0.9800170,       -7349.9980000,
    18,           0.9800180,       -7349.7990000,
    19,           0.9800190,       -7349.6171000,
    20,           0.9800200,       -7349.4204000,
    21,           0.9800210,       -7349.2221000,
    22,           0.9800220,       -7349.0240000,
    23,           0.9800230,       -7348.8334000,
    24,           0.9800240,       -7348.6401000,
    25,           0.9800250,       -7348.4490000,
    26,           0.9800260,       -7348.2534000,
    27,           0.9800270,       -7348.0510000,
    28,           0.9800280,       -7347.8671000,
    29,           0.9800290,       -7347.6733000,
    30,           0.9800300,       -7347.4731000,
    31,           0.9800310,       -7347.2790000,
    32,           0.9800320,       -7347.0810000,
    33,           0.9800330,       -7346.8920000,
    34,           0.9800340,       -7346.6962000,
    35,           0.9800350,       -7346.5040000,
    36,           0.9800360,       -7346.3012000,
    37,           0.9800370,       -7346.1191000,
    38,           0.9800380,       -7345.9240000,
    39,           0.9800390,       -7345.7220000,
    40,           0.9800400,       -7345.5270000,
    41,           0.9800410,       -7345.3330000,
    42,           0.9800420,       -7345.1411000,
    43,           0.9800430,       -7344.9440000,
    44,           0.9800440,       -7344.7520000,
    45,           0.9800450,       -7344.5551000,
    46,           0.9800460,       -7344.3680000,
    47,           0.9800470,       -7344.1760000,
    48,           0.9800480,       -7343.9750000,
    49,           0.9800490,       -7343.7783000,
    50,           0.9800500,       -7343.5893000,
    51,           0.9800510,       -7343.3930000,
    52,           0.9800520,       -7343.2000000,
    53,           0.9800530,       -7343.0043000,
    54,           0.9800540,       -7342.8020000,
    55,           0.9800550,       -7342.6210000,
    56,           0.9800560,       -7342.4252000,
    57,           0.9800570,       -7342.2260000,
    58,           0.9800580,       -7342.0310000,
    59,           0.9800590,       -7341.8360000,
    60,           0.9800600,       -7341.6450000,
    61,           0.9800610,       -7341.4500000,
    62,           0.9800620,       -7341.2563000,
    63,           0.9800630,       -7341.0551000,
    64,           0.9800640,       -7340.8691000,
    65,           0.9800650,       -7340.6801000,
    66,           0.9800660,       -7340.4730000,
    67,           0.9800670,       -7340.2800000,
    68,           0.9800680,       -7340.0840000,
    69,           0.9800690,       -7339.8940000,
    70,           0.9800700,       -7339.7010000,
    71,           0.9800710,       -7339.5010000,
    72,           0.9800720,       -7339.3060000,
    73,           0.9800730,       -7339.1220000,
    74,           0.9800740,       -7338.9230000,
    75,           0.9800750,       -7338.7230000,
    76,           0.9800760,       -7338.5253000,
    77,           0.9800770,       -7338.3344000,
    78,           0.9800780,       -7338.1401000,
    79,           0.9800790,       -7337.9480000,
    80,           0.9800800,       -7337.7560000,
    81,           0.9800810,       -7337.5463000,
    82,           0.9800820,       -7337.3613000,
    83,           0.9800830,       -7337.1610000,
    84,           0.9800840,       -7336.9633000,
    85,           0.9800850,       -7336.7690000,
    86,           0.9800860,       -7336.5693000,
    87,           0.9800870,       -7336.3803000,
    88,           0.9800880,       -7336.1810000,
    89,           0.9800890,       -7335.9863000,
    90,           0.9800900,       -7335.7851000,
    91,           0.9800910,       -7335.5970000,
    92,           0.9800920,       -7335.4023000,
    93,           0.9800930,       -7335.1970000,
    94,           0.9800940,       -7335.0004000,
    95,           0.9800950,       -7334.8071000,
    96,           0.9800960,       -7334.6142000,
    97,           0.9800970,       -7334.4180000,
    98,           0.9800980,       -7334.2180000,
    99,           0.9800990,       -7334.0151000,
   100,           0.9801000,       -7333.8260000,
   101,           0.9801010,       -7333.6300000,
   102,           0.9801020,       -7333.4270000,
   103,           0.9801030,       -7333.2270000,
   104,           0.9801040,       -7333.0253000,
   105,           0.9801050,       -7332.8320000,
   106,           0.9801060,       -7332.6320000,
   107,           0.9801070,       -7332.4360000,
   108,           0.9801080,       -7332.2294000,
   109,           0.9801090,       -7332.0420000,
   110,           0.9801100,       -7331.8420000,
   111,           0.9801110,       -7331.6391000,
   112,           0.9801120,       -7331.4390000,
   113,           0.9801130,       -7331.2370000,
   114,           0.9801140,       -7331.0473000,
   115,           0.9801150,       -7330.8500000,
   116,           0.9801160,       -7330.6464000,
   117,           0.9801170,       -7330.4470000,
   118,           0.9801180,       -7330.2600000,
   119,           0.9801190,       -7330.0610000,
   120,           0.9801200,       -7329.8560000,
   121,           0.9801210,       -7329.6562000,
   122,           0.9801220,       -7329.4560000,
   123,           0.9801230,       -7329.2650000,
   124,           0.9801240,       -7329.0630000,
   125,           0.9801250,       -7328.8642000,
   126,           0.9801260,       -7328.6610000,
   127,           0.9801270,       -7328.4721000,
   128,           0.9801280,       -7328.2720000,
   129,           0.9801290,       -7328.0710000,
   130,           0.9801300,       -7327.8710000,
   131,           0.9801310,       -7327.6860000,
   132,           0.9801320,       -7327.4760000,
   133,           0.9801330,       -7327.2810000,
   134,           0.9801340,       -7327.0780000,
   135,           0.9801350,       -7326.8700000,
   136,           0.9801360,       -7326.6880000,
   137,           0.9801370,       -7326.4920000,
   138,           0.9801380,       -7326.2851000,
