Iteration,phi,lnL
     1,           0.9800010,       -1145.6350000,
     2,           0.9800020,       -1145.6200000,
     3,           0.9800030,       -1145.6050000,
     4,           0.9800040,       -1145.5900000,
     5,           0.9800050,       -1145.5751000,
     6,           0.9800060,       -1145.5620000,
     7,           0.9800070,       -1145.5472000,
     8,           0.9800080,       -1145.5320000,
     9,           0.9800090,       -1145.5174000,
    10,           0.9800100,       -1145.5040000,
    11,           0.9800110,       -1145.4880000,
    12,           0.9800120,       -1145.4740000,
    13,           0.9800130,       -1145.4594000,
    14,           0.9800140,       -1145.4450000,
    15,           0.9800150,       -1145.4300000,
    16,           0.9800160,       -1145.4160000,
    17,           0.9800170,       -1145.4013000,
    18,           0.9800180,       -1145.3861000,
    19,           0.9800190,       -1145.3720000,
    20,           0.9800200,       -1145.3580000,
    21,           0.9800210,       -1145.3430000,
    22,           0.9800220,       -1145.3280000,
    23,           0.9800230,       -1145.3140000,
    24,           0.9800240,       -1145.2990000,
    25,           0.9800250,       -1145.2852000,
    26,           0.9800260,       -1145.2702000,
    27,           0.9800270,       -1145.2550000,
    28,           0.9800280,       -1145.2412000,
    29,           0.9800290,       -1145.2270000,
    30,           0.9800300,       -1145.2120000,
    31,           0.9800310,       -1145.1973000,
    32,           0.9800320,       -1145.1830000,
    33,           0.9800330,       -1145.1670000,
    34,           0.9800340,       -1145.1540000,
    35,           0.9800350,       -1145.1390000,
    36,           0.9800360,       -1145.1240000,
    37,           0.9800370,       -1145.1101000,
    38,           0.9800380,       -1145.0954000,
    39,           0.9800390,       -1145.0804000,
    40,           0.9800400,       -1145.0662000,
    41,           0.9800410,       -1145.0520000,
    42,           0.9800420,       -1145.0373000,
    43,           0.9800430,       -1145.0230000,
    44,           0.9800440,       -1145.0080000,
    45,           0.9800450,       -1144.9930000,
    46,           0.9800460,       -1144.9790000,
    47,           0.9800470,       -1144.9650000,
    48,           0.9800480,       -1144.9500000,
    49,           0.9800490,       -1144.9350000,
    50,           0.9800500,       -1144.9210000,
    51,           0.9800510,       -1144.9060000,
    52,           0.9800520,       -1144.8912000,
    53,           0.9800530,       -1144.8770000,
    54,           0.9800540,       -1144.8620000,
    55,           0.9800550,       -1144.8480000,
    56,           0.9800560,       -1144.8340000,
    57,           0.9800570,       -1144.8190000,
    58,           0.9800580,       -1144.8040000,
    59,           0.9800590,       -1144.7891000,
    60,           0.9800600,       -1144.7752000,
    61,           0.9800610,       -1144.7604000,
    62,           0.9800620,       -1144.7460000,
    63,           0.9800630,       -1144.7310000,
    64,           0.9800640,       -1144.7172000,
    65,           0.9800650,       -1144.7030000,
    66,           0.9800660,       -1144.6880000,
    67,           0.9800670,       -1144.6732000,
    68,           0.9800680,       -1144.6582000,
    69,           0.9800690,       -1144.6440000,
    70,           0.9800700,       -1144.6300000,
    71,           0.9800710,       -1144.6150000,
    72,           0.9800720,       -1144.6000000,
    73,           0.9800730,       -1144.5860000,
    74,           0.9800740,       -1144.5720000,
    75,           0.9800750,       -1144.5563000,
    76,           0.9800760,       -1144.5420000,
    77,           0.9800770,       -1144.5274000,
    78,           0.9800780,       -1144.5130000,
    79,           0.9800790,       -1144.4990000,
    80,           0.9800800,       -1144.4843000,
    81,           0.9800810,       -1144.4691000,
    82,           0.9800820,       -1144.4560000,
    83,           0.9800830,       -1144.4410000,
    84,           0.9800840,       -1144.4260000,
    85,           0.9800850,       -1144.4113000,
    86,           0.9800860,       -1144.3964000,
    87,           0.9800870,       -1144.3822000,
    88,           0.9800880,       -1144.3670000,
    89,           0.9800890,       -1144.3531000,
    90,           0.9800900,       -1144.3383000,
    91,           0.9800910,       -1144.3242000,
    92,           0.9800920,       -1144.3101000,
    93,           0.9800930,       -1144.2944000,
    94,           0.9800940,       -1144.2800000,
    95,           0.9800950,       -1144.2660000,
    96,           0.9800960,       -1144.2510000,
    97,           0.9800970,       -1144.2364000,
    98,           0.9800980,       -1144.2221000,
    99,           0.9800990,       -1144.2071000,
