Iteration,phi,lnL
     1,           0.9800010,       -1346.7020000,
     2,           0.9800020,       -1346.6660000,
     3,           0.9800030,       -1346.6292000,
     4,           0.9800040,       -1346.5944000,
     5,           0.9800050,       -1346.5572000,
     6,           0.9800060,       -1346.5234000,
     7,           0.9800070,       -1346.4882000,
     8,           0.9800080,       -1346.4523000,
     9,           0.9800090,       -1346.4160000,
    10,           0.9800100,       -1346.3830000,
    11,           0.9800110,       -1346.3454000,
    12,           0.9800120,       -1346.3110000,
    13,           0.9800130,       -1346.2750000,
    14,           0.9800140,       -1346.2391000,
    15,           0.9800150,       -1346.2050000,
    16,           0.9800160,       -1346.1683000,
    17,           0.9800170,       -1346.1330000,
    18,           0.9800180,       -1346.0970000,
    19,           0.9800190,       -1346.0633000,
    20,           0.9800200,       -1346.0280000,
    21,           0.9800210,       -1345.9910000,
    22,           0.9800220,       -1345.9552000,
    23,           0.9800230,       -1345.9200000,
    24,           0.9800240,       -1345.8860000,
    25,           0.9800250,       -1345.8494000,
    26,           0.9800260,       -1345.8133000,
    27,           0.9800270,       -1345.7773000,
    28,           0.9800280,       -1345.7440000,
    29,           0.9800290,       -1345.7083000,
    30,           0.9800300,       -1345.6720000,
    31,           0.9800310,       -1345.6360000,
    32,           0.9800320,       -1345.6010000,
    33,           0.9800330,       -1345.5660000,
    34,           0.9800340,       -1345.5310000,
    35,           0.9800350,       -1345.4953000,
    36,           0.9800360,       -1345.4582000,
    37,           0.9800370,       -1345.4251000,
    38,           0.9800380,       -1345.3890000,
    39,           0.9800390,       -1345.3530000,
    40,           0.9800400,       -1345.3172000,
    41,           0.9800410,       -1345.2813000,
    42,           0.9800420,       -1345.2471000,
    43,           0.9800430,       -1345.2120000,
    44,           0.9800440,       -1345.1760000,
    45,           0.9800450,       -1345.1394000,
    46,           0.9800460,       -1345.1060000,
    47,           0.9800470,       -1345.0710000,
    48,           0.9800480,       -1345.0344000,
    49,           0.9800490,       -1344.9984000,
    50,           0.9800500,       -1344.9632000,
    51,           0.9800510,       -1344.9280000,
    52,           0.9800520,       -1344.8930000,
    53,           0.9800530,       -1344.8570000,
    54,           0.9800540,       -1344.8200000,
    55,           0.9800550,       -1344.7873000,
    56,           0.9800560,       -1344.7514000,
    57,           0.9800570,       -1344.7150000,
    58,           0.9800580,       -1344.6790000,
    59,           0.9800590,       -1344.6440000,
    60,           0.9800600,       -1344.6100000,
    61,           0.9800610,       -1344.5733000,
    62,           0.9800620,       -1344.5384000,
    63,           0.9800630,       -1344.5014000,
    64,           0.9800640,       -1344.4674000,
    65,           0.9800650,       -1344.4320000,
    66,           0.9800660,       -1344.3950000,
    67,           0.9800670,       -1344.3600000,
    68,           0.9800680,       -1344.3242000,
    69,           0.9800690,       -1344.2894000,
    70,           0.9800700,       -1344.2540000,
    71,           0.9800710,       -1344.2180000,
    72,           0.9800720,       -1344.1820000,
    73,           0.9800730,       -1344.1481000,
    74,           0.9800740,       -1344.1123000,
    75,           0.9800750,       -1344.0760000,
    76,           0.9800760,       -1344.0401000,
    77,           0.9800770,       -1344.0053000,
    78,           0.9800780,       -1343.9700000,
    79,           0.9800790,       -1343.9344000,
    80,           0.9800800,       -1343.9000000,
    81,           0.9800810,       -1343.8621000,
    82,           0.9800820,       -1343.8293000,
    83,           0.9800830,       -1343.7934000,
    84,           0.9800840,       -1343.7572000,
    85,           0.9800850,       -1343.7220000,
    86,           0.9800860,       -1343.6860000,
    87,           0.9800870,       -1343.6514000,
    88,           0.9800880,       -1343.6153000,
    89,           0.9800890,       -1343.5810000,
    90,           0.9800900,       -1343.5440000,
    91,           0.9800910,       -1343.5100000,
    92,           0.9800920,       -1343.4750000,
    93,           0.9800930,       -1343.4380000,
    94,           0.9800940,       -1343.4030000,
    95,           0.9800950,       -1343.3671000,
    96,           0.9800960,       -1343.3323000,
    97,           0.9800970,       -1343.2973000,
    98,           0.9800980,       -1343.2614000,
    99,           0.9800990,       -1343.2244000,
   100,           0.9801000,       -1343.1920000,
   101,           0.9801010,       -1343.1560000,
   102,           0.9801020,       -1343.1200000,
   103,           0.9801030,       -1343.0834000,
   104,           0.9801040,       -1343.0490000,
   105,           0.9801050,       -1343.0140000,
   106,           0.9801060,       -1342.9780000,
   107,           0.9801070,       -1342.9422000,
   108,           0.9801080,       -1342.9060000,
   109,           0.9801090,       -1342.8723000,
   110,           0.9801100,       -1342.8370000,
   111,           0.9801110,       -1342.8000000,
   112,           0.9801120,       -1342.7650000,
   113,           0.9801130,       -1342.7290000,
   114,           0.9801140,       -1342.6942000,
   115,           0.9801150,       -1342.6580000,
   116,           0.9801160,       -1342.6231000,
   117,           0.9801170,       -1342.5870000,
   118,           0.9801180,       -1342.5532000,
   119,           0.9801190,       -1342.5173000,
   120,           0.9801200,       -1342.4804000,
   121,           0.9801210,       -1342.4450000,
   122,           0.9801220,       -1342.4100000,
   123,           0.9801230,       -1342.3750000,
   124,           0.9801240,       -1342.3400000,
   125,           0.9801250,       -1342.3040000,
   126,           0.9801260,       -1342.2680000,
   127,           0.9801270,       -1342.2340000,
   128,           0.9801280,       -1342.1990000,
   129,           0.9801290,       -1342.1622000,
   130,           0.9801300,       -1342.1260000,
   131,           0.9801310,       -1342.0940000,
   132,           0.9801320,       -1342.0561000,
