Iteration,phi,lnL
     1,           0.9800010,        -486.8994000,
     2,           0.9800020,        -486.8860000,
     3,           0.9800030,        -486.8729200,
     4,           0.9800040,        -486.8600000,
     5,           0.9800050,        -486.8465200,
     6,           0.9800060,        -486.8343000,
     7,           0.9800070,        -486.8214000,
     8,           0.9800080,        -486.8080000,
     9,           0.9800090,        -486.7949000,
    10,           0.9800100,        -486.7826200,
    11,           0.9800110,        -486.7692000,
    12,           0.9800120,        -486.7562000,
    13,           0.9800130,        -486.7433100,
    14,           0.9800140,        -486.7302000,
    15,           0.9800150,        -486.7177100,
    16,           0.9800160,        -486.7044300,
    17,           0.9800170,        -486.6915000,
    18,           0.9800180,        -486.6781000,
    19,           0.9800190,        -486.6660000,
    20,           0.9800200,        -486.6530000,
    21,           0.9800210,        -486.6394300,
    22,           0.9800220,        -486.6263000,
    23,           0.9800230,        -486.6135000,
    24,           0.9800240,        -486.6007300,
    25,           0.9800250,        -486.5879000,
    26,           0.9800260,        -486.5747000,
    27,           0.9800270,        -486.5613400,
    28,           0.9800280,        -486.5489100,
    29,           0.9800290,        -486.5361000,
    30,           0.9800300,        -486.5227300,
    31,           0.9800310,        -486.5096000,
    32,           0.9800320,        -486.4966100,
    33,           0.9800330,        -486.4839000,
    34,           0.9800340,        -486.4709100,
    35,           0.9800350,        -486.4580300,
    36,           0.9800360,        -486.4439000,
    37,           0.9800370,        -486.4318000,
    38,           0.9800380,        -486.4186400,
    39,           0.9800390,        -486.4053000,
    40,           0.9800400,        -486.3924200,
    41,           0.9800410,        -486.3793000,
    42,           0.9800420,        -486.3667200,
    43,           0.9800430,        -486.3535400,
    44,           0.9800440,        -486.3407000,
    45,           0.9800450,        -486.3273000,
    46,           0.9800460,        -486.3150000,
    47,           0.9800470,        -486.3021000,
    48,           0.9800480,        -486.2887000,
    49,           0.9800490,        -486.2755000,
    50,           0.9800500,        -486.2627200,
    51,           0.9800510,        -486.2498100,
    52,           0.9800520,        -486.2369300,
    53,           0.9800530,        -486.2238100,
    54,           0.9800540,        -486.2104000,
    55,           0.9800550,        -486.1983000,
    56,           0.9800560,        -486.1851100,
    57,           0.9800570,        -486.1718000,
    58,           0.9800580,        -486.1589000,
    59,           0.9800590,        -486.1458000,
    60,           0.9800600,        -486.1332300,
    61,           0.9800610,        -486.1200200,
    62,           0.9800620,        -486.1071100,
    63,           0.9800630,        -486.0938000,
    64,           0.9800640,        -486.0814000,
    65,           0.9800650,        -486.0686300,
    66,           0.9800660,        -486.0550000,
    67,           0.9800670,        -486.0420200,
    68,           0.9800680,        -486.0290000,
    69,           0.9800690,        -486.0162000,
    70,           0.9800700,        -486.0036000,
    71,           0.9800710,        -485.9904000,
    72,           0.9800720,        -485.9770200,
    73,           0.9800730,        -485.9647000,
    74,           0.9800740,        -485.9518000,
    75,           0.9800750,        -485.9383000,
    76,           0.9800760,        -485.9253000,
    77,           0.9800770,        -485.9124000,
    78,           0.9800780,        -485.8995000,
    79,           0.9800790,        -485.8866000,
    80,           0.9800800,        -485.8738000,
    81,           0.9800810,        -485.8601000,
    82,           0.9800820,        -485.8480000,
    83,           0.9800830,        -485.8349000,
    84,           0.9800840,        -485.8210100,
    85,           0.9800850,        -485.8081300,
    86,           0.9800860,        -485.7950400,
    87,           0.9800870,        -485.7824000,
    88,           0.9800880,        -485.7692200,
    89,           0.9800890,        -485.7565000,
    90,           0.9800900,        -485.7431000,
    91,           0.9800910,        -485.7308300,
    92,           0.9800920,        -485.7179000,
    93,           0.9800930,        -485.7042200,
    94,           0.9800940,        -485.6914000,
    95,           0.9800950,        -485.6783400,
    96,           0.9800960,        -485.6656000,
    97,           0.9800970,        -485.6529000,
    98,           0.9800980,        -485.6396400,
    99,           0.9800990,        -485.6263400,
   100,           0.9801000,        -485.6139000,
   101,           0.9801010,        -485.6010000,
   102,           0.9801020,        -485.5877000,
   103,           0.9801030,        -485.5746000,
   104,           0.9801040,        -485.5616400,
   105,           0.9801050,        -485.5488000,
   106,           0.9801060,        -485.5359000,
   107,           0.9801070,        -485.5230100,
   108,           0.9801080,        -485.5095000,
   109,           0.9801090,        -485.4973100,
   110,           0.9801100,        -485.4843000,
   111,           0.9801110,        -485.4709400,
   112,           0.9801120,        -485.4579000,
   113,           0.9801130,        -485.4448000,
   114,           0.9801140,        -485.4324000,
   115,           0.9801150,        -485.4192000,
   116,           0.9801160,        -485.4061200,
   117,           0.9801170,        -485.3928200,
   118,           0.9801180,        -485.3807000,
   119,           0.9801190,        -485.3676100,
   120,           0.9801200,        -485.3541200,
   121,           0.9801210,        -485.3411200,
   122,           0.9801220,        -485.3280000,
   123,           0.9801230,        -485.3155000,
