Iteration,phi,lnL
     1,           0.9800010,       -3142.1160000,
     2,           0.9800020,       -3142.0502000,
     3,           0.9800030,       -3141.9860000,
     4,           0.9800040,       -3141.9201000,
     5,           0.9800050,       -3141.8532000,
     6,           0.9800060,       -3141.7932000,
     7,           0.9800070,       -3141.7290000,
     8,           0.9800080,       -3141.6630000,
     9,           0.9800090,       -3141.5974000,
    10,           0.9800100,       -3141.5390000,
    11,           0.9800110,       -3141.4720000,
    12,           0.9800120,       -3141.4060000,
    13,           0.9800130,       -3141.3422000,
    14,           0.9800140,       -3141.2770000,
    15,           0.9800150,       -3141.2160000,
    16,           0.9800160,       -3141.1490000,
    17,           0.9800170,       -3141.0842000,
    18,           0.9800180,       -3141.0210000,
    19,           0.9800190,       -3140.9600000,
    20,           0.9800200,       -3140.8940000,
    21,           0.9800210,       -3140.8273000,
    22,           0.9800220,       -3140.7610000,
    23,           0.9800230,       -3140.6984000,
    24,           0.9800240,       -3140.6360000,
    25,           0.9800250,       -3140.5710000,
    26,           0.9800260,       -3140.5070000,
    27,           0.9800270,       -3140.4400000,
    28,           0.9800280,       -3140.3793000,
    29,           0.9800290,       -3140.3150000,
    30,           0.9800300,       -3140.2480000,
    31,           0.9800310,       -3140.1820000,
    32,           0.9800320,       -3140.1180000,
    33,           0.9800330,       -3140.0541000,
    34,           0.9800340,       -3139.9902000,
    35,           0.9800350,       -3139.9262000,
    36,           0.9800360,       -3139.8570000,
    37,           0.9800370,       -3139.7980000,
    38,           0.9800380,       -3139.7320000,
    39,           0.9800390,       -3139.6670000,
    40,           0.9800400,       -3139.6030000,
    41,           0.9800410,       -3139.5361000,
    42,           0.9800420,       -3139.4750000,
    43,           0.9800430,       -3139.4094000,
    44,           0.9800440,       -3139.3450000,
    45,           0.9800450,       -3139.2800000,
    46,           0.9800460,       -3139.2180000,
    47,           0.9800470,       -3139.1540000,
    48,           0.9800480,       -3139.0864000,
    49,           0.9800490,       -3139.0220000,
    50,           0.9800500,       -3138.9580000,
    51,           0.9800510,       -3138.8950000,
    52,           0.9800520,       -3138.8300000,
    53,           0.9800530,       -3138.7640000,
    54,           0.9800540,       -3138.7000000,
    55,           0.9800550,       -3138.6381000,
    56,           0.9800560,       -3138.5730000,
    57,           0.9800570,       -3138.5080000,
    58,           0.9800580,       -3138.4423000,
    59,           0.9800590,       -3138.3781000,
    60,           0.9800600,       -3138.3150000,
    61,           0.9800610,       -3138.2492000,
    62,           0.9800620,       -3138.1870000,
    63,           0.9800630,       -3138.1200000,
    64,           0.9800640,       -3138.0583000,
    65,           0.9800650,       -3137.9953000,
    66,           0.9800660,       -3137.9260000,
    67,           0.9800670,       -3137.8630000,
    68,           0.9800680,       -3137.7980000,
    69,           0.9800690,       -3137.7343000,
    70,           0.9800700,       -3137.6701000,
    71,           0.9800710,       -3137.6032000,
    72,           0.9800720,       -3137.5373000,
    73,           0.9800730,       -3137.4772000,
    74,           0.9800740,       -3137.4130000,
    75,           0.9800750,       -3137.3450000,
    76,           0.9800760,       -3137.2800000,
    77,           0.9800770,       -3137.2160000,
    78,           0.9800780,       -3137.1530000,
    79,           0.9800790,       -3137.0871000,
    80,           0.9800800,       -3137.0244000,
    81,           0.9800810,       -3136.9580000,
    82,           0.9800820,       -3136.8960000,
    83,           0.9800830,       -3136.8310000,
    84,           0.9800840,       -3136.7640000,
    85,           0.9800850,       -3136.6994000,
    86,           0.9800860,       -3136.6354000,
    87,           0.9800870,       -3136.5722000,
    88,           0.9800880,       -3136.5070000,
    89,           0.9800890,       -3136.4440000,
    90,           0.9800900,       -3136.3770000,
    91,           0.9800910,       -3136.3151000,
    92,           0.9800920,       -3136.2521000,
    93,           0.9800930,       -3136.1850000,
    94,           0.9800940,       -3136.1210000,
    95,           0.9800950,       -3136.0551000,
    96,           0.9800960,       -3135.9914000,
    97,           0.9800970,       -3135.9280000,
    98,           0.9800980,       -3135.8620000,
    99,           0.9800990,       -3135.7963000,
   100,           0.9801000,       -3135.7360000,
   101,           0.9801010,       -3135.6710000,
   102,           0.9801020,       -3135.6044000,
   103,           0.9801030,       -3135.5400000,
   104,           0.9801040,       -3135.4750000,
   105,           0.9801050,       -3135.4110000,
   106,           0.9801060,       -3135.3460000,
   107,           0.9801070,       -3135.2824000,
   108,           0.9801080,       -3135.2150000,
   109,           0.9801090,       -3135.1550000,
   110,           0.9801100,       -3135.0900000,
   111,           0.9801110,       -3135.0222000,
   112,           0.9801120,       -3134.9584000,
   113,           0.9801130,       -3134.8930000,
   114,           0.9801140,       -3134.8310000,
   115,           0.9801150,       -3128.2314000,
   116,           0.9801160,       -3128.1660000,
   117,           0.9801170,       -3128.0991000,
   118,           0.9801180,       -3128.0380000,
   119,           0.9801190,       -3127.9750000,
   120,           0.9801200,       -3127.9070000,
   121,           0.9801210,       -3127.8403000,
   122,           0.9801220,       -3127.7760000,
   123,           0.9801230,       -3127.7124000,
   124,           0.9801240,       -3127.6480000,
   125,           0.9801250,       -3127.5830000,
   126,           0.9801260,       -3127.5150000,
   127,           0.9801270,       -3127.4550000,
   128,           0.9801280,       -3127.3903000,
   129,           0.9801290,       -3127.3234000,
   130,           0.9801300,       -3127.2600000,
   131,           0.9801310,       -3127.1970000,
   132,           0.9801320,       -3127.1290000,
   133,           0.9801330,       -3127.0651000,
   134,           0.9801340,       -3127.0000000,
   135,           0.9801350,       -3126.9333000,
   136,           0.9801360,       -3126.8730000,
   137,           0.9801370,       -3126.8081000,
   138,           0.9801380,       -3126.7420000,
   139,           0.9801390,       -3126.6752000,
   140,           0.9801400,       -3126.6150000,
   141,           0.9801410,       -3126.5502000,
   142,           0.9801420,       -3126.4841000,
   143,           0.9801430,       -3126.4200000,
   144,           0.9801440,       -3126.3513000,
   145,           0.9801450,       -3126.2920000,
   146,           0.9801460,       -3126.2253000,
   147,           0.9801470,       -3126.1600000,
   148,           0.9801480,       -3126.0940000,
   149,           0.9801490,       -3126.0340000,
   150,           0.9801500,       -3125.9663000,
   151,           0.9801510,       -3125.9020000,
   152,           0.9801520,       -3125.8364000,
   153,           0.9801530,       -3125.7690000,
   154,           0.9801540,       -3125.7070000,
   155,           0.9801550,       -3125.6440000,
   156,           0.9801560,       -3125.5754000,
   157,           0.9801570,       -3125.5110000,
   158,           0.9801580,       -3125.4484000,
   159,           0.9801590,       -3125.3830000,
   160,           0.9801600,       -3125.3190000,
   161,           0.9801610,       -3125.2531000,
   162,           0.9801620,       -3125.1870000,
   163,           0.9801630,       -3125.1250000,
   164,           0.9801640,       -3125.0610000,
   165,           0.9801650,       -3124.9931000,
   166,           0.9801660,       -3124.9272000,
   167,           0.9801670,       -3124.8680000,
   168,           0.9801680,       -3124.8000000,
   169,           0.9801690,       -3124.7341000,
   170,           0.9801700,       -3124.6713000,
   171,           0.9801710,       -3124.6030000,
   172,           0.9801720,       -3124.5410000,
   173,           0.9801730,       -3124.4753000,
   174,           0.9801740,       -3124.4082000,
   175,           0.9801750,       -3124.3440000,
   176,           0.9801760,       -3124.2830000,
   177,           0.9801770,       -3124.2150000,
   178,           0.9801780,       -3124.1490000,
   179,           0.9801790,       -3124.0860000,
   180,           0.9801800,       -3124.0183000,
   181,           0.9801810,       -3123.9580000,
   182,           0.9801820,       -3123.8940000,
   183,           0.9801830,       -3123.8254000,
   184,           0.9801840,       -3123.7604000,
   185,           0.9801850,       -3123.7000000,
   186,           0.9801860,       -3123.6323000,
   187,           0.9801870,       -3123.5680000,
   188,           0.9801880,       -3123.5020000,
   189,           0.9801890,       -3123.4370000,
   190,           0.9801900,       -3123.3752000,
   191,           0.9801910,       -3123.3093000,
   192,           0.9801920,       -3123.2430000,
   193,           0.9801930,       -3123.1780000,
   194,           0.9801940,       -3123.1160000,
   195,           0.9801950,       -3123.0493000,
   196,           0.9801960,       -3122.9840000,
   197,           0.9801970,       -3122.9174000,
   198,           0.9801980,       -3122.8510000,
   199,           0.9801990,       -3122.7900000,
   200,           0.9802000,       -3122.7260000,
   201,           0.9802010,       -3122.6584000,
   202,           0.9802020,       -3122.5930000,
   203,           0.9802030,       -3122.5330000,
   204,           0.9802040,       -3122.4643000,
   205,           0.9802050,       -3122.3994000,
   206,           0.9802060,       -3122.3350000,
   207,           0.9802070,       -3122.2680000,
   208,           0.9802080,       -3122.2070000,
   209,           0.9802090,       -3122.1420000,
   210,           0.9802100,       -3122.0750000,
   211,           0.9802110,       -3122.0070000,
   212,           0.9802120,       -3121.9480000,
   213,           0.9802130,       -3121.8781000,
   214,           0.9802140,       -3121.8144000,
   215,           0.9802150,       -3121.7510000,
   216,           0.9802160,       -3121.6821000,
   217,           0.9802170,       -3121.6240000,
   218,           0.9802180,       -3121.5544000,
   219,           0.9802190,       -3121.4873000,
   220,           0.9802200,       -3121.4240000,
   221,           0.9802210,       -3121.3620000,
   222,           0.9802220,       -3121.2961000,
   223,           0.9802230,       -3121.2300000,
   224,           0.9802240,       -3121.1650000,
   225,           0.9802250,       -3121.0980000,
   226,           0.9802260,       -3114.2520000,
   227,           0.9802270,       -3114.1862000,
   228,           0.9802280,       -3114.1171000,
   229,           0.9802290,       -3114.0540000,
   230,           0.9802300,       -3113.9910000,
   231,           0.9802310,       -3113.9252000,
   232,           0.9802320,       -3113.8583000,
   233,           0.9802330,       -3113.7940000,
   234,           0.9802340,       -3113.7272000,
   235,           0.9802350,       -3113.6650000,
   236,           0.9802360,       -3113.6000000,
   237,           0.9802370,       -3113.5322000,
   238,           0.9802380,       -3113.4663000,
   239,           0.9802390,       -3113.4070000,
   240,           0.9802400,       -3113.3383000,
   241,           0.9802410,       -3113.2730000,
   242,           0.9802420,       -3113.2070000,
