Iteration,phi,lnL
     1,           0.9800010,      -17026.9140000,
     2,           0.9800020,      -17026.4900000,
     3,           0.9800030,      -17026.0420000,
     4,           0.9800040,      -17025.6300000,
     5,           0.9800050,      -17025.1900000,
     6,           0.9800060,      -17024.7830000,
     7,           0.9800070,      -17024.3700000,
     8,           0.9800080,      -17023.9300000,
     9,           0.9800090,      -17023.4900000,
    10,           0.9800100,      -17023.1110000,
    11,           0.9800110,      -17022.6710000,
    12,           0.9800120,      -17022.2400000,
    13,           0.9800130,      -17021.8100000,
    14,           0.9800140,      -17021.3900000,
    15,           0.9800150,      -17020.9700000,
    16,           0.9800160,      -17020.5400000,
    17,           0.9800170,      -17020.1100000,
    18,           0.9800180,      -17019.6900000,
    19,           0.9800190,      -17019.2800000,
    20,           0.9800200,      -17018.8510000,
    21,           0.9800210,      -17018.4140000,
    22,           0.9800220,      -17017.9800000,
    23,           0.9800230,      -17017.5600000,
    24,           0.9800240,      -17017.1400000,
    25,           0.9800250,      -17016.7200000,
    26,           0.9800260,      -17016.3000000,
    27,           0.9800270,      -17015.8630000,
    28,           0.9800280,      -17015.4500000,
    29,           0.9800290,      -17015.0300000,
    30,           0.9800300,      -17014.6000000,
    31,           0.9800310,      -17014.1600000,
    32,           0.9800320,      -17013.7300000,
    33,           0.9800330,      -17013.3040000,
    34,           0.9800340,      -17012.8940000,
    35,           0.9800350,      -17012.4800000,
    36,           0.9800360,      -17012.0210000,
    37,           0.9800370,      -17011.6130000,
    38,           0.9800380,      -17011.1900000,
    39,           0.9800390,      -17010.7500000,
    40,           0.9800400,      -17010.3200000,
    41,           0.9800410,      -17009.8900000,
    42,           0.9800420,      -17009.4640000,
    43,           0.9800430,      -17009.0500000,
    44,           0.9800440,      -17008.6200000,
    45,           0.9800450,      -17008.1810000,
    46,           0.9800460,      -17007.7730000,
    47,           0.9800470,      -17007.3500000,
    48,           0.9800480,      -17006.9140000,
    49,           0.9800490,      -17006.4800000,
    50,           0.9800500,      -17006.0620000,
    51,           0.9800510,      -17005.6400000,
    52,           0.9800520,      -17005.2030000,
    53,           0.9800530,      -17004.7700000,
    54,           0.9800540,      -17004.3400000,
    55,           0.9800550,      -17003.9410000,
    56,           0.9800560,      -17003.5000000,
    57,           0.9800570,      -17003.0540000,
    58,           0.9800580,      -17002.6400000,
    59,           0.9800590,      -17002.2000000,
    60,           0.9800600,      -17001.7900000,
    61,           0.9800610,      -17001.3600000,
    62,           0.9800620,      -17000.9500000,
    63,           0.9800630,      -17000.5000000,
    64,           0.9800640,      -17000.0900000,
    65,           0.9800650,      -16999.6600000,
    66,           0.9800660,      -16999.2200000,
    67,           0.9800670,      -16998.7900000,
    68,           0.9800680,      -16998.3600000,
    69,           0.9800690,      -16997.9430000,
    70,           0.9800700,      -16997.5130000,
    71,           0.9800710,      -16997.0900000,
    72,           0.9800720,      -16996.6500000,
    73,           0.9800730,      -16996.2440000,
    74,           0.9800740,      -16995.8140000,
    75,           0.9800750,      -16995.3700000,
    76,           0.9800760,      -16994.9410000,
    77,           0.9800770,      -16994.5100000,
    78,           0.9800780,      -16994.0900000,
    79,           0.9800790,      -16993.6700000,
    80,           0.9800800,      -16993.2500000,
    81,           0.9800810,      -16992.7900000,
    82,           0.9800820,      -16992.4020000,
    83,           0.9800830,      -16991.9700000,
    84,           0.9800840,      -16991.5300000,
    85,           0.9800850,      -16991.1030000,
    86,           0.9800860,      -16990.6700000,
    87,           0.9800870,      -16990.2600000,
    88,           0.9800880,      -16989.8220000,
    89,           0.9800890,      -16989.4100000,
    90,           0.9800900,      -16988.9600000,
    91,           0.9800910,      -16988.5600000,
    92,           0.9800920,      -16988.1400000,
    93,           0.9800930,      -16987.6930000,
    94,           0.9800940,      -16987.2630000,
    95,           0.9800950,      -16986.8300000,
    96,           0.9800960,      -16986.4000000,
    97,           0.9800970,      -16985.9800000,
    98,           0.9800980,      -16985.5600000,
    99,           0.9800990,      -16985.1100000,
   100,           0.9801000,      -16984.7120000,
   101,           0.9801010,      -16984.2900000,
   102,           0.9801020,      -16983.8400000,
   103,           0.9801030,      -16983.4100000,
   104,           0.9801040,      -16982.9900000,
   105,           0.9801050,      -16982.5620000,
   106,           0.9801060,      -16982.1440000,
   107,           0.9801070,      -16981.7200000,
   108,           0.9801080,      -16981.2800000,
   109,           0.9801090,      -16980.8730000,
   110,           0.9801100,      -16980.4430000,
   111,           0.9801110,      -16980.0010000,
   112,           0.9801120,      -16979.5620000,
   113,           0.9801130,      -16979.1420000,
   114,           0.9801140,      -16978.7200000,
   115,           0.9801150,      -16978.3000000,
   116,           0.9801160,      -16977.8730000,
   117,           0.9801170,      -16977.4300000,
   118,           0.9801180,      -16977.0230000,
   119,           0.9801190,      -16976.6000000,
   120,           0.9801200,      -16976.1540000,
   121,           0.9801210,      -16975.7200000,
   122,           0.9801220,      -16975.2800000,
   123,           0.9801230,      -16974.8800000,
   124,           0.9801240,      -16974.4510000,
   125,           0.9801250,      -16974.0210000,
   126,           0.9801260,      -16973.5830000,
   127,           0.9801270,      -16973.1800000,
   128,           0.9801280,      -16972.7400000,
   129,           0.9801290,      -16972.2910000,
   130,           0.9801300,      -16971.8700000,
   131,           0.9801310,      -16971.4600000,
   132,           0.9801320,      -16971.0130000,
   133,           0.9801330,      -16970.5900000,
   134,           0.9801340,      -16970.1700000,
   135,           0.9801350,      -16969.7300000,
   136,           0.9801360,      -16969.3400000,
   137,           0.9801370,      -16968.9040000,
   138,           0.9801380,      -16968.4600000,
   139,           0.9801390,      -16968.0300000,
   140,           0.9801400,      -16967.6320000,
   141,           0.9801410,      -16967.1900000,
   142,           0.9801420,      -16966.7600000,
   143,           0.9801430,      -16966.3320000,
   144,           0.9801440,      -16965.8900000,
   145,           0.9801450,      -16965.4800000,
   146,           0.9801460,      -16965.0640000,
   147,           0.9801470,      -16964.6130000,
