Iteration,phi,lnL
     1,           0.9800010,       -2002.7412000,
     2,           0.9800020,       -2002.7084000,
     3,           0.9800030,       -2002.6770000,
     4,           0.9800040,       -2002.6470000,
     5,           0.9800050,       -2002.6140000,
     6,           0.9800060,       -2002.5852000,
     7,           0.9800070,       -2002.5534000,
     8,           0.9800080,       -2002.5220000,
     9,           0.9800090,       -2002.4901000,
    10,           0.9800100,       -2002.4622000,
    11,           0.9800110,       -2002.4300000,
    12,           0.9800120,       -2002.3992000,
    13,           0.9800130,       -2002.3681000,
    14,           0.9800140,       -2002.3370000,
    15,           0.9800150,       -2002.3071000,
    16,           0.9800160,       -2002.2740000,
    17,           0.9800170,       -2002.2441000,
    18,           0.9800180,       -2002.2121000,
    19,           0.9800190,       -2002.1832000,
    20,           0.9800200,       -2002.1520000,
    21,           0.9800210,       -2002.1200000,
    22,           0.9800220,       -2002.0890000,
    23,           0.9800230,       -2002.0580000,
    24,           0.9800240,       -2002.0274000,
    25,           0.9800250,       -2001.9981000,
    26,           0.9800260,       -2001.9660000,
    27,           0.9800270,       -2001.9344000,
    28,           0.9800280,       -2001.9051000,
    29,           0.9800290,       -2001.8740000,
    30,           0.9800300,       -2001.8420000,
    31,           0.9800310,       -2001.8100000,
    32,           0.9800320,       -2001.7791000,
    33,           0.9800330,       -2001.7490000,
    34,           0.9800340,       -2001.7180000,
    35,           0.9800350,       -2001.6870000,
    36,           0.9800360,       -2001.6541000,
    37,           0.9800370,       -2001.6254000,
    38,           0.9800380,       -2001.5943000,
    39,           0.9800390,       -2001.5620000,
    40,           0.9800400,       -2001.5320000,
    41,           0.9800410,       -2001.5000000,
    42,           0.9800420,       -2001.4692000,
    43,           0.9800430,       -2001.4384000,
    44,           0.9800440,       -2001.4073000,
    45,           0.9800450,       -2001.3764000,
    46,           0.9800460,       -2001.3470000,
    47,           0.9800470,       -2001.3160000,
    48,           0.9800480,       -2001.2833000,
    49,           0.9800490,       -2001.2520000,
    50,           0.9800500,       -2001.2210000,
    51,           0.9800510,       -2001.1920000,
    52,           0.9800520,       -2001.1600000,
    53,           0.9800530,       -2001.1290000,
    54,           0.9800540,       -1993.9863000,
    55,           0.9800550,       -1993.9580000,
    56,           0.9800560,       -1993.9250000,
    57,           0.9800570,       -1993.8934000,
    58,           0.9800580,       -1993.8624000,
    59,           0.9800590,       -1993.8310000,
    60,           0.9800600,       -1993.8012000,
    61,           0.9800610,       -1993.7692000,
    62,           0.9800620,       -1993.7390000,
    63,           0.9800630,       -1993.7070000,
    64,           0.9800640,       -1993.6773000,
    65,           0.9800650,       -1993.6470000,
    66,           0.9800660,       -1993.6150000,
    67,           0.9800670,       -1993.5840000,
    68,           0.9800680,       -1993.5520000,
    69,           0.9800690,       -1993.5220000,
    70,           0.9800700,       -1993.4914000,
    71,           0.9800710,       -1993.4600000,
    72,           0.9800720,       -1993.4273000,
    73,           0.9800730,       -1993.3984000,
    74,           0.9800740,       -1993.3670000,
    75,           0.9800750,       -1993.3360000,
    76,           0.9800760,       -1993.3040000,
    77,           0.9800770,       -1993.2730000,
    78,           0.9800780,       -1993.2420000,
    79,           0.9800790,       -1993.2120000,
    80,           0.9800800,       -1993.1810000,
    81,           0.9800810,       -1993.1470000,
    82,           0.9800820,       -1993.1190000,
    83,           0.9800830,       -1993.0880000,
    84,           0.9800840,       -1993.0550000,
    85,           0.9800850,       -1993.0250000,
    86,           0.9800860,       -1992.9940000,
    87,           0.9800870,       -1992.9640000,
    88,           0.9800880,       -1992.9312000,
    89,           0.9800890,       -1992.9020000,
    90,           0.9800900,       -1992.8691000,
    91,           0.9800910,       -1992.8400000,
    92,           0.9800920,       -1992.8093000,
    93,           0.9800930,       -1992.7751000,
    94,           0.9800940,       -1992.7432000,
    95,           0.9800950,       -1992.7132000,
    96,           0.9800960,       -1992.6840000,
    97,           0.9800970,       -1992.6512000,
    98,           0.9800980,       -1992.6204000,
    99,           0.9800990,       -1992.5890000,
   100,           0.9801000,       -1992.5594000,
   101,           0.9801010,       -1992.5284000,
   102,           0.9801020,       -1992.4980000,
   103,           0.9801030,       -1992.4653000,
   104,           0.9801040,       -1992.4340000,
   105,           0.9801050,       -1992.4031000,
   106,           0.9801060,       -1992.3730000,
   107,           0.9801070,       -1992.3420000,
   108,           0.9801080,       -1992.3090000,
   109,           0.9801090,       -1992.2803000,
   110,           0.9801100,       -1992.2490000,
   111,           0.9801110,       -1992.2170000,
   112,           0.9801120,       -1992.1864000,
   113,           0.9801130,       -1992.1540000,
   114,           0.9801140,       -1992.1243000,
   115,           0.9801150,       -1992.0940000,
   116,           0.9801160,       -1992.0622000,
   117,           0.9801170,       -1992.0300000,
   118,           0.9801180,       -1992.0004000,
   119,           0.9801190,       -1991.9690000,
   120,           0.9801200,       -1991.9380000,
   121,           0.9801210,       -1991.9061000,
   122,           0.9801220,       -1991.8741000,
   123,           0.9801230,       -1991.8450000,
   124,           0.9801240,       -1991.8150000,
   125,           0.9801250,       -1991.7840000,
   126,           0.9801260,       -1991.7510000,
   127,           0.9801270,       -1991.7210000,
   128,           0.9801280,       -1991.6914000,
   129,           0.9801290,       -1991.6580000,
   130,           0.9801300,       -1991.6260000,
   131,           0.9801310,       -1991.5982000,
   132,           0.9801320,       -1991.5653000,
   133,           0.9801330,       -1991.5352000,
   134,           0.9801340,       -1991.5030000,
   135,           0.9801350,       -1991.4720000,
   136,           0.9801360,       -1991.4420000,
   137,           0.9801370,       -1991.4101000,
   138,           0.9801380,       -1991.3784000,
   139,           0.9801390,       -1984.4010000,
   140,           0.9801400,       -1984.3720000,
   141,           0.9801410,       -1984.3402000,
   142,           0.9801420,       -1984.3093000,
   143,           0.9801430,       -1984.2790000,
   144,           0.9801440,       -1984.2453000,
   145,           0.9801450,       -1984.2170000,
   146,           0.9801460,       -1984.1853000,
   147,           0.9801470,       -1984.1530000,
   148,           0.9801480,       -1984.1220000,
   149,           0.9801490,       -1984.0930000,
   150,           0.9801500,       -1984.0610000,
   151,           0.9801510,       -1984.0302000,
   152,           0.9801520,       -1983.9973000,
   153,           0.9801530,       -1983.9644000,
   154,           0.9801540,       -1983.9362000,
   155,           0.9801550,       -1983.9050000,
   156,           0.9801560,       -1983.8730000,
   157,           0.9801570,       -1983.8410000,
   158,           0.9801580,       -1983.8110000,
   159,           0.9801590,       -1983.7791000,
   160,           0.9801600,       -1983.7490000,
   161,           0.9801610,       -1983.7182000,
   162,           0.9801620,       -1983.6850000,
   163,           0.9801630,       -1983.6570000,
   164,           0.9801640,       -1983.6251000,
   165,           0.9801650,       -1983.5933000,
   166,           0.9801660,       -1983.5610000,
   167,           0.9801670,       -1983.5320000,
   168,           0.9801680,       -1983.5000000,
   169,           0.9801690,       -1983.4690000,
   170,           0.9801700,       -1983.4381000,
   171,           0.9801710,       -1983.4060000,
   172,           0.9801720,       -1983.3770000,
   173,           0.9801730,       -1983.3444000,
   174,           0.9801740,       -1983.3130000,
   175,           0.9801750,       -1983.2810000,
   176,           0.9801760,       -1983.2531000,
   177,           0.9801770,       -1983.2210000,
   178,           0.9801780,       -1983.1881000,
   179,           0.9801790,       -1983.1574000,
   180,           0.9801800,       -1983.1252000,
   181,           0.9801810,       -1983.0970000,
   182,           0.9801820,       -1983.0661000,
   183,           0.9801830,       -1983.0320000,
   184,           0.9801840,       -1983.0020000,
   185,           0.9801850,       -1982.9711000,
   186,           0.9801860,       -1982.9410000,
   187,           0.9801870,       -1982.9104000,
   188,           0.9801880,       -1982.8780000,
   189,           0.9801890,       -1982.8472000,
   190,           0.9801900,       -1982.8171000,
   191,           0.9801910,       -1982.7860000,
   192,           0.9801920,       -1982.7531000,
