Iteration,phi,lnL
     1,           0.9800010,       -3831.3540000,
     2,           0.9800020,       -3831.2600000,
     3,           0.9800030,       -3831.1650000,
     4,           0.9800040,       -3831.0750000,
     5,           0.9800050,       -3830.9794000,
     6,           0.9800060,       -3830.8950000,
     7,           0.9800070,       -3830.8060000,
     8,           0.9800080,       -3830.7114000,
     9,           0.9800090,       -3830.6170000,
    10,           0.9800100,       -3830.5344000,
    11,           0.9800110,       -3830.4384000,
    12,           0.9800120,       -3830.3460000,
    13,           0.9800130,       -3830.2543000,
    14,           0.9800140,       -3830.1660000,
    15,           0.9800150,       -3830.0771000,
    16,           0.9800160,       -3829.9843000,
    17,           0.9800170,       -3829.8950000,
    18,           0.9800180,       -3829.7993000,
    19,           0.9800190,       -3829.7150000,
    20,           0.9800200,       -3829.6213000,
    21,           0.9800210,       -3829.5280000,
    22,           0.9800220,       -3829.4360000,
    23,           0.9800230,       -3829.3450000,
    24,           0.9800240,       -3829.2553000,
    25,           0.9800250,       -3829.1650000,
    26,           0.9800260,       -3829.0712000,
    27,           0.9800270,       -3828.9780000,
    28,           0.9800280,       -3828.8900000,
    29,           0.9800290,       -3828.8020000,
    30,           0.9800300,       -3828.7090000,
    31,           0.9800310,       -3828.6171000,
    32,           0.9800320,       -3828.5230000,
    33,           0.9800330,       -3828.4360000,
    34,           0.9800340,       -3828.3452000,
    35,           0.9800350,       -3828.2541000,
    36,           0.9800360,       -3828.1580000,
    37,           0.9800370,       -3828.0710000,
    38,           0.9800380,       -3827.9794000,
    39,           0.9800390,       -3827.8860000,
    40,           0.9800400,       -3827.7944000,
    41,           0.9800410,       -3827.7040000,
    42,           0.9800420,       -3827.6150000,
    43,           0.9800430,       -3827.5222000,
    44,           0.9800440,       -3827.4313000,
    45,           0.9800450,       -3827.3390000,
    46,           0.9800460,       -3827.2521000,
    47,           0.9800470,       -3827.1610000,
    48,           0.9800480,       -3827.0660000,
    49,           0.9800490,       -3826.9733000,
    50,           0.9800500,       -3826.8830000,
    51,           0.9800510,       -3826.7932000,
    52,           0.9800520,       -3826.7020000,
    53,           0.9800530,       -3826.6130000,
    54,           0.9800540,       -3826.5180000,
    55,           0.9800550,       -3826.4330000,
    56,           0.9800560,       -3826.3393000,
    57,           0.9800570,       -3826.2450000,
    58,           0.9800580,       -3826.1552000,
    59,           0.9800590,       -3826.0630000,
    60,           0.9800600,       -3825.9750000,
    61,           0.9800610,       -3825.8840000,
    62,           0.9800620,       -3825.7930000,
    63,           0.9800630,       -3825.6972000,
    64,           0.9800640,       -3825.6101000,
    65,           0.9800650,       -3825.5210000,
    66,           0.9800660,       -3825.4260000,
    67,           0.9800670,       -3825.3332000,
    68,           0.9800680,       -3825.2412000,
    69,           0.9800690,       -3825.1540000,
    70,           0.9800700,       -3825.0632000,
    71,           0.9800710,       -3824.9702000,
    72,           0.9800720,       -3824.8771000,
    73,           0.9800730,       -3824.7910000,
    74,           0.9800740,       -3824.7000000,
    75,           0.9800750,       -3824.6071000,
    76,           0.9800760,       -3824.5131000,
    77,           0.9800770,       -3824.4260000,
    78,           0.9800780,       -3824.3340000,
    79,           0.9800790,       -3824.2430000,
    80,           0.9800800,       -3824.1530000,
    81,           0.9800810,       -3824.0550000,
    82,           0.9800820,       -3823.9700000,
    83,           0.9800830,       -3823.8781000,
    84,           0.9800840,       -3823.7840000,
    85,           0.9800850,       -3823.6960000,
    86,           0.9800860,       -3823.6020000,
    87,           0.9800870,       -3823.5131000,
    88,           0.9800880,       -3823.4213000,
    89,           0.9800890,       -3823.3310000,
    90,           0.9800900,       -3823.2380000,
    91,           0.9800910,       -3823.1520000,
    92,           0.9800920,       -3823.0590000,
    93,           0.9800930,       -3822.9641000,
    94,           0.9800940,       -3822.8754000,
    95,           0.9800950,       -3822.7834000,
    96,           0.9800960,       -3822.6920000,
    97,           0.9800970,       -3822.6030000,
    98,           0.9800980,       -3822.5100000,
