Iteration,phi,lnL
     1,           0.9800010,       -5383.4760000,
     2,           0.9800020,       -5383.3260000,
     3,           0.9800030,       -5383.1811000,
     4,           0.9800040,       -5383.0360000,
     5,           0.9800050,       -5382.8860000,
     6,           0.9800060,       -5382.7500000,
     7,           0.9800070,       -5382.6030000,
     8,           0.9800080,       -5382.4550000,
     9,           0.9800090,       -5382.3110000,
    10,           0.9800100,       -5382.1762000,
    11,           0.9800110,       -5382.0280000,
    12,           0.9800120,       -5381.8823000,
    13,           0.9800130,       -5381.7390000,
    14,           0.9800140,       -5381.5922000,
    15,           0.9800150,       -5381.4540000,
    16,           0.9800160,       -5381.3051000,
    17,           0.9800170,       -5381.1601000,
    18,           0.9800180,       -5381.0120000,
    19,           0.9800190,       -5380.8774000,
    20,           0.9800200,       -5380.7340000,
    21,           0.9800210,       -5380.5810000,
    22,           0.9800220,       -5380.4340000,
    23,           0.9800230,       -5380.2934000,
    24,           0.9800240,       -5380.1510000,
    25,           0.9800250,       -5380.0092000,
    26,           0.9800260,       -5379.8613000,
    27,           0.9800270,       -5379.7150000,
    28,           0.9800280,       -5379.5742000,
    29,           0.9800290,       -5379.4310000,
    30,           0.9800300,       -5379.2830000,
    31,           0.9800310,       -5379.1342000,
    32,           0.9800320,       -5378.9910000,
    33,           0.9800330,       -5378.8510000,
    34,           0.9800340,       -5378.7060000,
    35,           0.9800350,       -5378.5610000,
    36,           0.9800360,       -5378.4101000,
    37,           0.9800370,       -5378.2760000,
    38,           0.9800380,       -5378.1300000,
    39,           0.9800390,       -5377.9814000,
    40,           0.9800400,       -5377.8374000,
    41,           0.9800410,       -5377.6904000,
    42,           0.9800420,       -5377.5493000,
    43,           0.9800430,       -5377.4030000,
    44,           0.9800440,       -5377.2592000,
    45,           0.9800450,       -5377.1113000,
    46,           0.9800460,       -5376.9731000,
    47,           0.9800470,       -5376.8281000,
    48,           0.9800480,       -5376.6791000,
    49,           0.9800490,       -5376.5320000,
    50,           0.9800500,       -5376.3890000,
    51,           0.9800510,       -5376.2480000,
    52,           0.9800520,       -5376.1020000,
    53,           0.9800530,       -5375.9570000,
    54,           0.9800540,       -5375.8060000,
    55,           0.9800550,       -5375.6713000,
    56,           0.9800560,       -5375.5273000,
    57,           0.9800570,       -5375.3750000,
    58,           0.9800580,       -5375.2310000,
    59,           0.9800590,       -5375.0854000,
    60,           0.9800600,       -5374.9443000,
    61,           0.9800610,       -5374.7973000,
    62,           0.9800620,       -5374.6533000,
    63,           0.9800630,       -5374.5050000,
    64,           0.9800640,       -5374.3642000,
    65,           0.9800650,       -5374.2250000,
    66,           0.9800660,       -5374.0732000,
    67,           0.9800670,       -5373.9290000,
    68,           0.9800680,       -5373.7810000,
    69,           0.9800690,       -5373.6411000,
    70,           0.9800700,       -5373.4970000,
    71,           0.9800710,       -5373.3500000,
    72,           0.9800720,       -5373.1990000,
    73,           0.9800730,       -5373.0640000,
    74,           0.9800740,       -5372.9174000,
    75,           0.9800750,       -5372.7690000,
    76,           0.9800760,       -5372.6210000,
    77,           0.9800770,       -5372.4770000,
    78,           0.9800780,       -5372.3370000,
    79,           0.9800790,       -5372.1930000,
    80,           0.9800800,       -5372.0480000,
    81,           0.9800810,       -5371.8970000,
    82,           0.9800820,       -5371.7590000,
    83,           0.9800830,       -5371.6132000,
    84,           0.9800840,       -5371.4630000,
    85,           0.9800850,       -5371.3190000,
    86,           0.9800860,       -5371.1740000,
    87,           0.9800870,       -5371.0312000,
    88,           0.9800880,       -5370.8862000,
    89,           0.9800890,       -5370.7430000,
    90,           0.9800900,       -5370.5950000,
    91,           0.9800910,       -5370.4560000,
    92,           0.9800920,       -5370.3100000,
    93,           0.9800930,       -5370.1580000,
    94,           0.9800940,       -5370.0141000,
    95,           0.9800950,       -5369.8680000,
    96,           0.9800960,       -5369.7270000,
    97,           0.9800970,       -5369.5820000,
    98,           0.9800980,       -5369.4360000,
    99,           0.9800990,       -5369.2871000,
   100,           0.9801000,       -5369.1490000,
   101,           0.9801010,       -5369.0030000,
   102,           0.9801020,       -5368.8530000,
   103,           0.9801030,       -5368.7060000,
   104,           0.9801040,       -5368.5590000,
   105,           0.9801050,       -5368.4170000,
   106,           0.9801060,       -5368.2734000,
   107,           0.9801070,       -5368.1310000,
   108,           0.9801080,       -5367.9794000,
   109,           0.9801090,       -5367.8432000,
   110,           0.9801100,       -5367.6943000,
   111,           0.9801110,       -5367.5454000,
   112,           0.9801120,       -5367.3974000,
   113,           0.9801130,       -5367.2470000,
   114,           0.9801140,       -5367.1083000,
   115,           0.9801150,       -5366.9584000,
   116,           0.9801160,       -5366.8100000,
   117,           0.9801170,       -5366.6591000,
   118,           0.9801180,       -5366.5200000,
   119,           0.9801190,       -5366.3740000,
   120,           0.9801200,       -5366.2202000,
   121,           0.9801210,       -5366.0742000,
   122,           0.9801220,       -5365.9272000,
   123,           0.9801230,       -5365.7840000,
   124,           0.9801240,       -5365.6360000,
   125,           0.9801250,       -5365.4853000,
   126,           0.9801260,       -5365.3350000,
   127,           0.9801270,       -5365.1962000,
   128,           0.9801280,       -5365.0463000,
   129,           0.9801290,       -5364.8974000,
   130,           0.9801300,       -5364.7480000,
   131,           0.9801310,       -5364.6123000,
   132,           0.9801320,       -5364.4570000,
   133,           0.9801330,       -5364.3140000,
   134,           0.9801340,       -5364.1630000,
   135,           0.9801350,       -5364.0110000,
   136,           0.9801360,       -5363.8760000,
   137,           0.9801370,       -5363.7270000,
   138,           0.9801380,       -5363.5732000,
   139,           0.9801390,       -5363.4260000,
   140,           0.9801400,       -5363.2880000,
   141,           0.9801410,       -5363.1372000,
   142,           0.9801420,       -5362.9900000,
   143,           0.9801430,       -5362.8403000,
   144,           0.9801440,       -5362.6860000,
   145,           0.9801450,       -5362.5500000,
   146,           0.9801460,       -5362.4010000,
   147,           0.9801470,       -5362.2500000,
   148,           0.9801480,       -5362.1030000,
   149,           0.9801490,       -5361.9653000,
   150,           0.9801500,       -5361.8120000,
   151,           0.9801510,       -5361.6630000,
   152,           0.9801520,       -5361.5141000,
   153,           0.9801530,       -5361.3632000,
   154,           0.9801540,       -5361.2230000,
   155,           0.9801550,       -5361.0771000,
   156,           0.9801560,       -5360.9230000,
   157,           0.9801570,       -5360.7760000,
   158,           0.9801580,       -5360.6352000,
   159,           0.9801590,       -5360.4853000,
   160,           0.9801600,       -5360.3380000,
   161,           0.9801610,       -5360.1904000,
   162,           0.9801620,       -5360.0400000,
   163,           0.9801630,       -5359.8984000,
   164,           0.9801640,       -5359.7540000,
   165,           0.9801650,       -5359.6020000,
   166,           0.9801660,       -5359.4520000,
   167,           0.9801670,       -5359.3130000,
   168,           0.9801680,       -5359.1582000,
   169,           0.9801690,       -5359.0160000,
   170,           0.9801700,       -5358.8652000,
   171,           0.9801710,       -5358.7104000,
   172,           0.9801720,       -5358.5761000,
   173,           0.9801730,       -5358.4240000,
   174,           0.9801740,       -5358.2730000,
   175,           0.9801750,       -5358.1300000,
   176,           0.9801760,       -5357.9880000,
   177,           0.9801770,       -5357.8374000,
   178,           0.9801780,       -5357.6874000,
   179,           0.9801790,       -5357.5390000,
   180,           0.9801800,       -5357.3852000,
   181,           0.9801810,       -5357.2500000,
   182,           0.9801820,       -5357.1000000,
   183,           0.9801830,       -5356.9472000,
   184,           0.9801840,       -5356.8002000,
   185,           0.9801850,       -5356.6601000,
   186,           0.9801860,       -5356.5090000,
   187,           0.9801870,       -5356.3593000,
   188,           0.9801880,       -5356.2140000,
   189,           0.9801890,       -5356.0640000,
   190,           0.9801900,       -5355.9233000,
   191,           0.9801910,       -5355.7740000,
   192,           0.9801920,       -5355.6230000,
   193,           0.9801930,       -5355.4731000,
   194,           0.9801940,       -5355.3334000,
   195,           0.9801950,       -5355.1840000,
   196,           0.9801960,       -5355.0330000,
   197,           0.9801970,       -5354.8860000,
   198,           0.9801980,       -5354.7330000,
   199,           0.9801990,       -5354.5910000,
   200,           0.9802000,       -5354.4450000,
   201,           0.9802010,       -5354.2934000,
   202,           0.9802020,       -5354.1484000,
   203,           0.9802030,       -5354.0092000,
   204,           0.9802040,       -5353.8520000,
   205,           0.9802050,       -5353.7084000,
   206,           0.9802060,       -5353.5590000,
   207,           0.9802070,       -5353.4052000,
   208,           0.9802080,       -5353.2700000,
   209,           0.9802090,       -5353.1171000,
   210,           0.9802100,       -5352.9660000,
   211,           0.9802110,       -5352.8164000,
   212,           0.9802120,       -5352.6791000,
   213,           0.9802130,       -5352.5230000,
   214,           0.9802140,       -5352.3740000,
   215,           0.9802150,       -5352.2324000,
   216,           0.9802160,       -5352.0790000,
   217,           0.9802170,       -5351.9420000,
   218,           0.9802180,       -5351.7920000,
   219,           0.9802190,       -5351.6370000,
