Iteration,phi,lnL
     1,           0.9800010,       -1631.4090000,
     2,           0.9800020,       -1631.3833000,
     3,           0.9800030,       -1631.3583000,
     4,           0.9800040,       -1631.3343000,
     5,           0.9800050,       -1631.3081000,
     6,           0.9800060,       -1631.2834000,
     7,           0.9800070,       -1631.2591000,
     8,           0.9800080,       -1631.2333000,
     9,           0.9800090,       -1631.2100000,
    10,           0.9800100,       -1631.1860000,
    11,           0.9800110,       -1631.1594000,
    12,           0.9800120,       -1631.1341000,
    13,           0.9800130,       -1631.1100000,
    14,           0.9800140,       -1631.0841000,
    15,           0.9800150,       -1631.0600000,
    16,           0.9800160,       -1631.0341000,
    17,           0.9800170,       -1631.0090000,
    18,           0.9800180,       -1630.9840000,
    19,           0.9800190,       -1630.9600000,
    20,           0.9800200,       -1630.9350000,
    21,           0.9800210,       -1630.9084000,
    22,           0.9800220,       -1630.8830000,
    23,           0.9800230,       -1630.8590000,
    24,           0.9800240,       -1630.8344000,
    25,           0.9800250,       -1630.8090000,
    26,           0.9800260,       -1630.7832000,
    27,           0.9800270,       -1630.7580000,
    28,           0.9800280,       -1630.7343000,
    29,           0.9800290,       -1630.7094000,
    30,           0.9800300,       -1630.6840000,
    31,           0.9800310,       -1630.6590000,
    32,           0.9800320,       -1630.6340000,
    33,           0.9800330,       -1630.6094000,
    34,           0.9800340,       -1630.5850000,
    35,           0.9800350,       -1630.5600000,
    36,           0.9800360,       -1630.5333000,
    37,           0.9800370,       -1630.5111000,
    38,           0.9800380,       -1630.4850000,
    39,           0.9800390,       -1630.4592000,
    40,           0.9800400,       -1630.4340000,
    41,           0.9800410,       -1630.4090000,
    42,           0.9800420,       -1630.3851000,
    43,           0.9800430,       -1630.3601000,
    44,           0.9800440,       -1630.3353000,
    45,           0.9800450,       -1630.3094000,
    46,           0.9800460,       -1630.2860000,
    47,           0.9800470,       -1630.2620000,
    48,           0.9800480,       -1630.2353000,
    49,           0.9800490,       -1630.2102000,
    50,           0.9800500,       -1630.1850000,
    51,           0.9800510,       -1630.1610000,
    52,           0.9800520,       -1630.1364000,
    53,           0.9800530,       -1630.1104000,
    54,           0.9800540,       -1630.0844000,
    55,           0.9800550,       -1630.0610000,
    56,           0.9800560,       -1630.0350000,
    57,           0.9800570,       -1630.0100000,
    58,           0.9800580,       -1629.9850000,
    59,           0.9800590,       -1629.9592000,
    60,           0.9800600,       -1629.9350000,
    61,           0.9800610,       -1629.9100000,
    62,           0.9800620,       -1629.8860000,
    63,           0.9800630,       -1629.8590000,
    64,           0.9800640,       -1629.8354000,
    65,           0.9800650,       -1629.8110000,
    66,           0.9800660,       -1629.7844000,
    67,           0.9800670,       -1629.7601000,
    68,           0.9800680,       -1629.7350000,
    69,           0.9800690,       -1629.7102000,
    70,           0.9800700,       -1629.6854000,
    71,           0.9800710,       -1629.6602000,
    72,           0.9800720,       -1629.6340000,
    73,           0.9800730,       -1629.6110000,
    74,           0.9800740,       -1629.5864000,
    75,           0.9800750,       -1629.5610000,
    76,           0.9800760,       -1629.5354000,
    77,           0.9800770,       -1629.5114000,
    78,           0.9800780,       -1629.4860000,
    79,           0.9800790,       -1629.4614000,
    80,           0.9800800,       -1629.4371000,
    81,           0.9800810,       -1629.4101000,
    82,           0.9800820,       -1629.3870000,
    83,           0.9800830,       -1629.3620000,
    84,           0.9800840,       -1629.3364000,
    85,           0.9800850,       -1629.3120000,
    86,           0.9800860,       -1629.2862000,
    87,           0.9800870,       -1629.2613000,
    88,           0.9800880,       -1629.2360000,
    89,           0.9800890,       -1629.2120000,
    90,           0.9800900,       -1629.1860000,
    91,           0.9800910,       -1629.1630000,
    92,           0.9800920,       -1629.1380000,
    93,           0.9800930,       -1629.1112000,
    94,           0.9800940,       -1629.0860000,
    95,           0.9800950,       -1629.0620000,
    96,           0.9800960,       -1629.0364000,
    97,           0.9800970,       -1629.0120000,
    98,           0.9800980,       -1628.9863000,
    99,           0.9800990,       -1628.9603000,
   100,           0.9801000,       -1628.9371000,
   101,           0.9801010,       -1628.9130000,
   102,           0.9801020,       -1628.8864000,
   103,           0.9801030,       -1628.8604000,
   104,           0.9801040,       -1628.8360000,
   105,           0.9801050,       -1628.8111000,
   106,           0.9801060,       -1628.7870000,
   107,           0.9801070,       -1628.7614000,
   108,           0.9801080,       -1628.7352000,
   109,           0.9801090,       -1628.7120000,
   110,           0.9801100,       -1628.6880000,
   111,           0.9801110,       -1628.6623000,
   112,           0.9801120,       -1628.6370000,
   113,           0.9801130,       -1628.6110000,
   114,           0.9801140,       -1628.5872000,
   115,           0.9801150,       -1628.5630000,
   116,           0.9801160,       -1628.5382000,
