Iteration,phi,lnL
     1,           0.9800010,       -6774.5690000,
     2,           0.9800020,       -6774.3890000,
     3,           0.9800030,       -6774.2104000,
     4,           0.9800040,       -6774.0330000,
     5,           0.9800050,       -6773.8510000,
     6,           0.9800060,       -6773.6850000,
     7,           0.9800070,       -6773.5080000,
     8,           0.9800080,       -6773.3281000,
     9,           0.9800090,       -6773.1464000,
    10,           0.9800100,       -6772.9814000,
    11,           0.9800110,       -6772.8012000,
    12,           0.9800120,       -6772.6210000,
    13,           0.9800130,       -6772.4453000,
    14,           0.9800140,       -6772.2651000,
    15,           0.9800150,       -6772.0960000,
    16,           0.9800160,       -6771.9130000,
    17,           0.9800170,       -6771.7402000,
    18,           0.9800180,       -6771.5600000,
    19,           0.9800190,       -6771.3881000,
    20,           0.9800200,       -6771.2114000,
    21,           0.9800210,       -6771.0280000,
    22,           0.9800220,       -6770.8510000,
    23,           0.9800230,       -6770.6752000,
    24,           0.9800240,       -6770.5040000,
    25,           0.9800250,       -6770.3291000,
    26,           0.9800260,       -6770.1490000,
    27,           0.9800270,       -6769.9680000,
    28,           0.9800280,       -6769.8000000,
    29,           0.9800290,       -6769.6274000,
    30,           0.9800300,       -6769.4443000,
    31,           0.9800310,       -6769.2651000,
    32,           0.9800320,       -6769.0830000,
    33,           0.9800330,       -6768.9140000,
    34,           0.9800340,       -6768.7360000,
    35,           0.9800350,       -6768.5620000,
    36,           0.9800360,       -6768.3770000,
    37,           0.9800370,       -6768.2120000,
    38,           0.9800380,       -6768.0332000,
    39,           0.9800390,       -6767.8510000,
    40,           0.9800400,       -6767.6740000,
    41,           0.9800410,       -6767.4980000,
    42,           0.9800420,       -6767.3232000,
    43,           0.9800430,       -6767.1450000,
    44,           0.9800440,       -6766.9710000,
    45,           0.9800450,       -6766.7861000,
    46,           0.9800460,       -6766.6190000,
    47,           0.9800470,       -6766.4423000,
    48,           0.9800480,       -6766.2600000,
    49,           0.9800490,       -6766.0781000,
    50,           0.9800500,       -6765.9082000,
    51,           0.9800510,       -6765.7320000,
    52,           0.9800520,       -6765.5571000,
    53,           0.9800530,       -6765.3774000,
    54,           0.9800540,       -6765.1950000,
    55,           0.9800550,       -6765.0280000,
    56,           0.9800560,       -6764.8520000,
    57,           0.9800570,       -6764.6674000,
    58,           0.9800580,       -6764.4931000,
    59,           0.9800590,       -6764.3120000,
    60,           0.9800600,       -6764.1430000,
    61,           0.9800610,       -6763.9653000,
    62,           0.9800620,       -6763.7880000,
    63,           0.9800630,       -6763.6050000,
    64,           0.9800640,       -6763.4360000,
    65,           0.9800650,       -6763.2631000,
    66,           0.9800660,       -6763.0761000,
    67,           0.9800670,       -6762.9023000,
    68,           0.9800680,       -6762.7250000,
    69,           0.9800690,       -6762.5512000,
    70,           0.9800700,       -6762.3774000,
    71,           0.9800710,       -6762.2001000,
    72,           0.9800720,       -6762.0150000,
    73,           0.9800730,       -6761.8450000,
    74,           0.9800740,       -6761.6690000,
    75,           0.9800750,       -6761.4910000,
    76,           0.9800760,       -6761.3081000,
    77,           0.9800770,       -6761.1352000,
    78,           0.9800780,       -6760.9600000,
    79,           0.9800790,       -6760.7840000,
    80,           0.9800800,       -6760.6074000,
    81,           0.9800810,       -6760.4233000,
    82,           0.9800820,       -6760.2543000,
    83,           0.9800830,       -6760.0770000,
    84,           0.9800840,       -6759.8984000,
    85,           0.9800850,       -6759.7182000,
    86,           0.9800860,       -6759.5400000,
    87,           0.9800870,       -6759.3690000,
    88,           0.9800880,       -6759.1900000,
    89,           0.9800890,       -6759.0161000,
    90,           0.9800900,       -6758.8330000,
    91,           0.9800910,       -6758.6640000,
    92,           0.9800920,       -6758.4931000,
    93,           0.9800930,       -6758.3030000,
    94,           0.9800940,       -6758.1300000,
    95,           0.9800950,       -6757.9510000,
    96,           0.9800960,       -6757.7812000,
    97,           0.9800970,       -6757.6060000,
    98,           0.9800980,       -6757.4223000,
    99,           0.9800990,       -6757.2430000,
   100,           0.9801000,       -6757.0760000,
   101,           0.9801010,       -6756.8980000,
   102,           0.9801020,       -6756.7160000,
   103,           0.9801030,       -6756.5380000,
   104,           0.9801040,       -6756.3620000,
   105,           0.9801050,       -6756.1880000,
   106,           0.9801060,       -6756.0102000,
   107,           0.9801070,       -6755.8344000,
   108,           0.9801080,       -6755.6523000,
   109,           0.9801090,       -6755.4863000,
   110,           0.9801100,       -6755.3080000,
   111,           0.9801110,       -6755.1230000,
   112,           0.9801120,       -6754.9460000,
   113,           0.9801130,       -6754.7680000,
   114,           0.9801140,       -6754.5960000,
   115,           0.9801150,       -6754.4190000,
   116,           0.9801160,       -6754.2421000,
   117,           0.9801170,       -6754.0610000,
   118,           0.9801180,       -6753.8930000,
   119,           0.9801190,       -6753.7130000,
   120,           0.9801200,       -6753.5322000,
   121,           0.9801210,       -6753.3530000,
   122,           0.9801220,       -6753.1743000,
   123,           0.9801230,       -6753.0024000,
   124,           0.9801240,       -6752.8280000,
   125,           0.9801250,       -6752.6503000,
   126,           0.9801260,       -6752.4682000,
   127,           0.9801270,       -6752.2993000,
   128,           0.9801280,       -6752.1230000,
   129,           0.9801290,       -6751.9423000,
   130,           0.9801300,       -6751.7641000,
   131,           0.9801310,       -6751.5990000,
   132,           0.9801320,       -6751.4110000,
   133,           0.9801330,       -6751.2373000,
   134,           0.9801340,       -6751.0581000,
   135,           0.9801350,       -6750.8740000,
   136,           0.9801360,       -6750.7090000,
   137,           0.9801370,       -6750.5332000,
   138,           0.9801380,       -6750.3500000,
   139,           0.9801390,       -6750.1690000,
   140,           0.9801400,       -6750.0053000,
   141,           0.9801410,       -6749.8230000,
   142,           0.9801420,       -6749.6430000,
   143,           0.9801430,       -6749.4692000,
   144,           0.9801440,       -6749.2773000,
   145,           0.9801450,       -6749.1130000,
   146,           0.9801460,       -6748.9370000,
   147,           0.9801470,       -6748.7550000,
   148,           0.9801480,       -6748.5770000,
   149,           0.9801490,       -6748.4100000,
   150,           0.9801500,       -6748.2294000,
   151,           0.9801510,       -6748.0480000,
   152,           0.9801520,       -6747.8730000,
   153,           0.9801530,       -6747.6890000,
   154,           0.9801540,       -6747.5214000,
   155,           0.9801550,       -6747.3480000,
   156,           0.9801560,       -6747.1621000,
   157,           0.9801570,       -6746.9840000,
   158,           0.9801580,       -6746.8180000,
   159,           0.9801590,       -6746.6340000,
   160,           0.9801600,       -6746.4600000,
   161,           0.9801610,       -6746.2812000,
   162,           0.9801620,       -6746.1000000,
   163,           0.9801630,       -6745.9300000,
   164,           0.9801640,       -6745.7550000,
   165,           0.9801650,       -6745.5703000,
   166,           0.9801660,       -6745.3920000,
   167,           0.9801670,       -6745.2270000,
   168,           0.9801680,       -6745.0434000,
   169,           0.9801690,       -6744.8681000,
   170,           0.9801700,       -6744.6904000,
   171,           0.9801710,       -6744.5034000,
   172,           0.9801720,       -6744.3403000,
   173,           0.9801730,       -6744.1582000,
   174,           0.9801740,       -6743.9790000,
   175,           0.9801750,       -6743.8030000,
   176,           0.9801760,       -6743.6372000,
   177,           0.9801770,       -6743.4560000,
   178,           0.9801780,       -6743.2730000,
   179,           0.9801790,       -6743.0970000,
   180,           0.9801800,       -6742.9121000,
   181,           0.9801810,       -6742.7480000,
   182,           0.9801820,       -6742.5644000,
   183,           0.9801830,       -6742.3840000,
   184,           0.9801840,       -6742.2050000,
   185,           0.9801850,       -6742.0390000,
   186,           0.9801860,       -6741.8554000,
   187,           0.9801870,       -6741.6811000,
   188,           0.9801880,       -6741.5040000,
   189,           0.9801890,       -6741.3242000,
   190,           0.9801900,       -6741.1580000,
   191,           0.9801910,       -6740.9770000,
   192,           0.9801920,       -6740.7900000,
   193,           0.9801930,       -6740.6160000,
   194,           0.9801940,       -6740.4510000,
   195,           0.9801950,       -6740.2680000,
   196,           0.9801960,       -6740.0893000,
   197,           0.9801970,       -6739.9101000,
   198,           0.9801980,       -6739.7260000,
   199,           0.9801990,       -6739.5580000,
   200,           0.9802000,       -6739.3840000,
   201,           0.9802010,       -6739.2010000,
   202,           0.9802020,       -6739.0224000,
   203,           0.9802030,       -6738.8593000,
   204,           0.9802040,       -6738.6680000,
   205,           0.9802050,       -6738.4951000,
   206,           0.9802060,       -6738.3193000,
   207,           0.9802070,       -6738.1380000,
   208,           0.9802080,       -6737.9692000,
   209,           0.9802090,       -6737.7920000,
   210,           0.9802100,       -6737.6070000,
   211,           0.9802110,       -6737.4290000,
   212,           0.9802120,       -6737.2660000,
   213,           0.9802130,       -6737.0742000,
   214,           0.9802140,       -6736.9010000,
   215,           0.9802150,       -6736.7300000,
   216,           0.9802160,       -6736.5400000,
   217,           0.9802170,       -6736.3774000,
   218,           0.9802180,       -6736.1950000,
   219,           0.9802190,       -6736.0090000,
   220,           0.9802200,       -6735.8374000,
   221,           0.9802210,       -6735.6680000,
   222,           0.9802220,       -6735.4863000,
   223,           0.9802230,       -6735.3061000,
   224,           0.9802240,       -6735.1333000,
   225,           0.9802250,       -6734.9480000,
   226,           0.9802260,       -6734.7802000,
   227,           0.9802270,       -6734.6040000,
   228,           0.9802280,       -6734.4220000,
   229,           0.9802290,       -6734.2460000,
