Iteration,phi,lnL
     1,           0.9800010,       -2542.3330000,
     2,           0.9800020,       -2542.2622000,
     3,           0.9800030,       -2542.1930000,
     4,           0.9800040,       -2542.1230000,
     5,           0.9800050,       -2542.0522000,
     6,           0.9800060,       -2541.9870000,
     7,           0.9800070,       -2541.9170000,
     8,           0.9800080,       -2541.8464000,
     9,           0.9800090,       -2541.7761000,
    10,           0.9800100,       -2541.7121000,
    11,           0.9800110,       -2541.6394000,
    12,           0.9800120,       -2541.5710000,
    13,           0.9800130,       -2541.5020000,
    14,           0.9800140,       -2541.4321000,
    15,           0.9800150,       -2541.3660000,
    16,           0.9800160,       -2541.2950000,
    17,           0.9800170,       -2541.2263000,
    18,           0.9800180,       -2541.1542000,
    19,           0.9800190,       -2541.0900000,
    20,           0.9800200,       -2541.0212000,
    21,           0.9800210,       -2540.9494000,
    22,           0.9800220,       -2540.8793000,
    23,           0.9800230,       -2540.8110000,
    24,           0.9800240,       -2540.7434000,
    25,           0.9800250,       -2540.6750000,
    26,           0.9800260,       -2540.6050000,
    27,           0.9800270,       -2540.5334000,
    28,           0.9800280,       -2540.4670000,
    29,           0.9800290,       -2540.3990000,
    30,           0.9800300,       -2540.3281000,
    31,           0.9800310,       -2540.2580000,
    32,           0.9800320,       -2540.1884000,
    33,           0.9800330,       -2540.1210000,
    34,           0.9800340,       -2540.0522000,
    35,           0.9800350,       -2539.9841000,
    36,           0.9800360,       -2539.9120000,
    37,           0.9800370,       -2539.8471000,
    38,           0.9800380,       -2539.7763000,
    39,           0.9800390,       -2539.7053000,
    40,           0.9800400,       -2539.6364000,
    41,           0.9800410,       -2539.5680000,
    42,           0.9800420,       -2539.5002000,
    43,           0.9800430,       -2539.4301000,
    44,           0.9800440,       -2539.3610000,
    45,           0.9800450,       -2539.2910000,
    46,           0.9800460,       -2539.2250000,
    47,           0.9800470,       -2539.1560000,
    48,           0.9800480,       -2539.0854000,
    49,           0.9800490,       -2539.0141000,
    50,           0.9800500,       -2538.9462000,
    51,           0.9800510,       -2538.8780000,
    52,           0.9800520,       -2538.8093000,
    53,           0.9800530,       -2538.7400000,
    54,           0.9800540,       -2538.6680000,
    55,           0.9800550,       -2538.6042000,
    56,           0.9800560,       -2538.5344000,
    57,           0.9800570,       -2538.4621000,
    58,           0.9800580,       -2538.3940000,
    59,           0.9800590,       -2538.3240000,
    60,           0.9800600,       -2538.2573000,
    61,           0.9800610,       -2538.1872000,
    62,           0.9800620,       -2538.1190000,
    63,           0.9800630,       -2538.0470000,
    64,           0.9800640,       -2537.9820000,
    65,           0.9800650,       -2537.9140000,
    66,           0.9800660,       -2537.8410000,
    67,           0.9800670,       -2537.7722000,
    68,           0.9800680,       -2537.7023000,
    69,           0.9800690,       -2537.6350000,
    70,           0.9800700,       -2537.5673000,
    71,           0.9800710,       -2537.4970000,
    72,           0.9800720,       -2537.4260000,
    73,           0.9800730,       -2537.3600000,
    74,           0.9800740,       -2537.2910000,
    75,           0.9800750,       -2537.2200000,
    76,           0.9800760,       -2537.1500000,
    77,           0.9800770,       -2537.0812000,
    78,           0.9800780,       -2537.0134000,
    79,           0.9800790,       -2536.9440000,
    80,           0.9800800,       -2536.8760000,
    81,           0.9800810,       -2536.8040000,
    82,           0.9800820,       -2536.7390000,
    83,           0.9800830,       -2536.6691000,
    84,           0.9800840,       -2536.5983000,
    85,           0.9800850,       -2536.5290000,
    86,           0.9800860,       -2536.4600000,
    87,           0.9800870,       -2536.3930000,
    88,           0.9800880,       -2536.3230000,
    89,           0.9800890,       -2536.2541000,
    90,           0.9800900,       -2536.1831000,
    91,           0.9800910,       -2528.7190000,
    92,           0.9800920,       -2528.6491000,
    93,           0.9800930,       -2528.5770000,
    94,           0.9800940,       -2528.5083000,
    95,           0.9800950,       -2528.4392000,
    96,           0.9800960,       -2528.3710000,
    97,           0.9800970,       -2528.3024000,
    98,           0.9800980,       -2528.2324000,
    99,           0.9800990,       -2528.1620000,
   100,           0.9801000,       -2528.0961000,
