Iteration,phi,lnL
     1,           0.9800010,       -2322.5400000,
     2,           0.9800020,       -2322.4772000,
     3,           0.9800030,       -2322.4150000,
     4,           0.9800040,       -2322.3540000,
     5,           0.9800050,       -2322.2902000,
     6,           0.9800060,       -2322.2324000,
     7,           0.9800070,       -2322.1713000,
     8,           0.9800080,       -2322.1083000,
     9,           0.9800090,       -2322.0461000,
    10,           0.9800100,       -2321.9890000,
    11,           0.9800110,       -2321.9252000,
    12,           0.9800120,       -2321.8632000,
    13,           0.9800130,       -2321.8030000,
    14,           0.9800140,       -2321.7400000,
    15,           0.9800150,       -2321.6823000,
    16,           0.9800160,       -2321.6190000,
    17,           0.9800170,       -2321.5573000,
    18,           0.9800180,       -2321.4953000,
    19,           0.9800190,       -2321.4370000,
    20,           0.9800200,       -2321.3754000,
    21,           0.9800210,       -2321.3120000,
    22,           0.9800220,       -2321.2510000,
    23,           0.9800230,       -2321.1890000,
    24,           0.9800240,       -2321.1280000,
    25,           0.9800250,       -2321.0680000,
    26,           0.9800260,       -2321.0041000,
    27,           0.9800270,       -2320.9430000,
    28,           0.9800280,       -2320.8840000,
    29,           0.9800290,       -2320.8222000,
    30,           0.9800300,       -2320.7600000,
    31,           0.9800310,       -2320.6982000,
    32,           0.9800320,       -2320.6364000,
    33,           0.9800330,       -2320.5760000,
    34,           0.9800340,       -2320.5161000,
    35,           0.9800350,       -2320.4543000,
    36,           0.9800360,       -2320.3913000,
    37,           0.9800370,       -2320.3330000,
    38,           0.9800380,       -2320.2714000,
    39,           0.9800390,       -2320.2080000,
    40,           0.9800400,       -2320.1470000,
    41,           0.9800410,       -2320.0850000,
    42,           0.9800420,       -2320.0240000,
    43,           0.9800430,       -2319.9620000,
    44,           0.9800440,       -2319.9010000,
    45,           0.9800450,       -2319.8383000,
    46,           0.9800460,       -2319.7800000,
    47,           0.9800470,       -2319.7182000,
    48,           0.9800480,       -2319.6562000,
    49,           0.9800490,       -2319.5940000,
    50,           0.9800500,       -2319.5334000,
    51,           0.9800510,       -2319.4731000,
    52,           0.9800520,       -2319.4111000,
    53,           0.9800530,       -2319.3500000,
    54,           0.9800540,       -2319.2860000,
    55,           0.9800550,       -2319.2290000,
    56,           0.9800560,       -2319.1660000,
    57,           0.9800570,       -2319.1040000,
    58,           0.9800580,       -2319.0420000,
    59,           0.9800590,       -2318.9820000,
    60,           0.9800600,       -2318.9220000,
    61,           0.9800610,       -2318.8601000,
    62,           0.9800620,       -2318.7990000,
    63,           0.9800630,       -2318.7360000,
    64,           0.9800640,       -2318.6770000,
    65,           0.9800650,       -2318.6160000,
    66,           0.9800660,       -2318.5510000,
    67,           0.9800670,       -2318.4900000,
    68,           0.9800680,       -2318.4280000,
    69,           0.9800690,       -2318.3684000,
    70,           0.9800700,       -2318.3080000,
    71,           0.9800710,       -2318.2453000,
    72,           0.9800720,       -2318.1830000,
    73,           0.9800730,       -2318.1242000,
    74,           0.9800740,       -2318.0640000,
    75,           0.9800750,       -2318.0000000,
    76,           0.9800760,       -2317.9392000,
    77,           0.9800770,       -2317.8774000,
    78,           0.9800780,       -2317.8180000,
    79,           0.9800790,       -2317.7561000,
    80,           0.9800800,       -2317.6960000,
    81,           0.9800810,       -2317.6311000,
    82,           0.9800820,       -2317.5744000,
    83,           0.9800830,       -2317.5124000,
    84,           0.9800840,       -2317.4492000,
    85,           0.9800850,       -2317.3864000,
    86,           0.9800860,       -2317.3254000,
    87,           0.9800870,       -2317.2660000,
    88,           0.9800880,       -2317.2040000,
    89,           0.9800890,       -2317.1440000,
    90,           0.9800900,       -2317.0800000,
    91,           0.9800910,       -2317.0220000,
    92,           0.9800920,       -2316.9604000,
    93,           0.9800930,       -2316.8962000,
    94,           0.9800940,       -2316.8352000,
    95,           0.9800950,       -2316.7741000,
