Iteration,phi,lnL
     1,           0.9800010,       -1786.4570000,
     2,           0.9800020,       -1786.4152000,
     3,           0.9800030,       -1786.3760000,
     4,           0.9800040,       -1786.3370000,
     5,           0.9800050,       -1786.2941000,
     6,           0.9800060,       -1786.2570000,
     7,           0.9800070,       -1786.2164000,
     8,           0.9800080,       -1786.1770000,
     9,           0.9800090,       -1786.1360000,
    10,           0.9800100,       -1786.0990000,
    11,           0.9800110,       -1786.0574000,
    12,           0.9800120,       -1786.0180000,
    13,           0.9800130,       -1785.9780000,
    14,           0.9800140,       -1785.9384000,
    15,           0.9800150,       -1785.9000000,
    16,           0.9800160,       -1785.8592000,
    17,           0.9800170,       -1785.8200000,
    18,           0.9800180,       -1785.7790000,
    19,           0.9800190,       -1785.7420000,
    20,           0.9800200,       -1785.7032000,
    21,           0.9800210,       -1785.6602000,
    22,           0.9800220,       -1785.6200000,
    23,           0.9800230,       -1785.5811000,
    24,           0.9800240,       -1785.5420000,
    25,           0.9800250,       -1785.5030000,
    26,           0.9800260,       -1785.4620000,
    27,           0.9800270,       -1785.4220000,
    28,           0.9800280,       -1785.3834000,
    29,           0.9800290,       -1785.3440000,
    30,           0.9800300,       -1785.3024000,
    31,           0.9800310,       -1785.2630000,
    32,           0.9800320,       -1785.2232000,
    33,           0.9800330,       -1785.1840000,
    34,           0.9800340,       -1785.1441000,
    35,           0.9800350,       -1785.1042000,
    36,           0.9800360,       -1785.0623000,
    37,           0.9800370,       -1785.0260000,
    38,           0.9800380,       -1784.9844000,
    39,           0.9800390,       -1784.9440000,
    40,           0.9800400,       -1784.9050000,
    41,           0.9800410,       -1784.8643000,
    42,           0.9800420,       -1784.8253000,
    43,           0.9800430,       -1784.7862000,
    44,           0.9800440,       -1784.7462000,
    45,           0.9800450,       -1784.7050000,
    46,           0.9800460,       -1784.6680000,
    47,           0.9800470,       -1784.6273000,
    48,           0.9800480,       -1784.5870000,
    49,           0.9800490,       -1784.5474000,
    50,           0.9800500,       -1784.5072000,
    51,           0.9800510,       -1784.4680000,
    52,           0.9800520,       -1784.4290000,
    53,           0.9800530,       -1784.3880000,
    54,           0.9800540,       -1784.3470000,
    55,           0.9800550,       -1784.3100000,
    56,           0.9800560,       -1784.2700000,
    57,           0.9800570,       -1784.2291000,
    58,           0.9800580,       -1784.1892000,
    59,           0.9800590,       -1784.1490000,
    60,           0.9800600,       -1784.1120000,
    61,           0.9800610,       -1784.0710000,
    62,           0.9800620,       -1784.0310000,
    63,           0.9800630,       -1783.9902000,
    64,           0.9800640,       -1783.9531000,
    65,           0.9800650,       -1783.9130000,
    66,           0.9800660,       -1783.8714000,
    67,           0.9800670,       -1783.8320000,
    68,           0.9800680,       -1783.7922000,
    69,           0.9800690,       -1783.7530000,
    70,           0.9800700,       -1783.7140000,
    71,           0.9800710,       -1783.6730000,
    72,           0.9800720,       -1783.6331000,
    73,           0.9800730,       -1783.5950000,
    74,           0.9800740,       -1783.5544000,
    75,           0.9800750,       -1783.5140000,
    76,           0.9800760,       -1783.4740000,
