Iteration,phi,lnL
     1,           0.9800010,        -117.4513200,
     2,           0.9800020,        -117.4487000,
     3,           0.9800030,        -117.4461000,
     4,           0.9800040,        -117.4435100,
     5,           0.9800050,        -117.4409000,
     6,           0.9800060,        -117.4384200,
     7,           0.9800070,        -117.4359000,
     8,           0.9800080,        -117.4332100,
     9,           0.9800090,        -117.4306100,
    10,           0.9800100,        -117.4282200,
    11,           0.9800110,        -117.4255400,
    12,           0.9800120,        -117.4230000,
    13,           0.9800130,        -117.4201200,
    14,           0.9800140,        -117.4175200,
    15,           0.9800150,        -117.4151000,
    16,           0.9800160,        -117.4124200,
    17,           0.9800170,        -117.4099000,
    18,           0.9800180,        -117.4072200,
    19,           0.9800190,        -117.4048000,
    20,           0.9800200,        -117.4022200,
    21,           0.9800210,        -117.3995400,
    22,           0.9800220,        -117.3970000,
    23,           0.9800230,        -117.3943300,
    24,           0.9800240,        -117.3918000,
    25,           0.9800250,        -117.3893000,
    26,           0.9800260,        -117.3866400,
    27,           0.9800270,        -117.3840000,
    28,           0.9800280,        -117.3815400,
    29,           0.9800290,        -117.3790000,
    30,           0.9800300,        -117.3763400,
    31,           0.9800310,        -117.3737400,
    32,           0.9800320,        -117.3712000,
    33,           0.9800330,        -117.3686300,
    34,           0.9800340,        -117.3661000,
    35,           0.9800350,        -117.3635400,
    36,           0.9800360,        -117.3608300,
    37,           0.9800370,        -117.3584300,
    38,           0.9800380,        -117.3558200,
    39,           0.9800390,        -117.3532000,
    40,           0.9800400,        -117.3506100,
    41,           0.9800410,        -117.3480200,
    42,           0.9800420,        -117.3455300,
    43,           0.9800430,        -117.3429200,
    44,           0.9800440,        -117.3404000,
    45,           0.9800450,        -117.3377400,
    46,           0.9800460,        -117.3353000,
    47,           0.9800470,        -117.3327300,
    48,           0.9800480,        -117.3301000,
    49,           0.9800490,        -117.3275000,
    50,           0.9800500,        -117.3249400,
    51,           0.9800510,        -117.3224000,
    52,           0.9800520,        -117.3198400,
    53,           0.9800530,        -117.3170000,
    54,           0.9800540,        -117.3143000,
    55,           0.9800550,        -117.3119100,
    56,           0.9800560,        -117.3093100,
    57,           0.9800570,        -117.3067000,
    58,           0.9800580,        -117.3041000,
    59,           0.9800590,        -117.3015000,
    60,           0.9800600,        -117.2990100,
    61,           0.9800610,        -117.2964100,
    62,           0.9800620,        -117.2939000,
    63,           0.9800630,        -117.2912000,
    64,           0.9800640,        -117.2888000,
    65,           0.9800650,        -117.2861400,
    66,           0.9800660,        -117.2834200,
    67,           0.9800670,        -117.2809000,
    68,           0.9800680,        -117.2783000,
    69,           0.9800690,        -117.2758000,
    70,           0.9800700,        -117.2732300,
    71,           0.9800710,        -117.2706200,
    72,           0.9800720,        -117.2680000,
    73,           0.9800730,        -117.2655400,
    74,           0.9800740,        -117.2630000,
    75,           0.9800750,        -117.2603300,
    76,           0.9800760,        -117.2577300,
    77,           0.9800770,        -117.2552000,
    78,           0.9800780,        -117.2526300,
    79,           0.9800790,        -117.2501000,
    80,           0.9800800,        -117.2475400,
    81,           0.9800810,        -117.2448400,
    82,           0.9800820,        -117.2424400,
    83,           0.9800830,        -117.2398400,
    84,           0.9800840,        -117.2372000,
    85,           0.9800850,        -117.2346400,
    86,           0.9800860,        -117.2320400,
    87,           0.9800870,        -117.2296000,
    88,           0.9800880,        -117.2270000,
    89,           0.9800890,        -117.2244100,
    90,           0.9800900,        -117.2218000,
    91,           0.9800910,        -117.2193200,
    92,           0.9800920,        -117.2168000,
    93,           0.9800930,        -117.2138000,
    94,           0.9800940,        -117.2112400,
    95,           0.9800950,        -117.2087000,
    96,           0.9800960,        -117.2061200,
    97,           0.9800970,        -117.2036000,
    98,           0.9800980,        -117.2010000,
    99,           0.9800990,        -117.1983400,
   100,           0.9801000,        -117.1959000,
   101,           0.9801010,        -117.1933400,
   102,           0.9801020,        -117.1907100,
   103,           0.9801030,        -117.1881100,
   104,           0.9801040,        -117.1855300,
   105,           0.9801050,        -117.1830000,
   106,           0.9801060,        -117.1805000,
   107,           0.9801070,        -117.1778100,
   108,           0.9801080,        -117.1751300,
   109,           0.9801090,        -117.1727200,
   110,           0.9801100,        -117.1701300,
   111,           0.9801110,        -117.1675000,
   112,           0.9801120,        -117.1649000,
   113,           0.9801130,        -117.1623000,
   114,           0.9801140,        -117.1599000,
   115,           0.9801150,        -117.1573000,
   116,           0.9801160,        -117.1547000,
   117,           0.9801170,        -117.1520300,
   118,           0.9801180,        -117.1496200,
   119,           0.9801190,        -117.1470300,
   120,           0.9801200,        -117.1444000,
   121,           0.9801210,        -117.1418000,
   122,           0.9801220,        -117.1392000,
   123,           0.9801230,        -117.1367100,
   124,           0.9801240,        -117.1341300,
   125,           0.9801250,        -117.1315400,
   126,           0.9801260,        -117.1289000,
   127,           0.9801270,        -117.1265000,
   128,           0.9801280,        -117.1239000,
   129,           0.9801290,        -117.1213000,
   130,           0.9801300,        -117.1187000,
   131,           0.9801310,        -117.1163000,
   132,           0.9801320,        -117.1136000,
   133,           0.9801330,        -117.1108000,
   134,           0.9801340,        -117.1082000,
   135,           0.9801350,        -117.1055000,
   136,           0.9801360,        -117.1031000,
   137,           0.9801370,        -117.1005000,
   138,           0.9801380,        -117.0979000,
   139,           0.9801390,        -117.0953000,
   140,           0.9801400,        -117.0929000,
   141,           0.9801410,        -117.0902300,
   142,           0.9801420,        -117.0876200,
   143,           0.9801430,        -117.0851000,
   144,           0.9801440,        -117.0824000,
   145,           0.9801450,        -117.0800000,
   146,           0.9801460,        -117.0774000,
   147,           0.9801470,        -117.0747300,
   148,           0.9801480,        -117.0721000,
   149,           0.9801490,        -117.0697000,
   150,           0.9801500,        -117.0670200,
   151,           0.9801510,        -117.0644300,
   152,           0.9801520,        -117.0619000,
   153,           0.9801530,        -117.0592100,
   154,           0.9801540,        -117.0568000,
   155,           0.9801550,        -117.0542300,
   156,           0.9801560,        -117.0515300,
   157,           0.9801570,        -117.0490000,
   158,           0.9801580,        -117.0465300,
   159,           0.9801590,        -117.0439000,
   160,           0.9801600,        -117.0414000,
   161,           0.9801610,        -117.0387400,
   162,           0.9801620,        -117.0361000,
   163,           0.9801630,        -117.0337000,
   164,           0.9801640,        -117.0311200,
   165,           0.9801650,        -117.0285000,
   166,           0.9801660,        -117.0259000,
   167,           0.9801670,        -117.0235000,
   168,           0.9801680,        -117.0208000,
   169,           0.9801690,        -117.0182300,
   170,           0.9801700,        -117.0157000,
   171,           0.9801710,        -117.0130000,
   172,           0.9801720,        -117.0106000,
   173,           0.9801730,        -117.0077000,
   174,           0.9801740,        -117.0050400,
   175,           0.9801750,        -117.0025100,
   176,           0.9801760,        -117.0001000,
   177,           0.9801770,        -116.9974200,
   178,           0.9801780,        -116.9948100,
   179,           0.9801790,        -116.9923000,
   180,           0.9801800,        -116.9896000,
   181,           0.9801810,        -116.9872000,
   182,           0.9801820,        -116.9846000,
   183,           0.9801830,        -116.9819300,
   184,           0.9801840,        -116.9794000,
   185,           0.9801850,        -116.9770000,
   186,           0.9801860,        -116.9743100,
   187,           0.9801870,        -116.9717100,
   188,           0.9801880,        -116.9692000,
   189,           0.9801890,        -116.9665200,
   190,           0.9801900,        -116.9640000,
   191,           0.9801910,        -116.9614400,
   192,           0.9801920,        -116.9588000,
   193,           0.9801930,        -116.9562000,
   194,           0.9801940,        -116.9538000,
   195,           0.9801950,        -116.9511400,
   196,           0.9801960,        -116.9486000,
   197,           0.9801970,        -116.9460000,
   198,           0.9801980,        -116.9433200,
   199,           0.9801990,        -116.9409000,
   200,           0.9802000,        -116.9383300,
   201,           0.9802010,        -116.9357000,
   202,           0.9802020,        -116.9331000,
   203,           0.9802030,        -116.9307000,
   204,           0.9802040,        -116.9280000,
   205,           0.9802050,        -116.9255000,
   206,           0.9802060,        -116.9229000,
   207,           0.9802070,        -116.9202300,
   208,           0.9802080,        -116.9178300,
   209,           0.9802090,        -116.9152000,
   210,           0.9802100,        -116.9126000,
   211,           0.9802110,        -116.9100000,
   212,           0.9802120,        -116.9073100,
