Iteration,phi,lnL
     1,           0.9800010,       -3738.4501000,
     2,           0.9800020,       -3738.3620000,
     3,           0.9800030,       -3738.2751000,
     4,           0.9800040,       -3738.1911000,
     5,           0.9800050,       -3738.1032000,
     6,           0.9800060,       -3738.0214000,
     7,           0.9800070,       -3737.9372000,
     8,           0.9800080,       -3737.8483000,
     9,           0.9800090,       -3737.7653000,
    10,           0.9800100,       -3737.6850000,
    11,           0.9800110,       -3737.5970000,
    12,           0.9800120,       -3737.5120000,
    13,           0.9800130,       -3737.4262000,
    14,           0.9800140,       -3737.3403000,
    15,           0.9800150,       -3737.2602000,
    16,           0.9800160,       -3737.1740000,
    17,           0.9800170,       -3737.0883000,
    18,           0.9800180,       -3737.0000000,
    19,           0.9800190,       -3736.9211000,
    20,           0.9800200,       -3736.8364000,
    21,           0.9800210,       -3736.7490000,
    22,           0.9800220,       -3736.6630000,
    23,           0.9800230,       -3736.5771000,
    24,           0.9800240,       -3736.4950000,
    25,           0.9800250,       -3736.4120000,
    26,           0.9800260,       -3736.3240000,
    27,           0.9800270,       -3736.2363000,
    28,           0.9800280,       -3736.1550000,
    29,           0.9800290,       -3736.0730000,
    30,           0.9800300,       -3735.9850000,
    31,           0.9800310,       -3735.8984000,
    32,           0.9800320,       -3735.8140000,
    33,           0.9800330,       -3735.7310000,
    34,           0.9800340,       -3735.6430000,
    35,           0.9800350,       -3735.5612000,
    36,           0.9800360,       -3735.4733000,
    37,           0.9800370,       -3735.3923000,
    38,           0.9800380,       -3735.3050000,
    39,           0.9800390,       -3735.2190000,
    40,           0.9800400,       -3735.1320000,
    41,           0.9800410,       -3735.0470000,
    42,           0.9800420,       -3734.9660000,
    43,           0.9800430,       -3734.8784000,
    44,           0.9800440,       -3734.7954000,
    45,           0.9800450,       -3734.7070000,
    46,           0.9800460,       -3734.6270000,
    47,           0.9800470,       -3734.5420000,
    48,           0.9800480,       -3734.4533000,
    49,           0.9800490,       -3734.3690000,
    50,           0.9800500,       -3734.2841000,
    51,           0.9800510,       -3734.2010000,
    52,           0.9800520,       -3734.1150000,
    53,           0.9800530,       -3734.0300000,
    54,           0.9800540,       -3733.9430000,
    55,           0.9800550,       -3733.8630000,
    56,           0.9800560,       -3733.7790000,
    57,           0.9800570,       -3733.6911000,
    58,           0.9800580,       -3733.6052000,
    59,           0.9800590,       -3733.5210000,
    60,           0.9800600,       -3733.4370000,
    61,           0.9800610,       -3733.3520000,
    62,           0.9800620,       -3733.2670000,
    63,           0.9800630,       -3733.1800000,
    64,           0.9800640,       -3733.0980000,
    65,           0.9800650,       -3733.0130000,
    66,           0.9800660,       -3732.9243000,
    67,           0.9800670,       -3732.8413000,
    68,           0.9800680,       -3732.7550000,
    69,           0.9800690,       -3732.6740000,
    70,           0.9800700,       -3732.5893000,
    71,           0.9800710,       -3732.5030000,
    72,           0.9800720,       -3732.4143000,
    73,           0.9800730,       -3732.3330000,
    74,           0.9800740,       -3732.2500000,
    75,           0.9800750,       -3732.1630000,
    76,           0.9800760,       -3732.0791000,
    77,           0.9800770,       -3731.9924000,
    78,           0.9800780,       -3731.9084000,
    79,           0.9800790,       -3731.8222000,
    80,           0.9800800,       -3731.7370000,
    81,           0.9800810,       -3731.6474000,
    82,           0.9800820,       -3731.5690000,
    83,           0.9800830,       -3731.4850000,
    84,           0.9800840,       -3731.3960000,
    85,           0.9800850,       -3731.3120000,
    86,           0.9800860,       -3731.2280000,
    87,           0.9800870,       -3731.1450000,
    88,           0.9800880,       -3731.0571000,
    89,           0.9800890,       -3730.9753000,
    90,           0.9800900,       -3730.8901000,
    91,           0.9800910,       -3730.8060000,
    92,           0.9800920,       -3730.7210000,
    93,           0.9800930,       -3730.6330000,
    94,           0.9800940,       -3730.5480000,
    95,           0.9800950,       -3730.4621000,
    96,           0.9800960,       -3730.3791000,
    97,           0.9800970,       -3730.2963000,
    98,           0.9800980,       -3730.2120000,
    99,           0.9800990,       -3730.1220000,
   100,           0.9801000,       -3730.0420000,
   101,           0.9801010,       -3729.9584000,
   102,           0.9801020,       -3729.8710000,
   103,           0.9801030,       -3729.7850000,
   104,           0.9801040,       -3729.6972000,
   105,           0.9801050,       -3729.6150000,
   106,           0.9801060,       -3729.5320000,
   107,           0.9801070,       -3729.4443000,
   108,           0.9801080,       -3729.3564000,
   109,           0.9801090,       -3729.2790000,
   110,           0.9801100,       -3729.1940000,
   111,           0.9801110,       -3729.1060000,
   112,           0.9801120,       -3729.0192000,
   113,           0.9801130,       -3728.9353000,
   114,           0.9801140,       -3728.8530000,
   115,           0.9801150,       -3728.7651000,
   116,           0.9801160,       -3728.6811000,
   117,           0.9801170,       -3728.5913000,
   118,           0.9801180,       -3728.5140000,
   119,           0.9801190,       -3728.4284000,
   120,           0.9801200,       -3728.3393000,
   121,           0.9801210,       -3728.2551000,
   122,           0.9801220,       -3728.1691000,
   123,           0.9801230,       -3728.0900000,
   124,           0.9801240,       -3728.0010000,
   125,           0.9801250,       -3727.9152000,
   126,           0.9801260,       -3727.8281000,
   127,           0.9801270,       -3727.7490000,
   128,           0.9801280,       -3727.6643000,
   129,           0.9801290,       -3727.5780000,
   130,           0.9801300,       -3727.4900000,
   131,           0.9801310,       -3727.4140000,
   132,           0.9801320,       -3727.3232000,
   133,           0.9801330,       -3727.2412000,
   134,           0.9801340,       -3727.1552000,
   135,           0.9801350,       -3727.0644000,
   136,           0.9801360,       -3726.9873000,
   137,           0.9801370,       -3726.9000000,
   138,           0.9801380,       -3726.8124000,
   139,           0.9801390,       -3726.7270000,
   140,           0.9801400,       -3726.6490000,
   141,           0.9801410,       -3726.5630000,
   142,           0.9801420,       -3726.4750000,
   143,           0.9801430,       -3726.3933000,
   144,           0.9801440,       -3726.3010000,
   145,           0.9801450,       -3726.2230000,
