Iteration,phi,lnL
     1,           0.9800010,       -2488.0270000,
     2,           0.9800020,       -2487.9530000,
     3,           0.9800030,       -2487.8813000,
     4,           0.9800040,       -2487.8110000,
     5,           0.9800050,       -2487.7370000,
     6,           0.9800060,       -2487.6700000,
     7,           0.9800070,       -2487.5990000,
     8,           0.9800080,       -2487.5263000,
     9,           0.9800090,       -2487.4550000,
    10,           0.9800100,       -2487.3890000,
    11,           0.9800110,       -2487.3150000,
    12,           0.9800120,       -2487.2440000,
    13,           0.9800130,       -2487.1733000,
    14,           0.9800140,       -2487.1013000,
    15,           0.9800150,       -2487.0332000,
    16,           0.9800160,       -2486.9610000,
    17,           0.9800170,       -2486.8903000,
    18,           0.9800180,       -2486.8170000,
    19,           0.9800190,       -2486.7502000,
    20,           0.9800200,       -2486.6790000,
    21,           0.9800210,       -2486.6050000,
    22,           0.9800220,       -2486.5340000,
    23,           0.9800230,       -2486.4633000,
    24,           0.9800240,       -2486.3950000,
    25,           0.9800250,       -2486.3234000,
    26,           0.9800260,       -2486.2520000,
    27,           0.9800270,       -2486.1790000,
    28,           0.9800280,       -2486.1113000,
    29,           0.9800290,       -2486.0410000,
    30,           0.9800300,       -2485.9680000,
    31,           0.9800310,       -2485.8960000,
    32,           0.9800320,       -2485.8250000,
    33,           0.9800330,       -2485.7551000,
    34,           0.9800340,       -2485.6850000,
    35,           0.9800350,       -2485.6140000,
    36,           0.9800360,       -2485.5400000,
    37,           0.9800370,       -2485.4733000,
    38,           0.9800380,       -2485.4011000,
    39,           0.9800390,       -2485.3290000,
    40,           0.9800400,       -2485.2583000,
    41,           0.9800410,       -2485.1862000,
    42,           0.9800420,       -2485.1170000,
    43,           0.9800430,       -2485.0451000,
    44,           0.9800440,       -2484.9750000,
    45,           0.9800450,       -2484.9020000,
    46,           0.9800460,       -2484.8350000,
    47,           0.9800470,       -2484.7631000,
    48,           0.9800480,       -2484.6901000,
    49,           0.9800490,       -2484.6180000,
    50,           0.9800500,       -2484.5480000,
    51,           0.9800510,       -2484.4780000,
    52,           0.9800520,       -2484.4072000,
    53,           0.9800530,       -2484.3360000,
    54,           0.9800540,       -2484.2614000,
    55,           0.9800550,       -2484.1960000,
    56,           0.9800560,       -2484.1240000,
    57,           0.9800570,       -2484.0510000,
    58,           0.9800580,       -2483.9802000,
    59,           0.9800590,       -2483.9082000,
    60,           0.9800600,       -2483.8393000,
    61,           0.9800610,       -2483.7673000,
    62,           0.9800620,       -2483.6970000,
    63,           0.9800630,       -2483.6230000,
    64,           0.9800640,       -2483.5554000,
    65,           0.9800650,       -2483.4853000,
    66,           0.9800660,       -2483.4110000,
    67,           0.9800670,       -2483.3403000,
    68,           0.9800680,       -2483.2683000,
    69,           0.9800690,       -2483.1990000,
    70,           0.9800700,       -2483.1290000,
    71,           0.9800710,       -2483.0570000,
    72,           0.9800720,       -2482.9840000,
    73,           0.9800730,       -2482.9162000,
    74,           0.9800740,       -2482.8460000,
    75,           0.9800750,       -2482.7722000,
    76,           0.9800760,       -2482.7004000,
    77,           0.9800770,       -2482.6300000,
    78,           0.9800780,       -2482.5600000,
    79,           0.9800790,       -2482.4892000,
    80,           0.9800800,       -2482.4190000,
    81,           0.9800810,       -2482.3440000,
    82,           0.9800820,       -2482.2770000,
    83,           0.9800830,       -2482.2060000,
    84,           0.9800840,       -2482.1330000,
    85,           0.9800850,       -2482.0620000,
    86,           0.9800860,       -2481.9900000,
    87,           0.9800870,       -2481.9210000,
    88,           0.9800880,       -2481.8483000,
    89,           0.9800890,       -2481.7780000,
    90,           0.9800900,       -2481.7050000,
    91,           0.9800910,       -2481.6380000,
    92,           0.9800920,       -2481.5664000,
    93,           0.9800930,       -2481.4912000,
    94,           0.9800940,       -2481.4210000,
    95,           0.9800950,       -2481.3500000,
    96,           0.9800960,       -2481.2800000,
    97,           0.9800970,       -2481.2092000,
    98,           0.9800980,       -2481.1372000,
    99,           0.9800990,       -2481.0644000,
   100,           0.9801000,       -2480.9963000,
   101,           0.9801010,       -2480.9260000,
   102,           0.9801020,       -2480.8530000,
   103,           0.9801030,       -2480.7810000,
   104,           0.9801040,       -2480.7090000,
   105,           0.9801050,       -2480.6391000,
   106,           0.9801060,       -2480.5683000,
   107,           0.9801070,       -2480.4973000,
   108,           0.9801080,       -2480.4233000,
   109,           0.9801090,       -2480.3564000,
   110,           0.9801100,       -2480.2850000,
   111,           0.9801110,       -2480.2120000,
   112,           0.9801120,       -2480.1391000,
   113,           0.9801130,       -2480.0680000,
   114,           0.9801140,       -2480.0000000,
   115,           0.9801150,       -2479.9280000,
   116,           0.9801160,       -2479.8560000,
   117,           0.9801170,       -2479.7822000,
   118,           0.9801180,       -2479.7160000,
   119,           0.9801190,       -2479.6440000,
   120,           0.9801200,       -2479.5710000,
   121,           0.9801210,       -2479.4992000,
   122,           0.9801220,       -2479.4270000,
   123,           0.9801230,       -2479.3590000,
   124,           0.9801240,       -2479.2870000,
   125,           0.9801250,       -2479.2153000,
   126,           0.9801260,       -2479.1420000,
   127,           0.9801270,       -2479.0744000,
   128,           0.9801280,       -2479.0030000,
   129,           0.9801290,       -2478.9310000,
   130,           0.9801300,       -2478.8581000,
   131,           0.9801310,       -2478.7920000,
   132,           0.9801320,       -2478.7170000,
   133,           0.9801330,       -2478.6460000,
   134,           0.9801340,       -2478.5740000,
   135,           0.9801350,       -2478.5004000,
   136,           0.9801360,       -2478.4340000,
   137,           0.9801370,       -2478.3613000,
   138,           0.9801380,       -2478.2880000,
   139,           0.9801390,       -2478.2163000,
   140,           0.9801400,       -2478.1491000,
   141,           0.9801410,       -2478.0761000,
   142,           0.9801420,       -2478.0040000,
   143,           0.9801430,       -2477.9331000,
   144,           0.9801440,       -2477.8583000,
   145,           0.9801450,       -2477.7920000,
   146,           0.9801460,       -2477.7202000,
   147,           0.9801470,       -2477.6460000,
   148,           0.9801480,       -2477.5740000,
   149,           0.9801490,       -2477.5080000,
   150,           0.9801500,       -2477.4340000,
   151,           0.9801510,       -2477.3620000,
   152,           0.9801520,       -2477.2900000,
   153,           0.9801530,       -2477.2170000,
   154,           0.9801540,       -2477.1490000,
   155,           0.9801550,       -2477.0781000,
   156,           0.9801560,       -2477.0040000,
   157,           0.9801570,       -2476.9321000,
   158,           0.9801580,       -2476.8650000,
   159,           0.9801590,       -2476.7912000,
   160,           0.9801600,       -2476.7204000,
   161,           0.9801610,       -2476.6481000,
   162,           0.9801620,       -2476.5742000,
   163,           0.9801630,       -2476.5070000,
   164,           0.9801640,       -2476.4360000,
   165,           0.9801650,       -2476.3630000,
   166,           0.9801660,       -2476.2900000,
   167,           0.9801670,       -2476.2241000,
   168,           0.9801680,       -2476.1484000,
   169,           0.9801690,       -2476.0780000,
   170,           0.9801700,       -2476.0070000,
   171,           0.9801710,       -2475.9321000,
   172,           0.9801720,       -2475.8662000,
   173,           0.9801730,       -2475.7924000,
   174,           0.9801740,       -2475.7190000,
   175,           0.9801750,       -2475.6484000,
   176,           0.9801760,       -2475.5800000,
   177,           0.9801770,       -2475.5070000,
   178,           0.9801780,       -2475.4350000,
   179,           0.9801790,       -2475.3642000,
   180,           0.9801800,       -2475.2890000,
   181,           0.9801810,       -2475.2220000,
   182,           0.9801820,       -2475.1500000,
   183,           0.9801830,       -2475.0760000,
   184,           0.9801840,       -2475.0053000,
   185,           0.9801850,       -2474.9370000,
   186,           0.9801860,       -2474.8640000,
   187,           0.9801870,       -2474.7920000,
   188,           0.9801880,       -2474.7200000,
   189,           0.9801890,       -2474.6470000,
   190,           0.9801900,       -2474.5793000,
   191,           0.9801910,       -2474.5063000,
   192,           0.9801920,       -2474.4323000,
   193,           0.9801930,       -2474.3610000,
   194,           0.9801940,       -2474.2934000,
   195,           0.9801950,       -2474.2204000,
   196,           0.9801960,       -2474.1484000,
   197,           0.9801970,       -2474.0761000,
   198,           0.9801980,       -2474.0030000,
   199,           0.9801990,       -2473.9340000,
   200,           0.9802000,       -2473.8640000,
   201,           0.9802010,       -2473.7900000,
   202,           0.9802020,       -2473.7170000,
   203,           0.9802030,       -2473.6510000,
   204,           0.9802040,       -2473.5760000,
   205,           0.9802050,       -2473.5051000,
   206,           0.9802060,       -2473.4330000,
   207,           0.9802070,       -2473.3583000,
   208,           0.9802080,       -2473.2920000,
   209,           0.9802090,       -2473.2190000,
   210,           0.9802100,       -2473.1460000,
   211,           0.9802110,       -2473.0730000,
   212,           0.9802120,       -2473.0061000,
   213,           0.9802130,       -2472.9313000,
   214,           0.9802140,       -2472.8603000,
   215,           0.9802150,       -2472.7893000,
   216,           0.9802160,       -2472.7141000,
   217,           0.9802170,       -2472.6480000,
   218,           0.9802180,       -2472.5751000,
   219,           0.9802190,       -2472.5012000,
   220,           0.9802200,       -2472.4310000,
   221,           0.9802210,       -2472.3620000,
   222,           0.9802220,       -2472.2883000,
   223,           0.9802230,       -2472.2160000,
   224,           0.9802240,       -2472.1440000,
   225,           0.9802250,       -2472.0710000,
   226,           0.9802260,       -2472.0020000,
   227,           0.9802270,       -2471.9320000,
   228,           0.9802280,       -2471.8560000,
   229,           0.9802290,       -2471.7850000,
   230,           0.9802300,       -2471.7163000,
   231,           0.9802310,       -2471.6430000,
   232,           0.9802320,       -2471.5710000,
   233,           0.9802330,       -2471.4992000,
   234,           0.9802340,       -2471.4252000,
   235,           0.9802350,       -2471.3570000,
   236,           0.9802360,       -2471.2851000,
   237,           0.9802370,       -2471.2110000,
   238,           0.9802380,       -2471.1390000,
   239,           0.9802390,       -2471.0703000,
   240,           0.9802400,       -2470.9970000,
   241,           0.9802410,       -2470.9260000,
   242,           0.9802420,       -2470.8532000,
   243,           0.9802430,       -2470.7792000,
   244,           0.9802440,       -2470.7114000,
   245,           0.9802450,       -2470.6401000,
   246,           0.9802460,       -2470.5661000,
   247,           0.9802470,       -2470.4940000,
   248,           0.9802480,       -2470.4250000,
   249,           0.9802490,       -2470.3520000,
   250,           0.9802500,       -2470.2800000,
   251,           0.9802510,       -2470.2072000,
   252,           0.9802520,       -2470.1340000,
   253,           0.9802530,       -2470.0654000,
   254,           0.9802540,       -2469.9920000,
   255,           0.9802550,       -2469.9204000,
   256,           0.9802560,       -2469.8471000,
   257,           0.9802570,       -2469.7780000,
   258,           0.9802580,       -2469.7060000,
   259,           0.9802590,       -2469.6340000,
   260,           0.9802600,       -2469.5610000,
   261,           0.9802610,       -2469.4870000,
   262,           0.9802620,       -2469.4200000,
   263,           0.9802630,       -2469.3460000,
   264,           0.9802640,       -2469.2734000,
   265,           0.9802650,       -2469.2020000,
   266,           0.9802660,       -2469.1313000,
   267,           0.9802670,       -2469.0590000,
   268,           0.9802680,       -2468.9870000,
   269,           0.9802690,       -2468.9140000,
   270,           0.9802700,       -2468.8403000,
   271,           0.9802710,       -2468.7734000,
   272,           0.9802720,       -2468.6984000,
   273,           0.9802730,       -2468.6270000,
   274,           0.9802740,       -2468.5551000,
   275,           0.9802750,       -2468.4853000,
   276,           0.9802760,       -2468.4130000,
   277,           0.9802770,       -2468.3400000,
   278,           0.9802780,       -2468.2663000,
   279,           0.9802790,       -2468.1931000,
   280,           0.9802800,       -2468.1260000,
   281,           0.9802810,       -2468.0510000,
   282,           0.9802820,       -2467.9794000,
   283,           0.9802830,       -2467.9074000,
   284,           0.9802840,       -2467.8370000,
   285,           0.9802850,       -2467.7651000,
   286,           0.9802860,       -2467.6921000,
   287,           0.9802870,       -2467.6190000,
   288,           0.9802880,       -2467.5470000,
   289,           0.9802890,       -2467.4790000,
   290,           0.9802900,       -2467.4042000,
   291,           0.9802910,       -2467.3320000,
   292,           0.9802920,       -2467.2600000,
   293,           0.9802930,       -2467.1892000,
   294,           0.9802940,       -2467.1171000,
   295,           0.9802950,       -2467.0450000,
   296,           0.9802960,       -2466.9702000,
   297,           0.9802970,       -2466.8990000,
   298,           0.9802980,       -2466.8310000,
   299,           0.9802990,       -2466.7570000,
   300,           0.9803000,       -2466.6840000,
   301,           0.9803010,       -2466.6113000,
   302,           0.9803020,       -2466.5410000,
   303,           0.9803030,       -2466.4694000,
   304,           0.9803040,       -2466.3980000,
   305,           0.9803050,       -2466.3230000,
   306,           0.9803060,       -2466.2510000,
