Iteration,phi,lnL
     1,           0.9800010,       -2624.2030000,
     2,           0.9800020,       -2624.1513000,
     3,           0.9800030,       -2624.1003000,
     4,           0.9800040,       -2624.0500000,
     5,           0.9800050,       -2623.9963000,
     6,           0.9800060,       -2623.9490000,
     7,           0.9800070,       -2623.8981000,
     8,           0.9800080,       -2623.8480000,
     9,           0.9800090,       -2623.7961000,
    10,           0.9800100,       -2623.7500000,
    11,           0.9800110,       -2623.6960000,
    12,           0.9800120,       -2623.6470000,
    13,           0.9800130,       -2623.5964000,
    14,           0.9800140,       -2623.5471000,
    15,           0.9800150,       -2623.4973000,
    16,           0.9800160,       -2623.4460000,
    17,           0.9800170,       -2623.3950000,
    18,           0.9800180,       -2623.3432000,
    19,           0.9800190,       -2623.2960000,
    20,           0.9800200,       -2623.2441000,
    21,           0.9800210,       -2623.1933000,
    22,           0.9800220,       -2623.1430000,
    23,           0.9800230,       -2623.0930000,
    24,           0.9800240,       -2623.0420000,
    25,           0.9800250,       -2622.9934000,
    26,           0.9800260,       -2622.9421000,
    27,           0.9800270,       -2622.8900000,
    28,           0.9800280,       -2622.8430000,
    29,           0.9800290,       -2622.7920000,
    30,           0.9800300,       -2622.7400000,
    31,           0.9800310,       -2622.6880000,
    32,           0.9800320,       -2622.6380000,
    33,           0.9800330,       -2622.5881000,
    34,           0.9800340,       -2622.5380000,
    35,           0.9800350,       -2622.4870000,
    36,           0.9800360,       -2622.4340000,
    37,           0.9800370,       -2622.3872000,
    38,           0.9800380,       -2622.3371000,
    39,           0.9800390,       -2622.2840000,
    40,           0.9800400,       -2622.2333000,
    41,           0.9800410,       -2622.1833000,
    42,           0.9800420,       -2622.1350000,
    43,           0.9800430,       -2622.0830000,
    44,           0.9800440,       -2622.0341000,
    45,           0.9800450,       -2621.9810000,
    46,           0.9800460,       -2621.9310000,
    47,           0.9800470,       -2621.8820000,
    48,           0.9800480,       -2621.8310000,
    49,           0.9800490,       -2621.7790000,
    50,           0.9800500,       -2621.7290000,
    51,           0.9800510,       -2621.6804000,
    52,           0.9800520,       -2621.6300000,
    53,           0.9800530,       -2621.5783000,
    54,           0.9800540,       -2621.5261000,
    55,           0.9800550,       -2621.4790000,
    56,           0.9800560,       -2621.4284000,
    57,           0.9800570,       -2621.3770000,
    58,           0.9800580,       -2621.3261000,
    59,           0.9800590,       -2621.2750000,
    60,           0.9800600,       -2621.2270000,
    61,           0.9800610,       -2621.1770000,
    62,           0.9800620,       -2621.1260000,
    63,           0.9800630,       -2621.0744000,
    64,           0.9800640,       -2621.0244000,
    65,           0.9800650,       -2620.9763000,
    66,           0.9800660,       -2620.9201000,
    67,           0.9800670,       -2620.8723000,
    68,           0.9800680,       -2620.8212000,
    69,           0.9800690,       -2620.7720000,
    70,           0.9800700,       -2620.7224000,
    71,           0.9800710,       -2620.6730000,
    72,           0.9800720,       -2620.6220000,
    73,           0.9800730,       -2620.5732000,
    74,           0.9800740,       -2620.5220000,
    75,           0.9800750,       -2620.4694000,
    76,           0.9800760,       -2620.4194000,
    77,           0.9800770,       -2620.3684000,
    78,           0.9800780,       -2620.3190000,
    79,           0.9800790,       -2620.2680000,
    80,           0.9800800,       -2620.2180000,
    81,           0.9800810,       -2620.1662000,
    82,           0.9800820,       -2620.1174000,
    83,           0.9800830,       -2620.0670000,
    84,           0.9800840,       -2620.0144000,
    85,           0.9800850,       -2619.9641000,
    86,           0.9800860,       -2619.9133000,
    87,           0.9800870,       -2619.8650000,
    88,           0.9800880,       -2619.8130000,
    89,           0.9800890,       -2619.7631000,
    90,           0.9800900,       -2619.7120000,
    91,           0.9800910,       -2619.6640000,
    92,           0.9800920,       -2619.6150000,
    93,           0.9800930,       -2619.5620000,
    94,           0.9800940,       -2619.5124000,
    95,           0.9800950,       -2619.4614000,
    96,           0.9800960,       -2619.4113000,
    97,           0.9800970,       -2619.3613000,
    98,           0.9800980,       -2619.3112000,
    99,           0.9800990,       -2619.2590000,
   100,           0.9801000,       -2619.2102000,
   101,           0.9801010,       -2619.1600000,
   102,           0.9801020,       -2619.1090000,
   103,           0.9801030,       -2619.0570000,
   104,           0.9801040,       -2619.0061000,
   105,           0.9801050,       -2618.9582000,
   106,           0.9801060,       -2618.9070000,
   107,           0.9801070,       -2618.8570000,
   108,           0.9801080,       -2618.8050000,
   109,           0.9801090,       -2618.7590000,
   110,           0.9801100,       -2618.7070000,
   111,           0.9801110,       -2618.6560000,
   112,           0.9801120,       -2618.6062000,
   113,           0.9801130,       -2618.5534000,
   114,           0.9801140,       -2618.5070000,
   115,           0.9801150,       -2618.4533000,
   116,           0.9801160,       -2618.4033000,
   117,           0.9801170,       -2618.3520000,
   118,           0.9801180,       -2618.3034000,
   119,           0.9801190,       -2618.2540000,
   120,           0.9801200,       -2618.2020000,
   121,           0.9801210,       -2618.1510000,
   122,           0.9801220,       -2618.1000000,
   123,           0.9801230,       -2618.0510000,
   124,           0.9801240,       -2617.9982000,
   125,           0.9801250,       -2617.9484000,
   126,           0.9801260,       -2617.8980000,
   127,           0.9801270,       -2617.8500000,
   128,           0.9801280,       -2617.8000000,
   129,           0.9801290,       -2617.7473000,
