Iteration,phi,lnL
     1,           0.9800010,       -2526.6240000,
     2,           0.9800020,       -2526.5744000,
     3,           0.9800030,       -2526.5251000,
     4,           0.9800040,       -2526.4760000,
     5,           0.9800050,       -2526.4262000,
     6,           0.9800060,       -2526.3790000,
     7,           0.9800070,       -2526.3312000,
     8,           0.9800080,       -2526.2810000,
     9,           0.9800090,       -2526.2320000,
    10,           0.9800100,       -2526.1862000,
    11,           0.9800110,       -2526.1330000,
    12,           0.9800120,       -2526.0870000,
    13,           0.9800130,       -2526.0380000,
    14,           0.9800140,       -2525.9890000,
    15,           0.9800150,       -2525.9423000,
    16,           0.9800160,       -2525.8920000,
    17,           0.9800170,       -2525.8430000,
    18,           0.9800180,       -2525.7922000,
    19,           0.9800190,       -2525.7470000,
    20,           0.9800200,       -2525.6980000,
    21,           0.9800210,       -2525.6480000,
    22,           0.9800220,       -2525.5983000,
    23,           0.9800230,       -2525.5510000,
    24,           0.9800240,       -2525.5030000,
    25,           0.9800250,       -2525.4541000,
    26,           0.9800260,       -2525.4050000,
    27,           0.9800270,       -2525.3560000,
    28,           0.9800280,       -2525.3100000,
    29,           0.9800290,       -2525.2592000,
    30,           0.9800300,       -2525.2092000,
    31,           0.9800310,       -2525.1610000,
    32,           0.9800320,       -2525.1120000,
    33,           0.9800330,       -2525.0640000,
    34,           0.9800340,       -2525.0150000,
    35,           0.9800350,       -2524.9672000,
    36,           0.9800360,       -2524.9170000,
    37,           0.9800370,       -2524.8693000,
    38,           0.9800380,       -2524.8212000,
    39,           0.9800390,       -2524.7710000,
    40,           0.9800400,       -2524.7220000,
    41,           0.9800410,       -2524.6723000,
    42,           0.9800420,       -2524.6250000,
    43,           0.9800430,       -2524.5760000,
    44,           0.9800440,       -2524.5270000,
    45,           0.9800450,       -2524.4770000,
    46,           0.9800460,       -2524.4304000,
    47,           0.9800470,       -2524.3833000,
    48,           0.9800480,       -2524.3320000,
    49,           0.9800490,       -2524.2810000,
    50,           0.9800500,       -2524.2340000,
    51,           0.9800510,       -2524.1853000,
    52,           0.9800520,       -2524.1362000,
    53,           0.9800530,       -2524.0880000,
    54,           0.9800540,       -2524.0390000,
    55,           0.9800550,       -2523.9920000,
    56,           0.9800560,       -2523.9430000,
    57,           0.9800570,       -2523.8913000,
    58,           0.9800580,       -2523.8440000,
    59,           0.9800590,       -2523.7954000,
    60,           0.9800600,       -2523.7480000,
    61,           0.9800610,       -2523.6980000,
    62,           0.9800620,       -2523.6500000,
    63,           0.9800630,       -2523.6010000,
    64,           0.9800640,       -2523.5530000,
    65,           0.9800650,       -2523.5070000,
    66,           0.9800660,       -2523.4541000,
    67,           0.9800670,       -2523.4072000,
    68,           0.9800680,       -2523.3570000,
    69,           0.9800690,       -2523.3100000,
    70,           0.9800700,       -2523.2614000,
    71,           0.9800710,       -2523.2110000,
    72,           0.9800720,       -2523.1620000,
    73,           0.9800730,       -2523.1160000,
    74,           0.9800740,       -2523.0651000,
    75,           0.9800750,       -2523.0173000,
    76,           0.9800760,       -2522.9672000,
    77,           0.9800770,       -2522.9182000,
    78,           0.9800780,       -2522.8720000,
    79,           0.9800790,       -2522.8230000,
    80,           0.9800800,       -2522.7760000,
    81,           0.9800810,       -2522.7220000,
    82,           0.9800820,       -2522.6750000,
    83,           0.9800830,       -2522.6274000,
    84,           0.9800840,       -2522.5760000,
    85,           0.9800850,       -2522.5300000,
    86,           0.9800860,       -2522.4800000,
    87,           0.9800870,       -2522.4330000,
    88,           0.9800880,       -2522.3830000,
    89,           0.9800890,       -2522.3340000,
    90,           0.9800900,       -2522.2841000,
    91,           0.9800910,       -2522.2380000,
    92,           0.9800920,       -2522.1890000,
    93,           0.9800930,       -2522.1370000,
    94,           0.9800940,       -2522.0890000,
    95,           0.9800950,       -2522.0410000,
    96,           0.9800960,       -2521.9920000,
    97,           0.9800970,       -2521.9460000,
    98,           0.9800980,       -2521.8962000,
    99,           0.9800990,       -2521.8460000,
   100,           0.9801000,       -2521.7990000,
   101,           0.9801010,       -2521.7504000,
   102,           0.9801020,       -2521.6994000,
   103,           0.9801030,       -2521.6520000,
   104,           0.9801040,       -2521.6040000,
   105,           0.9801050,       -2521.5550000,
   106,           0.9801060,       -2521.5080000,
   107,           0.9801070,       -2521.4584000,
   108,           0.9801080,       -2521.4064000,
   109,           0.9801090,       -2521.3630000,
   110,           0.9801100,       -2521.3130000,
   111,           0.9801110,       -2521.2641000,
   112,           0.9801120,       -2521.2153000,
   113,           0.9801130,       -2521.1660000,
   114,           0.9801140,       -2521.1181000,
   115,           0.9801150,       -2521.0681000,
   116,           0.9801160,       -2521.0210000,
   117,           0.9801170,       -2520.9690000,
   118,           0.9801180,       -2520.9230000,
   119,           0.9801190,       -2520.8750000,
   120,           0.9801200,       -2520.8250000,
   121,           0.9801210,       -2520.7760000,
   122,           0.9801220,       -2520.7260000,
   123,           0.9801230,       -2520.6800000,
   124,           0.9801240,       -2520.6301000,
   125,           0.9801250,       -2520.5810000,
   126,           0.9801260,       -2520.5322000,
   127,           0.9801270,       -2520.4850000,
   128,           0.9801280,       -2520.4370000,
   129,           0.9801290,       -2520.3854000,
   130,           0.9801300,       -2520.3380000,
   131,           0.9801310,       -2520.2912000,
   132,           0.9801320,       -2520.2402000,
   133,           0.9801330,       -2520.1914000,
   134,           0.9801340,       -2520.1411000,
   135,           0.9801350,       -2520.0910000,
   136,           0.9801360,       -2520.0463000,
   137,           0.9801370,       -2519.9970000,
   138,           0.9801380,       -2519.9470000,
   139,           0.9801390,       -2519.8974000,
   140,           0.9801400,       -2519.8520000,
   141,           0.9801410,       -2519.8030000,
   142,           0.9801420,       -2519.7520000,
   143,           0.9801430,       -2519.7050000,
   144,           0.9801440,       -2519.6530000,
   145,           0.9801450,       -2519.6083000,
   146,           0.9801460,       -2519.5600000,
   147,           0.9801470,       -2519.5080000,
   148,           0.9801480,       -2519.4610000,
   149,           0.9801490,       -2519.4152000,
   150,           0.9801500,       -2519.3640000,
   151,           0.9801510,       -2519.3150000,
   152,           0.9801520,       -2519.2661000,
   153,           0.9801530,       -2519.2170000,
   154,           0.9801540,       -2519.1701000,
   155,           0.9801550,       -2519.1220000,
   156,           0.9801560,       -2519.0710000,
