Iteration,phi,lnL
     1,           0.9800010,       -1382.6200000,
     2,           0.9800020,       -1382.5870000,
     3,           0.9800030,       -1382.5540000,
     4,           0.9800040,       -1382.5230000,
     5,           0.9800050,       -1382.4900000,
     6,           0.9800060,       -1382.4594000,
     7,           0.9800070,       -1382.4281000,
     8,           0.9800080,       -1382.3952000,
     9,           0.9800090,       -1375.3774000,
    10,           0.9800100,       -1375.3480000,
    11,           0.9800110,       -1375.3150000,
    12,           0.9800120,       -1375.2823000,
    13,           0.9800130,       -1375.2510000,
    14,           0.9800140,       -1375.2180000,
    15,           0.9800150,       -1375.1880000,
    16,           0.9800160,       -1375.1550000,
    17,           0.9800170,       -1375.1221000,
    18,           0.9800180,       -1375.0891000,
    19,           0.9800190,       -1375.0584000,
    20,           0.9800200,       -1375.0270000,
    21,           0.9800210,       -1374.9930000,
    22,           0.9800220,       -1374.9613000,
    23,           0.9800230,       -1374.9300000,
    24,           0.9800240,       -1374.8990000,
    25,           0.9800250,       -1374.8670000,
    26,           0.9800260,       -1374.8350000,
    27,           0.9800270,       -1374.8012000,
    28,           0.9800280,       -1374.7700000,
    29,           0.9800290,       -1374.7380000,
    30,           0.9800300,       -1374.7050000,
    31,           0.9800310,       -1374.6730000,
    32,           0.9800320,       -1374.6410000,
    33,           0.9800330,       -1374.6090000,
    34,           0.9800340,       -1374.5773000,
    35,           0.9800350,       -1374.5460000,
    36,           0.9800360,       -1374.5120000,
    37,           0.9800370,       -1374.4830000,
    38,           0.9800380,       -1374.4501000,
    39,           0.9800390,       -1374.4173000,
    40,           0.9800400,       -1374.3852000,
    41,           0.9800410,       -1374.3533000,
    42,           0.9800420,       -1374.3222000,
    43,           0.9800430,       -1374.2900000,
    44,           0.9800440,       -1374.2590000,
    45,           0.9800450,       -1374.2260000,
    46,           0.9800460,       -1374.1951000,
    47,           0.9800470,       -1374.1640000,
    48,           0.9800480,       -1374.1310000,
    49,           0.9800490,       -1374.0990000,
    50,           0.9800500,       -1374.0670000,
    51,           0.9800510,       -1374.0350000,
    52,           0.9800520,       -1374.0030000,
    53,           0.9800530,       -1373.9710000,
    54,           0.9800540,       -1373.9371000,
    55,           0.9800550,       -1373.9074000,
    56,           0.9800560,       -1373.8753000,
    57,           0.9800570,       -1373.8420000,
    58,           0.9800580,       -1373.8093000,
    59,           0.9800590,       -1373.7770000,
    60,           0.9800600,       -1373.7464000,
    61,           0.9800610,       -1373.7142000,
    62,           0.9800620,       -1373.6821000,
    63,           0.9800630,       -1373.6500000,
    64,           0.9800640,       -1373.6190000,
    65,           0.9800650,       -1373.5871000,
    66,           0.9800660,       -1373.5540000,
    67,           0.9800670,       -1373.5220000,
    68,           0.9800680,       -1373.4900000,
    69,           0.9800690,       -1373.4580000,
    70,           0.9800700,       -1373.4261000,
    71,           0.9800710,       -1373.3940000,
    72,           0.9800720,       -1373.3610000,
    73,           0.9800730,       -1373.3302000,
    74,           0.9800740,       -1373.2990000,
    75,           0.9800750,       -1373.2660000,
    76,           0.9800760,       -1373.2340000,
    77,           0.9800770,       -1373.2020000,
    78,           0.9800780,       -1373.1700000,
    79,           0.9800790,       -1373.1384000,
    80,           0.9800800,       -1373.1070000,
    81,           0.9800810,       -1373.0730000,
    82,           0.9800820,       -1373.0440000,
    83,           0.9800830,       -1373.0111000,
    84,           0.9800840,       -1372.9783000,
    85,           0.9800850,       -1372.9470000,
    86,           0.9800860,       -1372.9150000,
    87,           0.9800870,       -1372.8840000,
    88,           0.9800880,       -1372.8510000,
    89,           0.9800890,       -1372.8200000,
    90,           0.9800900,       -1372.7870000,
    91,           0.9800910,       -1372.7564000,
    92,           0.9800920,       -1372.7244000,
    93,           0.9800930,       -1372.6910000,
    94,           0.9800940,       -1372.6590000,
    95,           0.9800950,       -1372.6270000,
    96,           0.9800960,       -1372.5954000,
    97,           0.9800970,       -1372.5630000,
    98,           0.9800980,       -1372.5310000,
    99,           0.9800990,       -1372.4973000,
   100,           0.9801000,       -1372.4671000,
   101,           0.9801010,       -1372.4353000,
   102,           0.9801020,       -1372.4024000,
   103,           0.9801030,       -1372.3703000,
   104,           0.9801040,       -1372.3381000,
   105,           0.9801050,       -1372.3072000,
   106,           0.9801060,       -1372.2760000,
   107,           0.9801070,       -1372.2431000,
   108,           0.9801080,       -1372.2100000,
   109,           0.9801090,       -1372.1800000,
   110,           0.9801100,       -1372.1472000,
   111,           0.9801110,       -1372.1141000,
   112,           0.9801120,       -1372.0821000,
   113,           0.9801130,       -1372.0500000,
   114,           0.9801140,       -1372.0192000,
   115,           0.9801150,       -1371.9864000,
   116,           0.9801160,       -1371.9544000,
   117,           0.9801170,       -1371.9220000,
   118,           0.9801180,       -1371.8920000,
   119,           0.9801190,       -1371.8600000,
   120,           0.9801200,       -1371.8270000,
   121,           0.9801210,       -1371.7950000,
   122,           0.9801220,       -1371.7630000,
   123,           0.9801230,       -1371.7320000,
   124,           0.9801240,       -1371.7000000,
   125,           0.9801250,       -1371.6682000,
   126,           0.9801260,       -1371.6350000,
   127,           0.9801270,       -1371.6043000,
   128,           0.9801280,       -1371.5730000,
   129,           0.9801290,       -1371.5400000,
   130,           0.9801300,       -1371.5080000,
   131,           0.9801310,       -1371.4780000,
   132,           0.9801320,       -1371.4450000,
   133,           0.9801330,       -1371.4122000,
   134,           0.9801340,       -1371.3800000,
   135,           0.9801350,       -1371.3464000,
   136,           0.9801360,       -1371.3160000,
   137,           0.9801370,       -1371.2840000,
   138,           0.9801380,       -1371.2510000,
   139,           0.9801390,       -1371.2190000,
   140,           0.9801400,       -1371.1890000,
   141,           0.9801410,       -1371.1560000,
   142,           0.9801420,       -1371.1240000,
   143,           0.9801430,       -1371.0920000,
   144,           0.9801440,       -1371.0584000,
   145,           0.9801450,       -1371.0290000,
   146,           0.9801460,       -1370.9970000,
   147,           0.9801470,       -1370.9640000,
   148,           0.9801480,       -1370.9320000,
   149,           0.9801490,       -1370.9010000,
   150,           0.9801500,       -1370.8690000,
   151,           0.9801510,       -1370.8353000,
   152,           0.9801520,       -1370.8031000,
   153,           0.9801530,       -1370.7710000,
   154,           0.9801540,       -1370.7401000,
   155,           0.9801550,       -1370.7083000,
   156,           0.9801560,       -1370.6752000,
   157,           0.9801570,       -1370.6433000,
   158,           0.9801580,       -1370.6130000,
