Iteration,phi,lnL
     1,           0.9800010,       -2415.1430000,
     2,           0.9800020,       -2415.0850000,
     3,           0.9800030,       -2415.0290000,
     4,           0.9800040,       -2414.9750000,
     5,           0.9800050,       -2414.9170000,
     6,           0.9800060,       -2414.8650000,
     7,           0.9800070,       -2414.8110000,
     8,           0.9800080,       -2414.7540000,
     9,           0.9800090,       -2414.6970000,
    10,           0.9800100,       -2414.6460000,
    11,           0.9800110,       -2414.5883000,
    12,           0.9800120,       -2414.5324000,
    13,           0.9800130,       -2414.4782000,
    14,           0.9800140,       -2414.4221000,
    15,           0.9800150,       -2414.3693000,
    16,           0.9800160,       -2414.3130000,
    17,           0.9800170,       -2414.2580000,
    18,           0.9800180,       -2414.1994000,
    19,           0.9800190,       -2414.1501000,
    20,           0.9800200,       -2414.0942000,
    21,           0.9800210,       -2414.0370000,
    22,           0.9800220,       -2413.9820000,
    23,           0.9800230,       -2413.9272000,
    24,           0.9800240,       -2413.8740000,
    25,           0.9800250,       -2413.8171000,
    26,           0.9800260,       -2413.7620000,
    27,           0.9800270,       -2413.7043000,
    28,           0.9800280,       -2413.6513000,
    29,           0.9800290,       -2413.5960000,
    30,           0.9800300,       -2413.5400000,
    31,           0.9800310,       -2413.4850000,
    32,           0.9800320,       -2413.4280000,
    33,           0.9800330,       -2413.3750000,
    34,           0.9800340,       -2413.3200000,
    35,           0.9800350,       -2413.2660000,
    36,           0.9800360,       -2413.2070000,
    37,           0.9800370,       -2413.1550000,
    38,           0.9800380,       -2413.0991000,
    39,           0.9800390,       -2413.0412000,
    40,           0.9800400,       -2412.9873000,
    41,           0.9800410,       -2412.9311000,
    42,           0.9800420,       -2412.8781000,
    43,           0.9800430,       -2412.8200000,
    44,           0.9800440,       -2412.7661000,
    45,           0.9800450,       -2412.7100000,
    46,           0.9800460,       -2412.6580000,
    47,           0.9800470,       -2412.6022000,
    48,           0.9800480,       -2412.5444000,
    49,           0.9800490,       -2412.4900000,
    50,           0.9800500,       -2412.4340000,
    51,           0.9800510,       -2412.3784000,
    52,           0.9800520,       -2412.3230000,
    53,           0.9800530,       -2412.2673000,
    54,           0.9800540,       -2412.2120000,
    55,           0.9800550,       -2412.1600000,
    56,           0.9800560,       -2412.1040000,
    57,           0.9800570,       -2412.0463000,
    58,           0.9800580,       -2411.9904000,
    59,           0.9800590,       -2411.9350000,
    60,           0.9800600,       -2411.8823000,
    61,           0.9800610,       -2411.8261000,
    62,           0.9800620,       -2411.7710000,
    63,           0.9800630,       -2411.7141000,
    64,           0.9800640,       -2411.6601000,
    65,           0.9800650,       -2411.6062000,
    66,           0.9800660,       -2411.5480000,
    67,           0.9800670,       -2411.4931000,
    68,           0.9800680,       -2411.4362000,
    69,           0.9800690,       -2411.3823000,
    70,           0.9800700,       -2411.3281000,
    71,           0.9800710,       -2411.2720000,
    72,           0.9800720,       -2411.2150000,
    73,           0.9800730,       -2411.1630000,
    74,           0.9800740,       -2411.1080000,
    75,           0.9800750,       -2411.0490000,
    76,           0.9800760,       -2410.9930000,
    77,           0.9800770,       -2410.9384000,
    78,           0.9800780,       -2410.8830000,
    79,           0.9800790,       -2410.8281000,
    80,           0.9800800,       -2410.7724000,
    81,           0.9800810,       -2410.7163000,
    82,           0.9800820,       -2410.6620000,
    83,           0.9800830,       -2410.6070000,
    84,           0.9800840,       -2410.5500000,
    85,           0.9800850,       -2410.4960000,
    86,           0.9800860,       -2410.4390000,
    87,           0.9800870,       -2410.3850000,
    88,           0.9800880,       -2410.3283000,
    89,           0.9800890,       -2410.2740000,
    90,           0.9800900,       -2410.2163000,
    91,           0.9800910,       -2410.1630000,
    92,           0.9800920,       -2410.1081000,
    93,           0.9800930,       -2410.0500000,
    94,           0.9800940,       -2409.9960000,
    95,           0.9800950,       -2409.9394000,
    96,           0.9800960,       -2409.8842000,
    97,           0.9800970,       -2409.8300000,
    98,           0.9800980,       -2409.7741000,
    99,           0.9800990,       -2409.7163000,
   100,           0.9801000,       -2409.6640000,
   101,           0.9801010,       -2409.6090000,
   102,           0.9801020,       -2409.5510000,
   103,           0.9801030,       -2409.4943000,
   104,           0.9801040,       -2409.4400000,
   105,           0.9801050,       -2409.3840000,
   106,           0.9801060,       -2409.3300000,
   107,           0.9801070,       -2409.2750000,
   108,           0.9801080,       -2409.2163000,
   109,           0.9801090,       -2409.1633000,
   110,           0.9801100,       -2409.1080000,
   111,           0.9801110,       -2409.0490000,
   112,           0.9801120,       -2408.9934000,
   113,           0.9801130,       -2408.9380000,
   114,           0.9801140,       -2408.8850000,
   115,           0.9801150,       -2408.8273000,
   116,           0.9801160,       -2408.7712000,
   117,           0.9801170,       -2408.7150000,
   118,           0.9801180,       -2408.6621000,
   119,           0.9801190,       -2408.6062000,
   120,           0.9801200,       -2408.5483000,
   121,           0.9801210,       -2408.4930000,
   122,           0.9801220,       -2408.4353000,
   123,           0.9801230,       -2408.3823000,
   124,           0.9801240,       -2408.3270000,
   125,           0.9801250,       -2408.2710000,
   126,           0.9801260,       -2408.2141000,
   127,           0.9801270,       -2408.1601000,
   128,           0.9801280,       -2408.1050000,
   129,           0.9801290,       -2408.0480000,
   130,           0.9801300,       -2407.9902000,
   131,           0.9801310,       -2407.9401000,
   132,           0.9801320,       -2407.8800000,
   133,           0.9801330,       -2407.8264000,
   134,           0.9801340,       -2407.7690000,
   135,           0.9801350,       -2407.7130000,
   136,           0.9801360,       -2407.6594000,
   137,           0.9801370,       -2407.6032000,
   138,           0.9801380,       -2407.5461000,
   139,           0.9801390,       -2407.4900000,
   140,           0.9801400,       -2407.4380000,
   141,           0.9801410,       -2407.3793000,
   142,           0.9801420,       -2407.3240000,
   143,           0.9801430,       -2407.2680000,
   144,           0.9801440,       -2407.2100000,
   145,           0.9801450,       -2407.1580000,
   146,           0.9801460,       -2407.1020000,
   147,           0.9801470,       -2407.0441000,
   148,           0.9801480,       -2406.9860000,
   149,           0.9801490,       -2406.9340000,
   150,           0.9801500,       -2406.8760000,
   151,           0.9801510,       -2406.8210000,
   152,           0.9801520,       -2406.7644000,
   153,           0.9801530,       -2406.7080000,
   154,           0.9801540,       -2406.6540000,
   155,           0.9801550,       -2406.5993000,
   156,           0.9801560,       -2406.5410000,
   157,           0.9801570,       -2406.4841000,
   158,           0.9801580,       -2406.4330000,
   159,           0.9801590,       -2406.3732000,
   160,           0.9801600,       -2406.3190000,
   161,           0.9801610,       -2406.2630000,
   162,           0.9801620,       -2406.2040000,
   163,           0.9801630,       -2406.1520000,
   164,           0.9801640,       -2406.0950000,
   165,           0.9801650,       -2406.0380000,
   166,           0.9801660,       -2405.9820000,
   167,           0.9801670,       -2405.9300000,
   168,           0.9801680,       -2405.8701000,
   169,           0.9801690,       -2405.8160000,
   170,           0.9801700,       -2405.7604000,
   171,           0.9801710,       -2405.7010000,
   172,           0.9801720,       -2405.6500000,
   173,           0.9801730,       -2405.5920000,
   174,           0.9801740,       -2405.5341000,
   175,           0.9801750,       -2405.4792000,
   176,           0.9801760,       -2405.4250000,
   177,           0.9801770,       -2405.3681000,
   178,           0.9801780,       -2405.3120000,
   179,           0.9801790,       -2405.2560000,
   180,           0.9801800,       -2405.1970000,
   181,           0.9801810,       -2405.1450000,
   182,           0.9801820,       -2405.0880000,
   183,           0.9801830,       -2405.0302000,
   184,           0.9801840,       -2404.9743000,
   185,           0.9801850,       -2404.9210000,
   186,           0.9801860,       -2404.8642000,
   187,           0.9801870,       -2404.8070000,
   188,           0.9801880,       -2404.7521000,
   189,           0.9801890,       -2404.6943000,
   190,           0.9801900,       -2404.6400000,
   191,           0.9801910,       -2404.5840000,
   192,           0.9801920,       -2404.5261000,
   193,           0.9801930,       -2404.4710000,
   194,           0.9801940,       -2404.4160000,
