Iteration,phi,lnL
     1,           0.9800010,        -641.2012000,
     2,           0.9800020,        -641.1849300,
     3,           0.9800030,        -641.1688000,
     4,           0.9800040,        -641.1533200,
     5,           0.9800050,        -641.1368000,
     6,           0.9800060,        -641.1220000,
     7,           0.9800070,        -641.1062000,
     8,           0.9800080,        -641.0898400,
     9,           0.9800090,        -641.0740000,
    10,           0.9800100,        -641.0593200,
    11,           0.9800110,        -641.0426000,
    12,           0.9800120,        -641.0266000,
    13,           0.9800130,        -641.0111000,
    14,           0.9800140,        -640.9951000,
    15,           0.9800150,        -640.9799000,
    16,           0.9800160,        -640.9636000,
    17,           0.9800170,        -640.9481000,
    18,           0.9800180,        -640.9318000,
    19,           0.9800190,        -640.9170000,
    20,           0.9800200,        -640.9013000,
    21,           0.9800210,        -640.8846400,
    22,           0.9800220,        -640.8688300,
    23,           0.9800230,        -640.8525300,
    24,           0.9800240,        -640.8370000,
    25,           0.9800250,        -640.8214100,
    26,           0.9800260,        -640.8054000,
    27,           0.9800270,        -640.7891000,
    28,           0.9800280,        -640.7737000,
    29,           0.9800290,        -640.7582000,
    30,           0.9800300,        -640.7418200,
    31,           0.9800310,        -640.7260100,
    32,           0.9800320,        -640.7101400,
    33,           0.9800330,        -640.6945100,
    34,           0.9800340,        -640.6790000,
    35,           0.9800350,        -640.6633300,
    36,           0.9800360,        -640.6466000,
    37,           0.9800370,        -640.6320100,
    38,           0.9800380,        -640.6149000,
    39,           0.9800390,        -640.5986000,
    40,           0.9800400,        -640.5828200,
    41,           0.9800410,        -640.5671000,
    42,           0.9800420,        -640.5518000,
    43,           0.9800430,        -640.5356400,
    44,           0.9800440,        -640.5200000,
    45,           0.9800450,        -640.5038400,
    46,           0.9800460,        -640.4888000,
    47,           0.9800470,        -640.4730200,
    48,           0.9800480,        -640.4567200,
    49,           0.9800490,        -640.4407300,
    50,           0.9800500,        -640.4252300,
    51,           0.9800510,        -640.4095400,
    52,           0.9800520,        -640.3939000,
    53,           0.9800530,        -640.3778000,
    54,           0.9800540,        -640.3615100,
    55,           0.9800550,        -640.3470000,
    56,           0.9800560,        -640.3309300,
    57,           0.9800570,        -640.3146300,
    58,           0.9800580,        -640.2990000,
    59,           0.9800590,        -640.2829000,
    60,           0.9800600,        -640.2675000,
    61,           0.9800610,        -640.2515000,
    62,           0.9800620,        -640.2358300,
    63,           0.9800630,        -640.2195000,
    64,           0.9800640,        -640.2037000,
    65,           0.9800650,        -640.1882000,
    66,           0.9800660,        -640.1716000,
    67,           0.9800670,        -640.1559400,
    68,           0.9800680,        -640.1399000,
    69,           0.9800690,        -640.1246300,
    70,           0.9800700,        -640.1091300,
    71,           0.9800710,        -640.0928300,
    72,           0.9800720,        -640.0765300,
    73,           0.9800730,        -640.0616400,
    74,           0.9800740,        -640.0458300,
    75,           0.9800750,        -640.0297000,
    76,           0.9800760,        -640.0137000,
    77,           0.9800770,        -639.9980400,
    78,           0.9800780,        -639.9824200,
    79,           0.9800790,        -639.9666100,
    80,           0.9800800,        -639.9511100,
    81,           0.9800810,        -639.9344000,
    82,           0.9800820,        -639.9186000,
    83,           0.9800830,        -639.9027000,
    84,           0.9800840,        -639.8865000,
    85,           0.9800850,        -639.8709100,
    86,           0.9800860,        -639.8548000,
    87,           0.9800870,        -639.8397000,
    88,           0.9800880,        -639.8236000,
    89,           0.9800890,        -639.8080000,
    90,           0.9800900,        -639.7916200,
    91,           0.9800910,        -639.7767000,
    92,           0.9800920,        -639.7609000,
    93,           0.9800930,        -639.7444000,
    94,           0.9800940,        -639.7288200,
    95,           0.9800950,        -639.7130000,
    96,           0.9800960,        -639.6974000,
    97,           0.9800970,        -639.6816000,
    98,           0.9800980,        -639.6658300,
    99,           0.9800990,        -639.6495300,
   100,           0.9801000,        -639.6346400,
   101,           0.9801010,        -639.6188300,
   102,           0.9801020,        -639.6028000,
   103,           0.9801030,        -639.5866000,
   104,           0.9801040,        -639.5709000,
   105,           0.9801050,        -639.5547000,
   106,           0.9801060,        -639.5391000,
   107,           0.9801070,        -632.6058300,
   108,           0.9801080,        -632.5895000,
   109,           0.9801090,        -632.5744000,
   110,           0.9801100,        -632.5584100,
   111,           0.9801110,        -632.5421000,
   112,           0.9801120,        -632.5261200,
   113,           0.9801130,        -632.5101000,
   114,           0.9801140,        -632.4949000,
   115,           0.9801150,        -632.4787000,
   116,           0.9801160,        -632.4628200,
   117,           0.9801170,        -632.4465000,
   118,           0.9801180,        -632.4317000,
   119,           0.9801190,        -632.4158000,
   120,           0.9801200,        -632.3993000,
   121,           0.9801210,        -632.3834200,
   122,           0.9801220,        -632.3674300,
   123,           0.9801230,        -632.3522300,
   124,           0.9801240,        -632.3354000,
   125,           0.9801250,        -632.3194000,
   126,           0.9801260,        -632.3022400,
   127,           0.9801270,        -632.2871000,
   128,           0.9801280,        -632.2712000,
   129,           0.9801290,        -632.2549400,
   130,           0.9801300,        -632.2390100,
   131,           0.9801310,        -632.2241200,
   132,           0.9801320,        -632.2075000,
   133,           0.9801330,        -632.1918300,
   134,           0.9801340,        -632.1759000,
   135,           0.9801350,        -632.1595400,
   136,           0.9801360,        -632.1448000,
   137,           0.9801370,        -632.1288000,
   138,           0.9801380,        -632.1124000,
   139,           0.9801390,        -632.0964300,
   140,           0.9801400,        -632.0817000,
   141,           0.9801410,        -632.0654200,
   142,           0.9801420,        -632.0493100,
   143,           0.9801430,        -632.0336300,
   144,           0.9801440,        -632.0170000,
   145,           0.9801450,        -632.0023100,
   146,           0.9801460,        -631.9856000,
   147,           0.9801470,        -631.9692300,
   148,           0.9801480,        -631.9534000,
   149,           0.9801490,        -631.9385000,
   150,           0.9801500,        -631.9221000,
   151,           0.9801510,        -631.9061200,
   152,           0.9801520,        -631.8903000,
   153,           0.9801530,        -631.8738400,
   154,           0.9801540,        -631.8589000,
   155,           0.9801550,        -631.8433000,
   156,           0.9801560,        -631.8265000,
   157,           0.9801570,        -631.8105400,
   158,           0.9801580,        -631.7955300,
   159,           0.9801590,        -631.7792300,
   160,           0.9801600,        -631.7634200,
   161,           0.9801610,        -631.7475000,
   162,           0.9801620,        -631.7311000,
   163,           0.9801630,        -631.7159000,
   164,           0.9801640,        -631.6993400,
   165,           0.9801650,        -631.6830400,
   166,           0.9801660,        -631.6672000,
   167,           0.9801670,        -631.6523400,
   168,           0.9801680,        -631.6356000,
   169,           0.9801690,        -631.6201000,
   170,           0.9801700,        -631.6032100,
   171,           0.9801710,        -631.5867300,
   172,           0.9801720,        -631.5720000,
   173,           0.9801730,        -631.5558400,
   174,           0.9801740,        -631.5395000,
   175,           0.9801750,        -631.5239000,
   176,           0.9801760,        -631.5087200,
   177,           0.9801770,        -631.4926000,
   178,           0.9801780,        -631.4763100,
   179,           0.9801790,        -631.4608100,
   180,           0.9801800,        -631.4441000,
   181,           0.9801810,        -631.4293200,
   182,           0.9801820,        -631.4133300,
   183,           0.9801830,        -631.3970300,
   184,           0.9801840,        -631.3814000,
   185,           0.9801850,        -631.3663000,
   186,           0.9801860,        -631.3499100,
   187,           0.9801870,        -631.3334300,
   188,           0.9801880,        -631.3175000,
   189,           0.9801890,        -631.3015000,
