Iteration,phi,lnL
     1,           0.9800010,       -5710.7950000,
     2,           0.9800020,       -5710.6650000,
     3,           0.9800030,       -5710.5410000,
     4,           0.9800040,       -5710.4180000,
     5,           0.9800050,       -5710.2860000,
     6,           0.9800060,       -5710.1700000,
     7,           0.9800070,       -5710.0420000,
     8,           0.9800080,       -5709.9090000,
     9,           0.9800090,       -5709.7850000,
    10,           0.9800100,       -5709.6630000,
    11,           0.9800110,       -5709.5302000,
    12,           0.9800120,       -5709.4042000,
    13,           0.9800130,       -5709.2773000,
    14,           0.9800140,       -5709.1490000,
    15,           0.9800150,       -5709.0290000,
    16,           0.9800160,       -5708.9030000,
    17,           0.9800170,       -5708.7763000,
    18,           0.9800180,       -5708.6450000,
    19,           0.9800190,       -5708.5210000,
    20,           0.9800200,       -5708.3980000,
    21,           0.9800210,       -5708.2640000,
    22,           0.9800220,       -5708.1370000,
    23,           0.9800230,       -5708.0110000,
    24,           0.9800240,       -5707.8823000,
    25,           0.9800250,       -5707.7583000,
    26,           0.9800260,       -5707.6290000,
    27,           0.9800270,       -5707.5034000,
    28,           0.9800280,       -5707.3860000,
    29,           0.9800290,       -5707.2490000,
    30,           0.9800300,       -5707.1254000,
    31,           0.9800310,       -5706.9980000,
    32,           0.9800320,       -5706.8764000,
    33,           0.9800330,       -5706.7441000,
    34,           0.9800340,       -5706.6200000,
    35,           0.9800350,       -5706.4980000,
    36,           0.9800360,       -5706.3632000,
    37,           0.9800370,       -5706.2470000,
    38,           0.9800380,       -5706.1171000,
    39,           0.9800390,       -5705.9860000,
    40,           0.9800400,       -5705.8623000,
    41,           0.9800410,       -5705.7350000,
    42,           0.9800420,       -5705.6110000,
    43,           0.9800430,       -5705.4873000,
    44,           0.9800440,       -5705.3613000,
    45,           0.9800450,       -5705.2304000,
    46,           0.9800460,       -5705.1090000,
    47,           0.9800470,       -5704.9850000,
    48,           0.9800480,       -5704.8560000,
    49,           0.9800490,       -5704.7250000,
    50,           0.9800500,       -5704.6020000,
    51,           0.9800510,       -5704.4721000,
    52,           0.9800520,       -5704.3520000,
    53,           0.9800530,       -5704.2221000,
    54,           0.9800540,       -5704.0922000,
    55,           0.9800550,       -5703.9682000,
    56,           0.9800560,       -5703.8500000,
    57,           0.9800570,       -5703.7180000,
    58,           0.9800580,       -5703.5883000,
    59,           0.9800590,       -5703.4610000,
    60,           0.9800600,       -5703.3370000,
    61,           0.9800610,       -5703.2094000,
    62,           0.9800620,       -5703.0820000,
    63,           0.9800630,       -5702.9530000,
    64,           0.9800640,       -5702.8320000,
    65,           0.9800650,       -5702.7100000,
    66,           0.9800660,       -5702.5770000,
    67,           0.9800670,       -5702.4450000,
    68,           0.9800680,       -5702.3200000,
    69,           0.9800690,       -5702.1990000,
    70,           0.9800700,       -5702.0722000,
    71,           0.9800710,       -5701.9480000,
    72,           0.9800720,       -5701.8144000,
    73,           0.9800730,       -5701.6933000,
    74,           0.9800740,       -5701.5703000,
    75,           0.9800750,       -5701.4370000,
    76,           0.9800760,       -5701.3100000,
    77,           0.9800770,       -5701.1821000,
    78,           0.9800780,       -5701.0561000,
    79,           0.9800790,       -5700.9340000,
    80,           0.9800800,       -5700.8060000,
    81,           0.9800810,       -5700.6733000,
    82,           0.9800820,       -5700.5581000,
    83,           0.9800830,       -5700.4290000,
    84,           0.9800840,       -5700.3010000,
    85,           0.9800850,       -5700.1772000,
    86,           0.9800860,       -5700.0490000,
    87,           0.9800870,       -5699.9252000,
    88,           0.9800880,       -5699.7954000,
    89,           0.9800890,       -5699.6713000,
    90,           0.9800900,       -5699.5390000,
    91,           0.9800910,       -5699.4180000,
    92,           0.9800920,       -5699.2960000,
    93,           0.9800930,       -5699.1611000,
    94,           0.9800940,       -5699.0370000,
    95,           0.9800950,       -5698.9140000,
    96,           0.9800960,       -5698.7870000,
    97,           0.9800970,       -5698.6600000,
    98,           0.9800980,       -5698.5360000,
    99,           0.9800990,       -5698.4080000,
   100,           0.9801000,       -5698.2812000,
   101,           0.9801010,       -5698.1572000,
   102,           0.9801020,       -5698.0280000,
