Donor_Arr	Recipient_Arr	Region	Length	Psi	exclude
CH	AR	1	81494	0.00009	N
CH	AR	1	67	0.00009	N
CH	AR	1	24259	0.00009	N
CH	AR	1	88486	0.00009	N
CH	AR	1	4344	0.00009	N
CH	AR	1	10474	0.00009	N
CH	AR	1	56552	0.00009	N
CH	AR	1	202	0.00009	N
CH	AR	1	5737	0.00014	N
CH	AR	1	30284	0.00014	N
CH	AR	1	11	0.00014	N
CH	AR	1	12640	0.00014	N
CH	AR	1	19057	0.00014	N
CH	AR	1	78620	0.00014	N
CH	AR	1	58	0.00014	N
CH	AR	1	3656	0.00014	N
CH	AR	1	172901	0.00014	N
CH	AR	1	22149	0.00014	N
CH	AR	1	2	0.00014	N
CH	AR	1	29957	0.00014	N
CH	AR	1	896	0.00014	N
CH	AR	1	15467	0.00014	N
CH	AR	1	2556	0.00014	N
CH	AR	1	11232	0.00014	N
CH	AR	1	36115	0.00014	N
CH	AR	1	205	0.00014	N
CH	AR	1	73889	0.00014	N
CH	AR	1	235	0.00014	N
CH	AR	1	33263	0.00017	N
CH	AR	1	38917	0.00017	N
CH	AR	1	35031	0.00017	N
CH	AR	1	20254	0.00017	N
CH	AR	1	11599	0.00017	N
CH	AR	1	6206	0.00017	N
CH	AR	1	12123	0.00017	N
CH	AR	1	27007	0.00017	N
CH	AR	1	23	0.00017	N
CH	AR	1	10157	0.00017	N
CH	AR	1	5302	0.00017	N
CH	AR	1	14919	0.00017	N
CH	AR	1	50856	0.00017	N
CH	AR	1	30112	0.00017	N
CH	AR	1	72571	0.00017	N
CH	AR	1	12181	0.00017	N
CH	AR	1	24295	0.00017	N
CH	AR	1	10539	0.00017	N
CH	AR	1	13737	0.00017	N
CH	AR	1	37644	0.00017	N
CH	AR	1	7036	0.00017	N
CH	AR	1	45817	0.00017	N
CH	AR	1	2170	0.00018	N
CH	AR	1	8012	0.00018	N
CH	AR	1	1650	0.00018	N
CH	AR	1	3206	0.00018	N
CH	AR	1	18153	0.00018	N
CH	AR	1	80	0.00018	N
CH	AR	1	60751	0.00018	N
CH	AR	1	1979	0.00018	N
CH	AR	1	12229	0.00018	N
CH	AR	1	262	0.00018	N
CH	AR	1	8948	0.00018	N
CH	AR	1	4212	0.00018	N
CH	AR	1	42514	0.00018	N
CH	AR	1	570	0.00018	N
CH	AR	1	36830	0.00018	N
CH	AR	1	51813	0.00018	N
CH	AR	1	19883	0.00018	N
CH	AR	1	5466	0.00018	N
CH	AR	1	116493	0.00018	N
CH	AR	1	14	0.00018	N
CH	AR	1	72907	0.00018	N
CH	AR	1	4953	0.00018	N
CH	AR	1	3586	0.00018	N
CH	AR	1	3978	0.00018	N
CH	AR	1	301	0.00018	N
CH	AR	1	15195	0.00018	N
CH	AR	1	14	0.00018	N
CH	AR	1	20	0.00018	N
CH	AR	1	10	0.00018	N
CH	AR	1	1481	0.00027	N
CH	AR	1	3796	0.00027	N
CH	AR	1	1160	0.00027	N
CH	AR	1	1497	0.00027	N
CH	AR	1	31181	0.00027	N
CH	AR	1	3756	0.00027	N
CH	AR	1	28487	0.00027	N
CH	AR	1	1326	0.00027	N
CH	AR	1	3	0.00027	N
CH	AR	1	133	0.00027	N
CH	AR	1	218	0.00027	N
CH	AR	1	2479	0.00027	N
CH	AR	1	3006	0.00027	N
CH	AR	1	31	0.00027	N
CH	AR	1	3	0.00027	N
CH	AR	1	48707	0.00027	N
CH	AR	1	10284	0.00027	N
CH	AR	1	1074	0.00027	N
CH	AR	1	4559	0.00027	N
CH	AR	1	4220	0.00027	N
CH	AR	1	101693	0.00027	N
CH	AR	1	76934	0.00027	N
CH	AR	1	4520	0.00027	N
CH	AR	1	2768	0.00027	N
CH	AR	1	1705	0.00027	N
CH	AR	1	4852	0.00027	N
CH	AR	1	15176	0.00027	N
CH	AR	1	29127	0.00027	N
CH	AR	1	14911	0.00027	N
CH	AR	1	2683	0.00027	N
CH	AR	1	12408	0.00027	N
CH	AR	1	22587	0.00027	N
CH	AR	1	1736	0.00027	N
CH	AR	1	7936	0.00027	N
CH	AR	1	3809	0.00027	N
CH	AR	1	258	0.00027	N
CH	AR	1	17	0.00027	N
CH	AR	1	537	0.00027	N
CH	AR	1	52	0.00027	N
CH	AR	1	27728	0.00027	N
CH	AR	1	2837	0.00027	N
CH	AR	1	42	0.00027	N
CH	AR	1	15668	0.00027	N
CH	AR	1	19940	0.00027	N
CH	AR	1	11194	0.00027	N
CH	AR	1	13831	0.00027	N
CH	AR	1	248	0.00027	N
CH	AR	1	8	0.00027	N
CH	AR	1	36235	0.00027	N
CH	AR	1	6857	0.00027	N
CH	AR	1	4489	0.00023	N
CH	AR	1	310	0.00023	N
CH	AR	1	2	0.00023	N
CH	AR	1	10	0.00023	N
CH	AR	1	4	0.00023	N
CH	AR	1	6	0.00023	N
CH	AR	1	2042	0.00023	N
CH	AR	1	12353	0.00023	N
CH	AR	1	4617	0.00023	N
CH	AR	1	3222	0.00023	N
CH	AR	1	2	0.00023	N
CH	AR	1	12345	0.00023	N
CH	AR	1	4975	0.00023	N
CH	AR	1	11699	0.00023	N
CH	AR	1	1330	0.00023	N
CH	AR	1	115162	0.00023	N
CH	AR	1	19681	0.00023	N
CH	AR	1	5675	0.00023	N
CH	AR	1	6950	0.00023	N
CH	AR	1	40629	0.00023	N
CH	AR	1	40	0.00023	N
CH	AR	1	9741	0.00023	N
CH	AR	1	23	0.00023	N
CH	AR	1	995	0.00023	N
CH	AR	1	25455	0.00023	N
CH	AR	1	928	0.00023	N
CH	AR	1	3	0.00023	N
CH	AR	1	19	0.00023	N
CH	AR	1	13364	0.00023	N
CH	AR	1	424	0.00023	N
CH	AR	1	16748	0.00023	N
CH	AR	1	382	0.00023	N
CH	AR	1	5929	0.00023	N
CH	AR	1	3192	0.00023	N
CH	AR	1	15892	0.00023	N
CH	AR	1	5190	0.00023	N
CH	AR	1	85	0.00023	N
CH	AR	1	95	0.00023	N
CH	AR	1	22115	0.00023	N
CH	AR	1	448	0.00023	N
CH	AR	1	105	0.00023	N
CH	AR	1	5581	0.00023	N
CH	AR	1	747	0.00023	N
CH	AR	1	13050	0.00023	N
CH	AR	1	5834	0.00014	N
CH	AR	1	382	0.00014	N
CH	AR	1	342	0.00014	N
CH	AR	1	4494	0.00014	N
CH	AR	1	22432	0.00014	N
CH	AR	1	1609	0.00014	N
CH	AR	1	3	0.00014	N
CH	AR	1	36464	0.00014	N
CH	AR	1	9757	0.00014	N
CH	AR	1	31718	0.00014	N
CH	AR	1	1171	0.00014	N
CH	AR	1	18	0.00014	N
CH	AR	1	14712	0.00014	N
CH	AR	1	1666	0.00014	N
CH	AR	1	65331	0.00014	N
CH	AR	1	5842	0.00014	N
CH	AR	1	16414	0.00014	N
CH	AR	1	19582	0.00014	N
CH	AR	1	71	0.00014	N
CH	AR	1	23032	0.00014	N
CH	AR	1	9894	0.00014	N
CH	AR	1	499	0.00014	N
CH	AR	1	6090	0.00014	N
CH	AR	1	1968	0.00014	N
CH	AR	1	531	0.00014	N
CH	AR	1	3	0.00014	N
CH	AR	1	17691	0.00014	N
CH	AR	1	12361	0.00014	N
CH	AR	2	30872	0.00018	N
CH	AR	2	15454	0.00018	N
CH	AR	2	4461	0.00018	N
CH	AR	2	281	0.00018	N
CH	AR	2	175	0.00018	N
CH	AR	2	37795	0.00018	N
CH	AR	2	2236	0.00018	N
CH	AR	2	285	0.00018	N
CH	AR	2	49352	0.00018	N
CH	AR	2	405	0.00018	N
CH	AR	2	135	0.00018	N
CH	AR	2	32575	0.00018	N
CH	AR	2	789	0.00018	N
