Region  1
          AR      CH      CU      PP      ST      TL
AR         0      75       0      87      62      73
Min        0     116       0      62      64      83
Max        0     213       0     136     132     168
P<    0.0000  0.0000  0.0000  0.1475  0.0000  0.0000
P>    1.0000  1.0000  1.0000  0.8525  1.0000  1.0000

CH       201       0       0      89      43      90
Min      186       0       0      66      64      87
Max      298       0       0     144     138     173
P<    0.0039  0.0000  0.0000  0.1249  0.0000  0.0002
P>    0.9961  1.0000  1.0000  0.8751  1.0000  0.9998

CU       243     269       0     222      43     269
Min      168     113       0      63      63      86
Max      279     210       0     134     140     165
P<    0.8578  1.0000  0.0000  1.0000  0.0000  1.0000
P>    0.1422  0.0000  1.0000  0.0000  1.0000  0.0000

PP       139      65       0       0      86      75
Min      110      74       0       0      39      51
Max      205     149       0       0     100     120
P<    0.0414  0.0000  0.0000  0.0000  0.9853  0.1106
P>    0.9586  1.0000  1.0000  1.0000  0.0147  0.8894

ST       158      51       0      57       0      60
Min       76      50       0      23       0      29
Max      148     111       0      82       0      88
P<    1.0000  0.0001  0.0000  0.9377  0.0000  0.5558
P>    0.0000  0.9999  1.0000  0.0623  1.0000  0.4442

TL       167      85       0      62      46       0
Min      104      67       0      33      34       0
Max      188     137       0      87      96       0
P<    0.9816  0.0688  0.0000  0.6096  0.0255  0.0000
P>    0.0184  0.9312  1.0000  0.3904  0.9745  1.0000


Region  2
          AR      CH      CU      PP      ST      TL
AR         0      68       0      77      39      55
Min        0      84       0      41      44      63
Max        0     181       0     110     108     136
P<    0.0000  0.0000  0.0000  0.6397  0.0000  0.0000
P>    1.0000  1.0000  1.0000  0.3603  1.0000  1.0000

CH       165       0       0      64      39      77
Min      133       0       0      49      46      60
Max      233       0       0     109     117     138
P<    0.0985  0.0000  0.0000  0.0668  0.0000  0.0130
P>    0.9015  1.0000  1.0000  0.9332  1.0000  0.9870

CU       169     155       0     116      72     122
Min      128      88       0      43      40      63
Max      229     162       0     103     108     129
P<    0.3798  0.9987  0.0000  1.0000  0.4282  0.9982
P>    0.6202  0.0013  1.0000  0.0000  0.5718  0.0018

PP       152      85       0       0      96      82
Min       81      51       0       0      28      35
Max      164     117       0       0      80      97
P<    0.9965  0.4830  0.0000  0.0000  1.0000  0.9738
P>    0.0035  0.5170  1.0000  1.0000  0.0000  0.0262

ST       115      44       0      37       0      38
Min       52      34       0      12       0      22
Max      118      90       0      60       0      71
P<    0.9996  0.0222  0.0000  0.6055  0.0000  0.1328
P>    0.0004  0.9778  1.0000  0.3945  1.0000  0.8672

TL       131      78       0      48      24       0
Min       69      48       0      21      24       0
Max      148     107       0      72      71       0
P<    0.9881  0.5900  0.0000  0.6221  0.0000  0.0000
P>    0.0119  0.4100  1.0000  0.3779  1.0000  1.0000


Region  3
          AR      CH      CU      PP      ST      TL
AR         0     983       0    1247     545    1138
Min        0    1271       0     736     753     965
Max        0    1534       0     970     971    1209
P<    0.0000  0.0000  0.0000  1.0000  0.0000  0.9321
P>    1.0000  1.0000  1.0000  0.0000  1.0000  0.0679

CH      2215       0       0     472     797     765
Min     1871       0       0     762     775    1017
Max     2214       0       0     978    1008    1250
P<    1.0000  0.0000  0.0000  0.0000  0.0009  0.0000
P>    0.0000  1.0000  1.0000  1.0000  0.9991  1.0000

CU      1893    1888       0     594     590    1599
Min     1819    1239       0     741     747     977
Max     2128    1516       0     942     955    1192
P<    0.0221  1.0000  0.0000  0.0000  0.0000  1.0000
P>    0.9779  0.0000  1.0000  1.0000  1.0000  0.0000

PP      1474     897       0       0     828    1054
Min     1260     865       0       0     499     657
Max     1544    1082       0       0     698     868
P<    0.9945  0.0051  0.0000  0.0000  1.0000  1.0000
P>    0.0055  0.9949  1.0000  1.0000  0.0000  0.0000

ST      1218     724       0     159       0     682
Min      837     584       0     324       0     435
Max     1073     756       0     487       0     604
P<    1.0000  0.9898  0.0000  0.0000  0.0000  1.0000
P>    0.0000  0.0102  1.0000  1.0000  1.0000  0.0000

TL      1369     932       0     247     399       0
Min     1114     774       0     444     455       0
Max     1362     957       0     613     616       0
P<    1.0000  0.9903  0.0000  0.0000  0.0000  0.0000
P>    0.0000  0.0097  1.0000  1.0000  1.0000  1.0000


Region  4
          AR      CH      CU      PP      ST      TL
AR         0     354       0     292     310     363
Min        0     305       0     179     185     239
Max        0     451       0     294     294     359
P<    0.0000  0.0732  0.0000  0.9999  1.0000  1.0000
P>    1.0000  0.9268  1.0000  0.0001  0.0000  0.0000

CH       602       0       0     215     284     227
Min      470       0       0     183     190     250
Max      642       0       0     303     308     386
P<    0.9648  0.0000  0.0000  0.0327  0.9932  0.0000
P>    0.0352  1.0000  1.0000  0.9673  0.0068  1.0000

CU       371     371       0     210     219     215
Min      458     303       0     183     178     236
Max      619     453       0     300     292     364
P<    0.0000  0.3616  0.0000  0.0634  0.1364  0.0000
P>    1.0000  0.6384  1.0000  0.9366  0.8636  1.0000

PP       404     318       0       0     207     229
Min      313     211       0       0     121     159
Max      446     326       0       0     212     260
P<    0.9112  0.9990  0.0000  0.0000  0.9989  0.9094
P>    0.0888  0.0010  1.0000  1.0000  0.0011  0.0906

ST       431     109       0      76       0     100
Min      201     130       0      76       0     102
Max      321     241       0     153       0     194
P<    1.0000  0.0000  0.0000  0.0000  0.0000  0.0000
P>    0.0000  1.0000  1.0000  1.0000  1.0000  1.0000

TL       218     312       0     207     128       0
Min      277     185       0     102     100       0
Max      397     294       0     189     208       0
P<    0.0000  1.0000  0.0000  1.0000  0.0418  0.0000
P>    1.0000  0.0000  1.0000  0.0000  0.9582  1.0000


Region  5
          AR      CH      CU      PP      ST      TL
AR         0     470       0     167     169     250
Min        0     259       0     149     145     196
Max        0     377       0     251     263     313
P<    0.0000  1.0000  0.0000  0.0112  0.0108  0.4486
P>    1.0000  0.0000  1.0000  0.9888  0.9892  0.5514

CH       377       0       0     160     143     152
Min      386       0       0     136     154     199
Max      544       0       0     252     257     332
P<    0.0000  0.0000  0.0000  0.0005  0.0000  0.0000
P>    1.0000  1.0000  1.0000  0.9995  1.0000  1.0000

CU       195     526       0     189     147     173
Min      370     253       0     146     148     200
Max      525     383       0     246     251     307
P<    0.0000  1.0000  0.0000  0.3274  0.0000  0.0000
P>    1.0000  0.0000  1.0000  0.6726  1.0000  1.0000

PP       192     681       0       0     114     186
Min      253     172       0       0      98     129
Max      374     280       0       0     185     224
P<    0.0000  1.0000  0.0000  0.0000  0.0100  0.7604
P>    1.0000  0.0000  1.0000  1.0000  0.9900  0.2396

