Region,Beg,End,Count
    1,     80063,     88800, 1.744
    2,     91387,    110260, 1.394
    3,    115201,    238923, 2.120
    4,    288322,    304375, 1.101
    5,    306989,    451959, 2.378
    6,    463300,    465081, 1.000
    7,    478662,    499971, 1.801
    8,    502448,    749990, 3.379
    9,    750221,    750386, 1.000
   10,    752017,    840814, 1.837
   11,    842874,    842886, 1.000
   12,    844530,    887123, 1.523
   13,    889821,    893084, 1.000
   14,    909046,    909311, 1.000
   15,    913161,    916213, 1.000
   16,    916601,    944243, 2.437
   17,    946654,    946655, 1.000
   18,    947899,    994486, 2.510
   19,   1003958,   1020638, 2.516
   20,   1042847,   1043220, 1.000
   21,   1048243,   1074134, 1.650
   22,   1074441,   1111981, 1.343
   23,   1132461,   1132503, 1.000
   24,   1134166,   1134484, 1.000
   25,   1137092,   1171047, 1.542
   26,   1171247,   1204338, 2.029
   27,   1207475,   1207477, 1.000
   28,   1215548,   1218535, 1.000
   29,   1223928,   1228988, 1.000
   30,   1251771,   1298003, 1.490
   31,   1301729,   1302054, 1.000
   32,   1306208,   1307546, 2.001
   33,   1313182,   1316860, 1.191
   34,   1319556,   1319557, 1.000
   35,   1321335,   1337799, 1.156
   36,   1347545,   1347546, 1.000
   37,   1352339,   1363719, 1.663
   38,   1385302,   1424029, 1.931
   39,   1424476,   1424532, 1.000
   40,   1444137,   1447346, 1.000
   41,   1458879,   1463851, 1.754
   42,   1475783,   1499283, 2.352
   43,   1500433,   1528387, 1.674
   44,   1535769,   1535772, 1.000
   45,   1536124,   1536759, 1.014
   46,   1545633,   1552479, 1.000
   47,   1558559,   1562233, 1.060
   48,   1566706,   1567503, 1.000
   49,   1567901,   1640720, 1.587
   50,   1652137,   1684706, 1.156
   51,   1693088,   1698965, 1.000
   52,   1721433,   1721533, 1.000
   53,   1729213,   1763622, 1.247
   54,   1770841,   1830219, 1.170
   55,   1833201,   1833202, 1.000
   56,   1836792,   1836793, 1.000
   57,   1846586,   1847244, 1.097
   58,   1849697,   1920885, 1.466
   59,   1925737,   1929857, 1.060
   60,   1933788,   1977706, 2.464
   61,   1986175,   1987174, 1.000
   62,   1992744,   1993747, 1.002
   63,   2001896,   2001900, 1.000
   64,   2005734,   2007458, 1.000
   65,   2015003,   2015005, 1.000
