"CU_SReg","CU_Beg","CU_SReg2","CU_End","CU_SReg3","CU_Ori"
"01a","1","01a","250000","01a","1"
"01b","250001","01b","500000","01b","1"
"01c","500001","01c","750000","01c","1"
"01d","750001","01d","1000000","01d","1"
"01e","1000001","01e","1250000","01e","1"
"01f","1250001","01f","1500000","01f","1"
"01g","1500001","01g","1768582","01g","1"
"05a","1768583","05a","1991359","05a","1"
"05b","1991360","05b","2241359","05b","1"
"05c","2241360","05c","2645523","05c","1"
"09c","2645524","09c","2977904","09c","-1"
"09b","2977905","09b","3227904","09b","-1"
"09a","3227905","09a","3537579","09a","-1"
"08l","3537580","08l","3977904","08l","-1"
"08k","3977905","08k","4227904","08k","-1"
"08j","4227905","08j","4477904","08j","-1"
"08i","4477905","08i","4727904","08i","-1"
"08h","4727905","08h","4977904","08h","-1"
"08g","4977905","08g","5227904","08g","-1"
"08f","5227905","08f","5477904","08f","-1"
"08e","5477905","08e","5727904","08e","-1"
"08d","5727905","08d","5977904","08d","-1"
"08c","5977905","08c","6227904","08c","-1"
"08b","6227905","08b","6477904","08b","-1"
"08a","6477905","08a","6851730","08a","-1"
"07e","6851731","07e","7227904","07e","-1"
"07d","7227905","07d","7477904","07d","-1"
"07c","7477905","07c","7727904","07c","-1"
"07b","7727905","07b","7977904","07b","-1"
"07a","7977905","07a","8314224","07a","-1"
"13a","8314225","13a","8496490","13a","-1"
"03q","8496491","03q","8815092","03q","-1"
"03p","8815093","03p","9065092","03p","-1"
"03o","9065093","03o","9315092","03o","-1"
"03n","9315093","03n","9565092","03n","-1"
"03m","9565093","03m","9815092","03m","-1"
"03l","9815093","03l","10065092","03l","-1"
"03k","10065093","03k","10315092","03k","-1"
"03j","10315093","03j","10565092","03j","-1"
"03i","10565093","03i","10815092","03i","-1"
"03h","10815093","03h","11065092","03h","-1"
"03g","11065093","03g","11315092","03g","-1"
"03f","11315093","03f","11565092","03f","-1"
"03e","11565093","03e","11815092","03e","-1"
"03d","11815093","03d","12065092","03d","-1"
"03c","12065093","03c","12315092","03c","-1"
"03b","12315093","03b","12565092","03b","-1"
"03a","12565093","03a","12810126","03a","-1"
"02c","12810127","02c","13065092","02c","-1"
"02b","13065093","02b","13315092","02b","-1"
"02a","13315093","02a","13546510","02a","-1"
"04e","13546511","04e","13823733","04e","-1"
"04d","13823734","04d","14073733","04d","-1"
"04c","14073734","04c","14323733","04c","-1"
"04b","14323734","04b","14573733","04b","-1"
"04a","14573734","04a","14755131","04a","-1"
"12a","14755132","12a","15149498","12a","-1"
"11e","15149499","11e","15550945","11e","-1"
"11d","15550946","11d","15800945","11d","-1"
"11c","15800946","11c","16050945","11c","-1"
"11b","16050946","11b","16300945","11b","-1"
"11a","16300946","11a","16644594","11a","-1"
"10b","16644595","10b","17050945","10b","-1"
"10a","17050946","10a","17468564","10a","-1"
"06a","17468565","06a","17728080","06a","1"
"14a","17728081","14a","18000000","14a","1"
"14b","18000001","14b","18250000","14b","1"
"14c","18250001","14c","18500000","14c","1"
"14d","18500001","14d","18750000","14d","1"
"14e","18750001","14e","19000000","14e","1"
"14f","19000001","14f","19250000","14f","1"
"14g","19250001","14g","19500000","14g","1"
"14h","19500001","14h","19787792","14h","1"
