SubRegion	GC_Beg	GC_End	PP_Beg	PP_End	PP_Ori	ABeg	AEnd
01a	564	65491	1	250000	1	564	65491
01a	6305	57061	1	250000	1	6305	57061
01a	13581	14522	1	250000	1	13581	14522
01a	83462	219540	1	250000	1	83462	219540
01a	130586	130611	1	250000	1	130586	130611
01a	143964	206815	1	250000	1	143964	206815
01a	152056	152059	1	250000	1	152056	152059
01a	202124	206815	1	250000	1	202124	206815
01a	207860	208001	1	250000	1	207860	208001
01b	2337	2582	250001	500000	1	252337	252582
01b	8629	39192	250001	500000	1	258629	289192
01b	12086	52953	250001	500000	1	262086	302953
01b	14005	56240	250001	500000	1	264005	306240
01b	44961	52953	250001	500000	1	294961	302953
01b	44961	84354	250001	500000	1	294961	334354
01b	49561	56230	250001	500000	1	299561	306230
01b	56061	56230	250001	500000	1	306061	306230
01b	70843	70861	250001	500000	1	320843	320861
01b	73252	73359	250001	500000	1	323252	323359
01b	73252	125807	250001	500000	1	323252	375807
01b	74786	74820	250001	500000	1	324786	324820
01b	74786	87910	250001	500000	1	324786	337910
01b	76712	76718	250001	500000	1	326712	326718
01b	81403	125807	250001	500000	1	331403	375807
01b	81403	245018	250001	500000	1	331403	495018
01b	81403	90025	250001	500000	1	331403	340025
01b	91088	91147	250001	500000	1	341088	341147
01b	92212	133578	250001	500000	1	342212	383578
01b	106446	117268	250001	500000	1	356446	367268
01b	121764	176353	250001	500000	1	371764	426353
01b	127664	127840	250001	500000	1	377664	377840
01b	138723	141200	250001	500000	1	388723	391200
01b	141172	163800	250001	500000	1	391172	413800
01b	141172	141174	250001	500000	1	391172	391174
01b	150079	165195	250001	500000	1	400079	415195
01b	176353	185402	250001	500000	1	426353	435402
01b	182267	185402	250001	500000	1	432267	435402
01b	198149	212301	250001	500000	1	448149	462301
01b	202731	243173	250001	500000	1	452731	493173
01b	206862	212301	250001	500000	1	456862	462301
01b	211348	211391	250001	500000	1	461348	461391
01b	212301	214098	250001	500000	1	462301	464098
01b	212495	212633	250001	500000	1	462495	462633
01b	212495	243173	250001	500000	1	462495	493173
01b	212633	214431	250001	500000	1	462633	464431
01b	214034	215353	250001	500000	1	464034	465353
01b	237778	243173	250001	500000	1	487778	493173
01b	237778	238306	250001	500000	1	487778	488306
01b	242583	243173	250001	500000	1	492583	493173
01b	243193	245018	250001	500000	1	493193	495018
01c	26433	39306	500001	750000	1	526433	539306
01c	26433	28645	500001	750000	1	526433	528645
01c	26583	32432	500001	750000	1	526583	532432
01c	29600	59684	500001	750000	1	529600	559684
01c	31881	75640	500001	750000	1	531881	575640
01c	32161	44732	500001	750000	1	532161	544732
01c	35330	52023	500001	750000	1	535330	552023
01c	36547	61202	500001	750000	1	536547	561202
01c	50889	53316	500001	750000	1	550889	553316
01c	52023	64826	500001	750000	1	552023	564826
01c	52772	66622	500001	750000	1	552772	566622
01c	58902	61202	500001	750000	1	558902	561202
01c	58902	59684	500001	750000	1	558902	559684
01c	69777	69781	500001	750000	1	569777	569781
01c	71773	74222	500001	750000	1	571773	574222
01c	73417	101734	500001	750000	1	573417	601734
01c	74148	74667	500001	750000	1	574148	574667
01c	74780	75276	500001	750000	1	574780	575276
01c	75276	79290	500001	750000	1	575276	579290
01c	76332	76429	500001	750000	1	576332	576429
01c	77565	82331	500001	750000	1	577565	582331
01c	81690	82337	500001	750000	1	581690	582337
01c	84383	91598	500001	750000	1	584383	591598
01c	91401	91760	500001	750000	1	591401	591760
01c	97790	98649	500001	750000	1	597790	598649
01c	100960	101402	500001	750000	1	600960	601402
01c	100960	101277	500001	750000	1	600960	601277
01c	101197	101402	500001	750000	1	601197	601402
01c	112581	127763	500001	750000	1	612581	627763
01c	118123	118124	500001	750000	1	618123	618124
01c	135501	135594	500001	750000	1	635501	635594
01c	135865	175660	500001	750000	1	635865	675660
01c	137263	169359	500001	750000	1	637263	669359
01c	137263	137347	500001	750000	1	637263	637347
01c	144578	175660	500001	750000	1	644578	675660
01c	145755	146864	500001	750000	1	645755	646864
01c	145755	166740	500001	750000	1	645755	666740
01c	146864	198224	500001	750000	1	646864	698224
01c	154781	156978	500001	750000	1	654781	656978
01c	155222	155475	500001	750000	1	655222	655475
01c	168625	175851	500001	750000	1	668625	675851
01c	173236	175851	500001	750000	1	673236	675851
01c	174573	184824	500001	750000	1	674573	684824
01c	174573	177842	500001	750000	1	674573	677842
01c	175509	176767	500001	750000	1	675509	676767
