Transcript_ID,Ori,Exon,Pos_Beg,Pos_End
GA10297-RA ,1,1,14931,14985
GA10297-RA ,1,2,15043,15965
GA15848-RA ,-1,1,15986,16456
GA10330-RA ,-1,1,23596,24320
GA10330-RA ,-1,2,24378,24792
GA10330-RA ,-1,3,54732,54886
GA10330-RA ,-1,4,69369,69906
GA24590-RC ,1,1,70722,70872
GA24590-RC ,1,2,70934,71276
GA24590-RC ,1,3,71353,71440
GA24590-RB ,1,1,70722,70872
GA24590-RB ,1,2,70934,71276
GA24590-RB ,1,3,71356,71440
GA32996-RB ,-1,1,71758,71760
GA32996-RB ,-1,2,72671,73915
GA32996-RA ,-1,1,72447,72602
GA32996-RA ,-1,2,72671,73915
GA15984-RA ,-1,1,74164,76687
GA15984-RA ,-1,2,76751,77331
GA31014-RA ,1,1,78877,78907
GA31014-RA ,1,2,78973,79305
GA31014-RA ,1,3,79364,79731
GA31396-RA ,1,1,81422,81781
GA25598-RB ,-1,1,83300,83435
GA25598-RB ,-1,2,83494,83604
GA25598-RB ,-1,3,83658,83899
GA25598-RB ,-1,4,83952,84083
GA25598-RC ,-1,1,83300,83435
GA25598-RC ,-1,2,83494,83604
GA25598-RC ,-1,3,83658,83893
GA25598-RC ,-1,4,83952,84083
GA15428-RA ,-1,1,89439,90241
GA15428-RA ,-1,2,90302,90571
GA15428-RA ,-1,3,90783,91233
GA11952-RA ,1,1,92754,93548
GA24587-RA ,-1,1,93977,94476
GA24587-RA ,-1,2,94545,94626
GA24587-RB ,-1,1,93977,94248
GA24587-RB ,-1,2,94545,94626
GA24591-RA ,1,1,96656,96844
GA24591-RA ,1,2,96961,97080
GA24591-RA ,1,3,97294,97392
GA15847-RE ,-1,1,106732,106835
GA15847-RE ,-1,2,106969,107095
GA15847-RE ,-1,3,108716,109168
GA15847-RE ,-1,4,109249,109446
GA15847-RE ,-1,5,109507,109824
GA15847-RE ,-1,6,109886,110071
GA15847-RE ,-1,7,111741,111836
GA15847-RE ,-1,8,111961,112074
GA15847-RE ,-1,9,127990,128160
GA15847-RE ,-1,10,134503,134712
GA15847-RE ,-1,11,134776,135084
GA15847-RE ,-1,12,135152,135374
GA15847-RE ,-1,13,136424,136536
GA15847-RE ,-1,14,136592,136741
GA15847-RE ,-1,15,136819,137049
GA15847-RE ,-1,16,137127,137217
GA15847-RE ,-1,17,137284,137830
GA15847-RE ,-1,18,142764,142998
GA15847-RC ,-1,1,106732,106835
GA15847-RC ,-1,2,106969,107095
GA15847-RC ,-1,3,108716,109168
GA15847-RC ,-1,4,109249,109446
GA15847-RC ,-1,5,109507,109824
GA15847-RC ,-1,6,109886,110071
GA15847-RC ,-1,7,111741,111836
GA15847-RC ,-1,8,111961,112074
GA15847-RC ,-1,9,127990,128160
GA15847-RC ,-1,10,134503,134712
GA15847-RC ,-1,11,134776,135084
