SubRegion	GC_Beg	GC_End	AR_Beg	AR_End	AR_Ori	ABeg	AEnd
01a	4753	93293	1	250000	1	4753	93293
01a	4753	68236	1	250000	1	4753	68236
01a	4753	98301	1	250000	1	4753	98301
01a	8248	64836	1	250000	1	8248	64836
01a	28326	87062	1	250000	1	28326	87062
01a	64766	146318	1	250000	1	64766	146318
01a	69780	202408	1	250000	1	69780	202408
01a	72323	82831	1	250000	1	72323	82831
01a	74344	102136	1	250000	1	74344	102136
01a	76960	82831	1	250000	1	76960	82831
01a	78105	78115	1	250000	1	78105	78115
01a	80063	80129	1	250000	1	80063	80129
01a	83565	87769	1	250000	1	83565	87769
01a	83565	85663	1	250000	1	83565	85663
01a	112302	216526	1	250000	1	112302	216526
01a	120330	176881	1	250000	1	120330	176881
01a	126252	152312	1	250000	1	126252	152312
01a	141206	193155	1	250000	1	141206	193155
01a	151318	152059	1	250000	1	151318	152059
01a	163694	210797	1	250000	1	163694	210797
01a	167801	168839	1	250000	1	167801	168839
01a	168814	168899	1	250000	1	168814	168899
01a	168839	193155	1	250000	1	168839	193155
01a	173321	173322	1	250000	1	173321	173322
01a	173322	193155	1	250000	1	173322	193155
01a	180506	182350	1	250000	1	180506	182350
01a	200157	245725	1	250000	1	200157	245725
01a	200337	245983	1	250000	1	200337	245983
01a	214859	216526	1	250000	1	214859	216526
01a	215512	237507	1	250000	1	215512	237507
01a	216325	216526	1	250000	1	216325	216526
01a	220090	230563	1	250000	1	220090	230563
01a	236334	238841	1	250000	1	236334	238841
01a	244207	248734	1	250000	1	244207	248734
01a	244391	248734	1	250000	1	244391	248734
01b	573	11851	250001	500000	1	250573	261851
01b	573	2889	250001	500000	1	250573	252889
01b	1352	56230	250001	500000	1	251352	306230
01b	6011	37944	250001	500000	1	256011	287944
01b	6796	55709	250001	500000	1	256796	305709
01b	6796	66295	250001	500000	1	256796	316295
01b	13397	15537	250001	500000	1	263397	265537
01b	45969	219173	250001	500000	1	295969	469173
01b	48798	55709	250001	500000	1	298798	305709
01b	50430	50440	250001	500000	1	300430	300440
01b	50430	91147	250001	500000	1	300430	341147
01b	52114	55282	250001	500000	1	302114	305282
01b	52183	60935	250001	500000	1	302183	310935
01b	53140	55695	250001	500000	1	303140	305695
