Region,Beg,End,Count
    1,      3723,      7474, 1.000
    2,     27159,     66364, 1.000
    3,     76960,    247607, 3.083
    4,    250167,    475461, 4.076
    5,    487778,    489358, 1.000
    6,    526834,    747666, 3.650
    7,    751402,    938580, 3.468
    8,    940619,    944218, 1.626
    9,    948024,    996869, 2.498
   10,   1000328,   1006009, 2.238
   11,   1007192,   1007213, 1.000
   12,   1009344,   1087010, 2.275
   13,   1087964,   1091109, 1.000
   14,   1092605,   1092609, 1.000
   15,   1094410,   1103665, 1.392
   16,   1104879,   1106661, 1.000
   17,   1107191,   1107193, 1.000
   18,   1108615,   1108687, 1.000
   19,   1122249,   1129492, 1.012
   20,   1130285,   1130656, 1.000
   21,   1131223,   1131231, 1.000
   22,   1133830,   1133886, 1.000
   23,   1139121,   1139517, 1.000
   24,   1139887,   1146345, 2.606
   25,   1148723,   1244545, 2.930
   26,   1246209,   1246468, 1.000
   27,   1248943,   1249555, 1.023
   28,   1250780,   1262752, 3.158
   29,   1264388,   1265689, 1.000
   30,   1267071,   1449295, 2.752
   31,   1450214,   1488007, 2.473
   32,   1497394,   1497397, 1.000
   33,   1502947,   1751389, 2.592
   34,   1754034,   1755493, 1.000
   35,   1759964,   1761856, 1.018
   36,   1771351,   1771471, 1.000
   37,   1773448,   1773649, 1.000
   38,   1774664,   1954990, 2.790
   39,   1957577,   1973174, 2.163
   40,   1975407,   1976863, 1.000
   41,   1981733,   1981736, 1.000
   42,   1981766,   1981800, 1.000
   43,   1983191,   1985921, 1.000
   44,   1996825,   1996837, 1.000
   45,   2003729,   2004140, 1.027
   46,   2007987,   2007988, 1.000
   47,   2010595,   2064036, 1.918
   48,   2066232,   2067382, 1.153
   49,   2068764,   2071662, 1.000
   50,   2071685,   2071696, 1.000
   51,   2074604,   2076375, 1.525
   52,   2076487,   2076488, 1.000
   53,   2082410,   2120475, 1.801
   54,   2121403,   2122220, 1.000
   55,   2122634,   2125448, 1.106
   56,   2126073,   2129832, 1.389
   57,   2130527,   2134287, 1.302
   58,   2134315,   2134345, 1.000
   59,   2135363,   2135383, 1.000
   60,   2136245,   2151036, 1.471
