Transcript,Exon,Beg,End,Outlier,Mean_GC
GA10297-RA ,         1,     14931,     14985,1,     0.000
GA10297-RA ,         2,     15043,     15965,1,     0.000
GA15848-RA ,         1,     15986,     16456,1,     0.000
GA10330-RA ,         1,     23596,     24320,1,     0.000
GA10330-RA ,         2,     24378,     24792,1,     0.000
GA10330-RA ,         3,     54732,     54886,1,     1.000
GA10330-RA ,         4,     69369,     69906,1,     0.000
GA24590-RC ,         1,     70722,     70872,1,     0.000
GA24590-RC ,         2,     70934,     71276,1,     0.000
GA24590-RC ,         3,     71353,     71440,1,     0.000
GA32996-RA ,         1,     72447,     72602,1,     0.000
GA32996-RA ,         2,     72671,     73915,1,     0.000
GA15984-RA ,         1,     74164,     76687,1,     0.000
GA15984-RA ,         2,     76751,     77331,1,     0.640
GA31014-RA ,         1,     78877,     78907,1,     2.000
GA31014-RA ,         2,     78973,     79305,1,     2.000
GA31014-RA ,         3,     79364,     79731,1,     3.000
GA31396-RA ,         1,     81422,     81781,1,     3.000
GA25598-RB ,         1,     83300,     83435,1,     3.000
GA25598-RB ,         2,     83494,     83604,1,     3.000
GA25598-RB ,         3,     83658,     83899,1,     3.000
GA25598-RB ,         4,     83952,     84083,1,     3.000
GA15428-RA ,         1,     89439,     90241,1,     4.000
GA15428-RA ,         2,     90302,     90571,1,     4.000
GA15428-RA ,         3,     90783,     91233,1,     4.000
GA11952-RA ,         1,     92754,     93548,1,     4.000
GA24587-RA ,         1,     93977,     94476,1,     4.000
GA24587-RA ,         2,     94545,     94626,1,     4.000
GA24591-RA ,         1,     96656,     96844,1,     3.000
GA24591-RA ,         2,     96961,     97080,1,     3.000
GA24591-RA ,         3,     97294,     97392,1,     3.000
GA15847-RE ,         1,    106732,    106835,1,     3.000
GA15847-RE ,         2,    106969,    107095,1,     3.000
GA15847-RE ,         3,    108716,    109168,1,     2.000
GA15847-RE ,         4,    109249,    109446,1,     2.000
GA15847-RE ,         5,    109507,    109824,1,     2.000
GA15847-RE ,         6,    109886,    110071,1,     2.000
GA15847-RE ,         7,    111741,    111836,1,     2.000
GA15847-RE ,         8,    111961,    112074,1,     2.000
GA24592-RA ,         1,    122030,    122287,1,     3.000
GA24592-RA ,         2,    122347,    122503,1,     3.000
GA24592-RA ,         3,    122558,    122808,1,     3.000
GA24592-RA ,         4,    122868,    123006,1,     3.000
GA24592-RA ,         5,    123105,    123724,1,     3.000
GA24592-RA ,         6,    123777,    123891,1,     3.000
GA24592-RA ,         7,    123951,    124354,1,     3.000
GA15847-RE ,         9,    127990,    128160,1,     3.000
GA15847-RE ,        10,    134503,    134712,1,     3.000
GA15847-RE ,        11,    134776,    135084,1,     3.000
GA15847-RE ,        12,    135152,    135374,1,     3.000
GA15847-RE ,        13,    136424,    136536,1,     3.000
GA15847-RE ,        14,    136592,    136741,1,     3.000
GA15847-RE ,        15,    136819,    137049,1,     3.000
GA15847-RE ,        16,    137127,    137217,1,     3.000
GA15847-RE ,        17,    137284,    137830,1,     3.000
GA15847-RE ,        18,    142764,    142998,1,     3.000
GA24593-RA ,         1,    144388,    145124,1,     3.000
GA24593-RA ,         2,    145182,    145272,1,     3.000
GA24594-RA ,         1,    146848,    146861,1,     2.000
GA24594-RA ,         2,    156039,    156121,1,     2.000
GA24594-RA ,         3,    156284,    156341,1,     2.000
GA24594-RA ,         4,    157085,    157268,1,     2.000
GA24594-RA ,         5,    159073,    159369,1,     2.000
GA24594-RA ,         6,    159428,    160215,1,     2.000
GA24594-RA ,         7,    160293,    160461,1,     2.000
GA24586-RB ,         1,    164137,    164335,1,     1.000
GA24586-RB ,         2,    164397,    165008,1,     1.000
GA24586-RB ,         3,    165269,    165294,1,     1.000
GA10737-RA ,         1,    199040,    199372,1,     4.234
GA10737-RA ,         2,    202577,    202765,1,     4.000
GA10737-RA ,         3,    208233,    208987,1,     4.000
GA10737-RA ,         4,    209058,    209210,1,     4.000
GA10737-RA ,         5,    209274,    209542,1,     4.000
GA10737-RA ,         6,    209602,    209894,1,     4.000
GA14468-RA ,         1,    230514,    230551,1,     3.000
GA14468-RA ,         2,    231019,    231787,1,     3.000
GA14468-RA ,         3,    231851,    231918,1,     3.000
GA14468-RA ,         4,    231982,    232246,1,     3.000
GA14468-RA ,         5,    232312,    232563,1,     3.000
GA14468-RA ,         6,    232621,    232665,1,     3.000
GA14932-RA ,         1,    239270,    239478,1,     3.000
GA14578-RB ,         1,    239875,    240612,1,     3.000
GA14932-RA ,         2,    241011,    241359,1,     3.000
GA18965-RB ,         1,    243333,    243773,1,     3.000
GA18965-RB ,         2,    244015,    244189,1,     3.000
GA18965-RB ,         3,    244257,    244418,1,     3.000
GA18965-RB ,         4,    244726,    244877,1,     2.000
GA10816-RA ,         1,    245761,    246022,1,     1.607
GA10816-RA ,         2,    246095,    246675,1,     1.000
GA18393-RA ,         1,    247801,    247856,1,     0.000
GA18393-RA ,         2,    247925,    248675,1,     0.000
GA18393-RA ,         3,    248746,    249264,1,     0.000
GA24584-RB ,         1,    249642,    249989,1,     0.000
GA24584-RB ,         2,    250064,    250084,1,     0.000
GA18963-RB ,         1,    257477,    257890,1,     3.000
GA18963-RB ,         2,    257949,    258158,1,     3.000
GA18963-RB ,         3,    258224,    258590,1,     3.000
GA18963-RB ,         4,    258645,    258748,1,     3.000
GA18963-RB ,         5,    258805,    259072,1,     3.000
GA18963-RB ,         6,    259136,    259289,1,     3.000
GA18963-RB ,         7,    264751,    265029,1,     3.000
GA18963-RB ,         8,    265390,    265609,1,     3.000
GA11789-RA ,         1,    289508,    289516,1,     3.000
GA11789-RA ,         2,    289581,    289667,1,     3.000
GA11789-RA ,         3,    289733,    290044,1,     3.000
GA18958-RA ,         1,    290139,    292073,1,     3.000
GA18454-RA ,         1,    292622,    292675,1,     3.000
GA18454-RA ,         2,    292744,    294321,1,     3.000
GA18454-RA ,         3,    294378,    294929,1,     3.000
GA12362-RB ,         1,    295202,    295258,1,     3.000
GA12362-RB ,         2,    295317,    295472,1,     3.000
GA18956-RB ,         1,    295768,    296634,1,     3.000
GA12362-RB ,         3,    296931,    297095,1,     3.000
GA12362-RB ,         4,    297183,    297338,1,     3.000
GA24601-RD ,         1,    310959,    311027,1,     3.000
GA24601-RD ,         2,    317508,    317948,1,     3.000
GA24601-RD ,         3,    326373,    326468,1,     3.000
GA24601-RD ,         4,    337359,    337488,1,     5.000
GA24601-RD ,         5,    338090,    338364,1,     5.000
GA24601-RD ,         6,    339219,    339323,1,     5.000
GA24601-RD ,         7,    345720,    345862,1,     6.000
GA24601-RD ,         8,    346051,    346103,1,     6.000
GA24601-RD ,         9,    348358,    348484,1,     6.000
GA24601-RD ,        10,    348839,    349003,1,     7.000
GA24601-RD ,        11,    349077,    349308,1,     7.000
GA24601-RD ,        12,    349392,    349471,1,     7.000
GA24601-RD ,        13,    349685,    350496,1,     7.000
GA24601-RD ,        14,    352561,    352589,1,     6.000
GA24583-RA ,         1,    356609,    356874,1,     5.000
GA24583-RA ,         2,    356970,    357045,1,     5.000
GA21334-RA ,         1,    357936,    358250,1,     5.000
GA21334-RA ,         2,    358309,    358704,1,     5.000
GA21216-RA ,         1,    361338,    361385,1,     5.000
GA21216-RA ,         2,    361492,    361736,1,     5.000
GA21216-RA ,         3,    361799,    362053,1,     5.000
GA21216-RA ,         4,    362114,    364229,1,     5.000
GA21216-RA ,         5,    364298,    364458,1,     5.000
GA21216-RA ,         6,    364529,    364811,1,     5.565
GA21321-RA ,         1,    365536,    366496,1,     6.000
GA21321-RA ,         2,    366568,    366689,1,     6.000
GA21321-RA ,         3,    367463,    367697,1,     6.000
GA21321-RA ,         4,    367773,    367888,1,     6.000
GA21314-RA ,         1,    376406,    376983,1,     8.000
GA21314-RA ,         2,    377042,    377360,1,     8.000
GA21223-RB ,         1,    377886,    378696,1,     8.000
GA21223-RB ,         2,    378771,    378897,1,     8.000
GA21223-RB ,         3,    378955,    379361,1,     8.000
GA21223-RB ,         4,    379429,    379757,1,     8.112
GA21223-RB ,         5,    379821,    379895,1,     9.000
GA21223-RB ,         6,    379955,    380068,1,     9.000
GA21223-RB ,         7,    380133,    380177,1,     9.000
GA21235-RC ,         1,    384453,    384605,1,     6.000
GA21235-RC ,         2,    384667,    384826,1,     6.000
GA21235-RC ,         3,    384889,    384976,1,     6.000
GA21235-RC ,         4,    385041,    385432,1,     6.000
GA21235-RC ,         5,    385506,    386256,1,     6.000
