01a	63A	64B	1	250000
01b	63A	64B	250001	500000
01c	63A	64B	500001	750000
01d	63A	64B	750001	1000000
01e	63A	64B	1000001	1250000
01f	63A	64B	1250001	1500000
01g	63A	64B	1500001	1768582
02a	64C	65B	1768583	2000000
02b	64C	65B	2000001	2250000
02c	64C	65B	2250001	2504966
03a	65C	68B	2504967	2750000
03b	65C	68B	2750001	3000000
03c	65C	68B	3000001	3250000
03d	65C	68B	3250001	3500000
03e	65C	68B	3500001	3750000
03f	65C	68B	3750001	4000000
03g	65C	68B	4000001	4250000
03h	65C	68B	4250001	4500000
03i	65C	68B	4500001	4750000
03j	65C	68B	4750001	5000000
03k	65C	68B	5000001	5250000
03l	65C	68B	5250001	5500000
03m	65C	68B	5500001	5750000
03n	65C	68B	5750001	6000000
03o	65C	68B	6000001	6250000
03p	65C	68B	6250001	6500000
03q	65C	68B	6500001	6818602
04a	68C	69C	6818603	7000000
04b	68C	69C	7000001	7250000
04c	68C	69C	7250001	7500000
04d	68C	69C	7500001	7750000
04e	68C	69C	7750001	8027223
05a	69D	70A	8027224	8250000
05b	69D	70A	8250001	8500000
05c	69D	70A	8500001	8904164
06a	76B	76B	8904165	9163680
07a	76A	74C	9163681	9500000
07b	76A	74C	9500001	9750000
07c	76A	74C	9750001	10000000
07d	76A	74C	10000001	10250000
07e	76A	74C	10250001	10626174
08a	74B	70D	10626175	11000000
08b	74B	70D	11000001	11250000
08c	74B	70D	11250001	11500000
08d	74B	70D	11500001	11750000
08e	74B	70D	11750001	12000000
08f	74B	70D	12000001	12250000
08g	74B	70D	12250001	12500000
08h	74B	70D	12500001	12750000
08i	74B	70D	12750001	13000000
08j	74B	70D	13000001	13250000
08k	74B	70D	13250001	13500000
08l	74B	70D	13500001	13940325
09a	70C	70B	13940326	14250000
09b	70C	70B	14250001	14500000
09c	70C	70B	14500001	14832381
10a	76C	78A	14832382	15250000
10b	76C	78A	15250001	15656351
11a	78B	79A	15656352	16000000
11b	78B	79A	16000001	16250000
11c	78B	79A	16250001	16500000
11d	78B	79A	16500001	16750000
11e	78B	79A	16750001	17151447
12a	79B	79B	17151448	17545814
13a	79C	79D	17545815	17728080
14a	80A	80D	17728081	18000000
14b	80A	80D	18000001	18250000
14c	80A	80D	18250001	18500000
14d	80A	80D	18500001	18750000
14e	80A	80D	18750001	19000000
14f	80A	80D	19000001	19250000
14g	80A	80D	19250001	19500000
14h	80A	80D	19500001	19787792
