Region,Beg,End,Count
    1,      3873,      3905, 1.000
    2,      6305,    222499, 2.010
    3,    256208,    342340, 2.949
    4,    349787,    495018, 4.245
    5,    529600,    529765, 1.000
    6,    529864,    535801, 2.142
    7,    537059,    549987, 1.047
    8,    550168,    749990, 3.943
    9,    750386,    998853, 3.468
   10,   1002942,   1004752, 1.000
   11,   1006899,   1006971, 1.000
   12,   1011788,   1011789, 1.000
   13,   1012517,   1021737, 1.857
   14,   1024413,   1025534, 1.000
   15,   1026086,   1026101, 1.000
   16,   1028383,   1109279, 2.505
   17,   1109690,   1109691, 1.000
   18,   1110552,   1110903, 1.000
   19,   1111007,   1111008, 1.000
   20,   1111094,   1124191, 1.981
   21,   1128807,   1128911, 1.010
   22,   1130930,   1132286, 2.490
   23,   1132326,   1243199, 2.319
   24,   1246209,   1246468, 1.000
   25,   1249009,   1249019, 1.000
   26,   1249096,   1249109, 1.000
   27,   1251771,   1289432, 3.938
   28,   1291263,   1299335, 1.341
   29,   1302054,   1302103, 1.000
   30,   1302150,   1454460, 2.860
   31,   1454869,   1483502, 1.752
   32,   1488048,   1490039, 1.000
   33,   1494494,   1499963, 1.001
   34,   1500549,   1553160, 2.977
   35,   1554170,   1554272, 1.000
   36,   1556257,   1557165, 1.844
   37,   1557788,   1557802, 1.000
   38,   1560099,   1560136, 1.000
   39,   1561347,   1561888, 1.000
   40,   1563373,   1575909, 1.259
   41,   1599985,   1754391, 2.179
   42,   1760910,   1761856, 1.000
   43,   1765187,   1767005, 1.000
   44,   1770513,   1814129, 1.452
   45,   1814350,   1814360, 1.000
   46,   1814757,   1815328, 1.000
   47,   1817622,   1882502, 2.381
   48,   1886281,   1886341, 1.000
   49,   1888915,   1928567, 1.616
   50,   1933788,   1933889, 1.578
   51,   1934603,   1934831, 1.000
   52,   1937058,   1953384, 1.160
   53,   1956846,   1999131, 1.463
   54,   2001896,   2003634, 1.003
   55,   2005362,   2024914, 1.349
   56,   2037740,   2038539, 1.000
   57,   2046323,   2048484, 1.000
   58,   2055123,   2074733, 1.688
   59,   2075417,   2075668, 1.000
   60,   2076577,   2076908, 1.000
   61,   2077075,   2077988, 1.000
   62,   2079291,   2079297, 1.000
   63,   2083385,   2249354, 2.905
   64,   2252659,   2500936, 3.268
   65,   2503754,   2503943, 1.000
   66,   2509004,   2707713, 3.687
   67,   2707749,   2709741, 1.001
   68,   2711541,   2711542, 1.000
   69,   2713401,   2715462, 1.864
   70,   2716366,   2716859, 1.000
   71,   2717859,   2720101, 1.071
   72,   2720756,   2721020, 1.004
   73,   2722970,   2722973, 1.000
   74,   2723144,   2723147, 1.000
   75,   2723264,   2734313, 1.341
   76,   2734650,   2748790, 2.415
   77,   2750448,   2750766, 1.448
   78,   2750910,   2752020, 1.000
   79,   2752675,   2759943, 1.678
   80,   2760840,   2760841, 1.000
   81,   2761888,   2762749, 1.131
   82,   2762832,   2762835, 1.000
   83,   2767027,   2769303, 1.061
   84,   2772498,   2776483, 1.132
   85,   2777667,   2784355, 1.265
   86,   2785370,   2786168, 1.000
   87,   2786373,   2786391, 1.000
   88,   2792894,   2801731, 1.707
   89,   2803629,   2805104, 1.007
   90,   2808528,   2808783, 1.891
   91,   2810916,   2810967, 1.000
   92,   2812087,   2812214, 1.000
   93,   2817869,   2818489, 1.003
   94,   2819895,   2819960, 1.000
   95,   2821889,   2822106, 1.349
   96,   2823425,   2834945, 2.618
   97,   2837162,   2837442, 1.000
   98,   2838447,   2838685, 1.000
   99,   2838771,   2838788, 1.000
  100,   2841325,   2843787, 2.002
  101,   2844221,   2844222, 1.000
  102,   2845037,   2846257, 2.391
  103,   2847927,   2855694, 2.266
  104,   2856259,   2860347, 1.000
  105,   2860504,   2860676, 1.000
  106,   2863243,   2863283, 1.000
  107,   2864259,   2864292, 1.000
  108,   2865694,   2866202, 1.000
  109,   2866647,   2975860, 2.857
  110,   2976020,   2976103, 1.000
  111,   2976409,   2976465, 1.000
  112,   2976841,   2985076, 1.652
  113,   2986010,   2986097, 1.000
  114,   2988878,   2988950, 1.000
  115,   2991359,   2991389, 1.000
  116,   2995763,   2996565, 1.032
  117,   3000842,   3151276, 2.759
  118,   3152694,   3155777, 1.851
  119,   3158836,   3158854, 1.000
  120,   3160654,   3161790, 1.000
  121,   3161993,   3162005, 1.000
  122,   3162092,   3162105, 1.000
  123,   3162363,   3170115, 2.212
  124,   3170236,   3170383, 1.000
  125,   3170478,   3170488, 1.000
  126,   3171099,   3171164, 1.000
  127,   3171415,   3171710, 1.014
  128,   3173341,   3174653, 1.000
  129,   3175316,   3177679, 1.050
  130,   3178271,   3178311, 1.000
  131,   3178748,   3179488, 1.000
  132,   3179824,   3179830, 1.000
  133,   3183195,   3183270, 1.000
  134,   3184241,   3184651, 1.353
  135,   3185542,   3189693, 1.104
  136,   3190174,   3191761, 1.469
  137,   3194708,   3195313, 1.000
  138,   3195586,   3195589, 1.000
  139,   3195856,   3205946, 1.246
  140,   3207572,   3207901, 1.485
  141,   3208334,   3209913, 1.002
  142,   3210093,   3212626, 1.416
  143,   3213724,   3213749, 1.000
  144,   3214345,   3245835, 1.493
  145,   3246160,   3246194, 1.771
  146,   3246271,   3246334, 1.344
  147,   3250470,   3252011, 1.016
  148,   3257559,   3257560, 1.000
  149,   3257779,   3257802, 1.208
  150,   3257824,   3257988, 1.061
  151,   3259521,   3259678, 1.000
  152,   3261959,   3264708, 1.091
  153,   3266493,   3266602, 1.000
  154,   3266716,   3268142, 1.001
  155,   3272308,   3471144, 2.436
  156,   3473283,   3473647, 1.000
  157,   3475459,   3476167, 1.000
  158,   3478696,   3486877, 1.382
  159,   3489411,   3489589, 1.000
  160,   3489670,   3494535, 1.543
  161,   3495047,   3499791, 2.061
  162,   3500127,   3500460, 1.000
  163,   3500954,   3615363, 2.447
  164,   3615865,   3615868, 1.000
  165,   3616192,   3616501, 1.003
  166,   3616867,   3616869, 1.000
  167,   3617316,   3617647, 1.000
  168,   3618052,   3618673, 1.460
  169,   3618717,   3618745, 1.000
  170,   3619319,   3619322, 1.000
  171,   3619597,   3619618, 1.000
  172,   3620001,   3620485, 1.000
  173,   3620613,   3620628, 1.000
  174,   3622338,   3622341, 1.000
  175,   3623840,   3749815, 4.313
  176,   3750276,   3979341, 2.376
  177,   3979391,   3979507, 1.000
  178,   3980194,   3980207, 1.000
  179,   3980758,   3998940, 1.838
  180,   4005034,   4005066, 1.000
  181,   4006023,   4006028, 1.000
  182,   4007728,   4010397, 1.820
  183,   4011648,   4017793, 1.220
  184,   4018410,   4018436, 1.000
  185,   4019815,   4031888, 1.532
  186,   4033458,   4033459, 1.000
  187,   4034164,   4041875, 2.309
  188,   4042691,   4049551, 1.025
  189,   4050577,   4051180, 1.315
  190,   4051210,   4051248, 1.000
  191,   4053080,   4102525, 2.220
  192,   4103219,   4164257, 2.779
  193,   4169349,   4169868, 1.000
  194,   4170609,   4174992, 1.038
  195,   4179352,   4212920, 2.469
  196,   4213230,   4225538, 3.029
  197,   4227011,   4229401, 1.000
  198,   4232247,   4233158, 1.000
  199,   4233798,   4233810, 1.000
  200,   4237842,   4237843, 1.000
  201,   4237909,   4238221, 1.000
  202,   4240024,   4240072, 1.000
  203,   4240668,   4244319, 1.660
  204,   4244465,   4244467, 1.000
  205,   4244587,   4244593, 1.000
  206,   4245651,   4245659, 1.000
  207,   4248411,   4249954, 1.026
  208,   4250365,   4250425, 1.000
  209,   4250645,   4255397, 1.401
  210,   4255978,   4256008, 1.000
  211,   4256844,   4256846, 1.000
  212,   4257259,   4259764, 1.259
  213,   4260446,   4260473, 1.000
  214,   4262511,   4262551, 1.122
  215,   4262666,   4263020, 1.000
  216,   4265474,   4265532, 1.000
  217,   4265844,   4266043, 1.000
  218,   4267077,   4270617, 1.147
  219,   4271148,   4272016, 1.000
  220,   4272480,   4272496, 1.000
  221,   4273013,   4279544, 1.110
  222,   4279872,   4280841, 1.000
  223,   4281818,   4289334, 1.702
  224,   4290231,   4291188, 1.139
  225,   4292462,   4292464, 1.000
  226,   4292991,   4293072, 1.000
  227,   4293165,   4299860, 2.038
  228,   4300106,   4300184, 1.000
  229,   4300259,   4300438, 1.000
  230,   4303274,   4303279, 1.000
  231,   4304100,   4304202, 1.000
  232,   4305012,   4305259, 1.000
  233,   4305992,   4307259, 1.006
  234,   4308446,   4308886, 1.000
  235,   4312913,   4328113, 2.050
  236,   4329461,   4333977, 1.114
  237,   4336225,   4336406, 1.000
  238,   4336909,   4336920, 1.000
  239,   4337530,   4346272, 1.360
  240,   4347090,   4347206, 1.000
  241,   4347363,   4347413, 1.000
  242,   4348163,   4348214, 1.000
  243,   4355928,   4364670, 1.159
  244,   4365279,   4365630, 1.011
  245,   4366338,   4375034, 1.154
  246,   4376355,   4377904, 1.000
  247,   4378333,   4382485, 1.005
  248,   4390219,   4390458, 1.000
  249,   4391137,   4412790, 2.664
  250,   4413047,   4413053, 1.000
  251,   4414316,   4414473, 1.000
  252,   4414973,   4414988, 1.000
  253,   4415695,   4416818, 1.119
  254,   4417344,   4418394, 1.211
  255,   4418737,   4424489, 1.860
  256,   4426914,   4427895, 1.002
  257,   4430900,   4431116, 1.000
  258,   4431465,   4433303, 1.837
  259,   4438591,   4438894, 1.000
  260,   4443242,   4443843, 1.000
  261,   4446935,   4458930, 2.555
  262,   4459062,   4460015, 1.009
  263,   4461648,   4461652, 1.000
  264,   4461791,   4461792, 1.000
  265,   4462117,   4462168, 1.577
  266,   4465314,   4465315, 1.000
  267,   4465471,   4465477, 1.000
  268,   4466396,   4467077, 1.000
  269,   4468437,   4472537, 1.373
  270,   4472750,   4474113, 1.000
  271,   4474514,   4474524, 1.000
  272,   4475115,   4475562, 1.049
  273,   4478750,   4479785, 1.149
  274,   4479916,   4489080, 2.070
  275,   4491450,   4499743, 2.046
  276,   4499775,   4499784, 1.000
  277,   4501577,   4501597, 1.000
  278,   4503202,   4512091, 1.905
  279,   4512386,   4514986, 1.010
  280,   4520634,   4520736, 1.000
  281,   4521320,   4524624, 1.788
  282,   4531141,   4531555, 1.000
  283,   4533373,   4533379, 1.000
  284,   4534605,   4534944, 1.012
  285,   4537938,   4537939, 1.000
  286,   4538018,   4538073, 1.000
  287,   4539664,   4539683, 1.500
  288,   4539952,   4540089, 1.000
  289,   4541484,   4543694, 1.004
  290,   4544360,   4545805, 1.337
  291,   4549265,   4549267, 1.000
  292,   4550425,   4550426, 1.000
  293,   4550568,   4553035, 1.361
  294,   4553749,   4553755, 1.000
  295,   4554315,   4554316, 1.000
  296,   4555836,   4555929, 1.043
  297,   4558011,   4559576, 1.196
  298,   4560046,   4568003, 1.783
