SubRegion	GC_Beg	GC_End	ST_Beg	ST_End	ST_Ori	ABeg	AEnd
01a	80063	88800	1	250000	1	80063	88800
01a	82300	88800	1	250000	1	82300	88800
01a	91387	110260	1	250000	1	91387	110260
01a	102818	110260	1	250000	1	102818	110260
01a	115201	168900	1	250000	1	115201	168900
01a	126252	148568	1	250000	1	126252	148568
01a	130586	146318	1	250000	1	130586	146318
01a	167908	206815	1	250000	1	167908	206815
01a	168900	198245	1	250000	1	168900	198245
01a	185693	200704	1	250000	1	185693	200704
01a	201575	206815	1	250000	1	201575	206815
01a	205531	238923	1	250000	1	205531	238923
01a	208001	238923	1	250000	1	208001	238923
01a	227866	238923	1	250000	1	227866	238923
01a	232281	238923	1	250000	1	232281	238923
01b	38322	54375	250001	500000	1	288322	304375
01b	50119	50966	250001	500000	1	300119	300966
01b	50119	50898	250001	500000	1	300119	300898
01b	56989	59611	250001	500000	1	306989	309611
01b	58065	87461	250001	500000	1	308065	337461
01b	59819	63241	250001	500000	1	309819	313241
01b	71474	145575	250001	500000	1	321474	395575
01b	76994	80902	250001	500000	1	326994	330902
01b	79816	79866	250001	500000	1	329816	329866
01b	84390	201959	250001	500000	1	334390	451959
01b	84390	86571	250001	500000	1	334390	336571
01b	97790	121475	250001	500000	1	347790	371475
01b	106033	136723	250001	500000	1	356033	386723
01b	106033	116238	250001	500000	1	356033	366238
01b	107824	117367	250001	500000	1	357824	367367
01b	136723	174070	250001	500000	1	386723	424070
01b	213300	215081	250001	500000	1	463300	465081
01b	228662	249971	250001	500000	1	478662	499971
01b	228662	237734	250001	500000	1	478662	487734
01b	229745	237734	250001	500000	1	479745	487734
01c	2448	74057	500001	750000	1	502448	574057
01c	2448	157599	500001	750000	1	502448	657599
01c	2448	61236	500001	750000	1	502448	561236
01c	26077	34820	500001	750000	1	526077	534820
01c	26834	35290	500001	750000	1	526834	535290
01c	26834	33362	500001	750000	1	526834	533362
01c	27606	29309	500001	750000	1	527606	529309
01c	27613	30672	500001	750000	1	527613	530672
01c	31881	198259	500001	750000	1	531881	698259
01c	39325	57839	500001	750000	1	539325	557839
01c	43485	45977	500001	750000	1	543485	545977
01c	45977	63609	500001	750000	1	545977	563609
01c	50889	57839	500001	750000	1	550889	557839
01c	58010	59788	500001	750000	1	558010	559788
01c	63594	63609	500001	750000	1	563594	563609
01c	70559	72788	500001	750000	1	570559	572788
01c	71870	72036	500001	750000	1	571870	572036
01c	75227	75276	500001	750000	1	575227	575276
01c	95765	144556	500001	750000	1	595765	644556
01c	95765	105184	500001	750000	1	595765	605184
01c	95765	95872	500001	750000	1	595765	595872
01c	107653	107733	500001	750000	1	607653	607733
01c	113234	117768	500001	750000	1	613234	617768
01c	114669	117768	500001	750000	1	614669	617768
01c	114669	117231	500001	750000	1	614669	617231
01c	117231	117768	500001	750000	1	617231	617768
01c	124190	124208	500001	750000	1	624190	624208
01c	131600	154784	500001	750000	1	631600	654784
01c	131600	133635	500001	750000	1	631600	633635
01c	132315	175207	500001	750000	1	632315	675207
01c	144556	150317	500001	750000	1	644556	650317
01c	150132	150140	500001	750000	1	650132	650140
01c	155222	155782	500001	750000	1	655222	655782
01c	169766	170840	500001	750000	1	669766	670840
01c	175207	175224	500001	750000	1	675207	675224
01c	177817	184824	500001	750000	1	677817	684824
01c	177817	177842	500001	750000	1	677817	677842
01c	182105	210378	500001	750000	1	682105	710378
01c	183456	185083	500001	750000	1	683456	685083
01c	184655	184666	500001	750000	1	684655	684666
01c	184821	184824	500001	750000	1	684821	684824
01c	190852	241401	500001	750000	1	690852	741401
01c	203094	206478	500001	750000	1	703094	706478
01c	203094	203179	500001	750000	1	703094	703179
01c	203094	219606	500001	750000	1	703094	719606
01c	203094	225080	500001	750000	1	703094	725080
01c	203179	206478	500001	750000	1	703179	706478
01c	205711	205735	500001	750000	1	705711	705735
01c	210353	211047	500001	750000	1	710353	711047
01c	215277	215283	500001	750000	1	715277	715283
01c	220429	220437	500001	750000	1	720429	720437
01c	221644	233172	500001	750000	1	721644	733172
01c	237187	249990	500001	750000	1	737187	749990
01c	241401	245105	500001	750000	1	741401	745105
01d	221	386	750001	1000000	1	750221	750386
01d	2017	45398	750001	1000000	1	752017	795398
01d	4763	19173	750001	1000000	1	754763	769173
01d	8495	8530	750001	1000000	1	758495	758530
01d	27405	27440	750001	1000000	1	777405	777440
01d	31539	32093	750001	1000000	1	781539	782093
01d	32773	79443	750001	1000000	1	782773	829443
01d	41818	55620	750001	1000000	1	791818	805620
01d	43990	55620	750001	1000000	1	793990	805620
01d	63658	76292	750001	1000000	1	813658	826292
01d	64491	69464	750001	1000000	1	814491	819464
01d	76086	76095	750001	1000000	1	826086	826095
01d	76631	79367	750001	1000000	1	826631	829367
01d	78820	78839	750001	1000000	1	828820	828839
01d	78820	90814	750001	1000000	1	828820	840814
01d	79162	79367	750001	1000000	1	829162	829367
01d	79975	79981	750001	1000000	1	829975	829981
01d	92874	92886	750001	1000000	1	842874	842886
01d	94530	104190	750001	1000000	1	844530	854190
01d	104190	118058	750001	1000000	1	854190	868058
01d	107149	109256	750001	1000000	1	857149	859256
01d	110933	115131	750001	1000000	1	860933	865131
01d	113051	113074	750001	1000000	1	863051	863074
01d	113403	125127	750001	1000000	1	863403	875127
01d	123613	134061	750001	1000000	1	873613	884061
01d	126601	135567	750001	1000000	1	876601	885567
01d	127453	127877	750001	1000000	1	877453	877877
01d	133680	137123	750001	1000000	1	883680	887123
01d	139821	143084	750001	1000000	1	889821	893084
01d	159046	159311	750001	1000000	1	909046	909311
01d	163161	166213	750001	1000000	1	913161	916213
01d	166601	188935	750001	1000000	1	916601	938935
01d	166601	176545	750001	1000000	1	916601	926545
01d	166601	188087	750001	1000000	1	916601	938087
01d	185585	194243	750001	1000000	1	935585	944243
01d	185585	185729	750001	1000000	1	935585	935729
01d	185585	190256	750001	1000000	1	935585	940256
01d	188819	188852	750001	1000000	1	938819	938852
01d	188852	188935	750001	1000000	1	938852	938935
01d	196654	196655	750001	1000000	1	946654	946655
