SubRegion	GC_Beg	GC_End	TL_Beg	TL_End	TL_Ori	ABeg	AEnd
01a	3873	3905	1	250000	1	3873	3905
01a	6305	61027	1	250000	1	6305	61027
01a	6305	8248	1	250000	1	6305	8248
01a	8248	109178	1	250000	1	8248	109178
01a	65491	82831	1	250000	1	65491	82831
01a	70134	78660	1	250000	1	70134	78660
01a	74671	170982	1	250000	1	74671	170982
01a	78660	80063	1	250000	1	78660	80063
01a	80063	103696	1	250000	1	80063	103696
01a	83557	88435	1	250000	1	83557	88435
01a	92297	95186	1	250000	1	92297	95186
01a	95848	109178	1	250000	1	95848	109178
01a	118727	118872	1	250000	1	118727	118872
01a	134298	139892	1	250000	1	134298	139892
01a	163694	199117	1	250000	1	163694	199117
01a	165809	189422	1	250000	1	165809	189422
01a	165809	170383	1	250000	1	165809	170383
01a	185693	208001	1	250000	1	185693	208001
01a	205531	222499	1	250000	1	205531	222499
01b	6208	74778	250001	500000	1	256208	324778
01b	11269	14005	250001	500000	1	261269	264005
01b	11269	85268	250001	500000	1	261269	335268
01b	15537	55282	250001	500000	1	265537	305282
01b	52114	54657	250001	500000	1	302114	304657
01b	53886	76705	250001	500000	1	303886	326705
01b	60878	66729	250001	500000	1	310878	316729
01b	61331	61339	250001	500000	1	311331	311339
01b	64750	64751	250001	500000	1	314750	314751
01b	69919	91420	250001	500000	1	319919	341420
01b	70856	71098	250001	500000	1	320856	321098
01b	73289	73359	250001	500000	1	323289	323359
01b	74778	76705	250001	500000	1	324778	326705
01b	75725	75922	250001	500000	1	325725	325922
01b	76478	78044	250001	500000	1	326478	328044
01b	78044	82313	250001	500000	1	328044	332313
01b	79731	81217	250001	500000	1	329731	331217
01b	85516	85605	250001	500000	1	335516	335605
01b	86570	92340	250001	500000	1	336570	342340
01b	86958	87572	250001	500000	1	336958	337572
01b	99787	120246	250001	500000	1	349787	370246
01b	102254	109045	250001	500000	1	352254	359045
01b	102852	107827	250001	500000	1	352852	357827
01b	103088	181195	250001	500000	1	353088	431195
01b	105961	118967	250001	500000	1	355961	368967
01b	113584	117367	250001	500000	1	363584	367367
01b	114852	141174	250001	500000	1	364852	391174
01b	118513	133787	250001	500000	1	368513	383787
