"","Tract","freq"
"1","01a_AR_DM1015_ 173321_173322",1
"2","01a_AR_DM1015_ 28326_87062",1
"3","01a_AR_DM1015_ 64766_146318",1
"4","01a_AR_DM1015_ 74344_102136",1
"5","01a_AR_DM1050_ 151318_152059",1
"6","01a_AR_DM1050_ 173322_193155",1
"7","01a_AR_DM1050_ 78105_78115",1
"8","01a_AR_DM1050_ 80063_80129",1
"9","01a_AR_DM1056_ 163694_210797",1
"10","01a_AR_DM1056_ 168814_168899",1
"11","01a_AR_DM1056_ 236334_238841",1
"12","01a_AR_DM1088_ 200337_245983",1
"13","01a_AR_KB652_ 72323_82831",1
"14","01a_AR_KB652_ 83565_87769",1
"15","01a_AR_KB827_ 141206_193155",1
"16","01a_AR_KB827_ 167801_168839",1
"17","01a_AR_KB827_ 168839_193155",1
"18","01a_AR_KB827_ 200157_245725",1
"19","01a_AR_KB945_ 215512_237507",1
"20","01a_AR_KB945_ 4753_68236",2
"21","01a_AR_KB945_ 4753_93293",1
"22","01a_AR_KB945_ 4753_98301",1
"23","01a_AR_KB945_ 76960_82831",1
"24","01a_AR_KB945_ 8248_64836",1
"25","01a_AR_KB945_ 83565_85663",1
"26","01a_AR_MSH126_ 244207_248734",1
"27","01a_AR_MSH126_ 244391_248734",1
"28","01a_AR_MSH126_ 69780_202408",1
"29","01a_AR_MSH51_ 180506_182350",1
"30","01a_AR_MSH51_ 220090_230563",1
"31","01a_AR_REF_ 112302_216526",1
"32","01a_AR_REF_ 120330_176881",1
"33","01a_AR_REF_ 126252_152312",1
"34","01a_AR_REF_ 214859_216526",2
"35","01a_AR_REF_ 216325_216526",1
"36","01a_CH_JR20_ 166442_206815",1
"37","01a_CH_JR20_ 185337_219540",1
"38","01a_CH_JR20_ 185337_245919",1
"39","01a_CH_JR20_ 213508_215050",1
"40","01a_CH_JR20_ 216604_247607",1
"41","01a_CH_JR20_ 27159_66364",1
"42","01a_CH_JR20_ 3723_7474",1
"43","01a_CH_JR20_ 76960_163301",1
"44","01a_CH_JR356_ 173321_199117",2
"45","01a_CH_JR356_ 185741_244696",1
"46","01a_CH_JR356_ 79357_185741",1
"47","01a_CH_JR377_ 196514_196528",1
"48","01a_CH_JR377_ 212933_222499",1
"49","01a_CH_JR377_ 88794_95747",1
"50","01a_CH_JR4_ 208135_215418",1
"51","01a_CH_JR4_ 78375_108654",1
"52","01a_CH_KB888_ 118727_145549",1
"53","01a_PP_BdA1134-13_ 130586_130611",2
"54","01a_PP_BdA1137-10_ 207860_208001",1
"55","01a_PP_DM1020_ 13581_14522",2
