SubRegion	GC_Beg	GC_End	CH_Beg	CH_End	CH_Ori	ABeg	AEnd
01a	3723	7474	1	250000	1	3723	7474
01a	27159	66364	1	250000	1	27159	66364
01a	76960	163301	1	250000	1	76960	163301
01a	78375	108654	1	250000	1	78375	108654
01a	79357	185741	1	250000	1	79357	185741
01a	88794	95747	1	250000	1	88794	95747
01a	118727	145549	1	250000	1	118727	145549
01a	166442	206815	1	250000	1	166442	206815
01a	173321	199117	1	250000	1	173321	199117
01a	185337	245919	1	250000	1	185337	245919
01a	185337	219540	1	250000	1	185337	219540
01a	185741	244696	1	250000	1	185741	244696
01a	196514	196528	1	250000	1	196514	196528
01a	208135	215418	1	250000	1	208135	215418
01a	212933	222499	1	250000	1	212933	222499
01a	213508	215050	1	250000	1	213508	215050
01a	216604	247607	1	250000	1	216604	247607
01b	167	52114	250001	500000	1	250167	302114
01b	6011	64556	250001	500000	1	256011	314556
01b	6796	55709	250001	500000	1	256796	305709
01b	48204	69248	250001	500000	1	298204	319248
01b	50072	50096	250001	500000	1	300072	300096
01b	55380	74877	250001	500000	1	305380	324877
01b	61353	114852	250001	500000	1	311353	364852
01b	65991	65999	250001	500000	1	315991	315999
01b	66001	66727	250001	500000	1	316001	316727
01b	69248	78044	250001	500000	1	319248	328044
01b	71929	71934	250001	500000	1	321929	321934
01b	71929	79816	250001	500000	1	321929	329816
01b	73252	73359	250001	500000	1	323252	323359
01b	74857	74877	250001	500000	1	324857	324877
01b	77956	160030	250001	500000	1	327956	410030
01b	78902	78904	250001	500000	1	328902	328904
01b	80719	191330	250001	500000	1	330719	441330
01b	81632	81633	250001	500000	1	331632	331633
01b	82313	133787	250001	500000	1	332313	383787
01b	84225	84226	250001	500000	1	334225	334226
01b	84354	93424	250001	500000	1	334354	343424
01b	91408	102780	250001	500000	1	341408	352780
01b	93059	93424	250001	500000	1	343059	343424
01b	93957	94689	250001	500000	1	343957	344689
01b	94689	211863	250001	500000	1	344689	461863
01b	98738	101588	250001	500000	1	348738	351588
01b	114652	160878	250001	500000	1	364652	410878
01b	115519	138397	250001	500000	1	365519	388397
01b	123458	158302	250001	500000	1	373458	408302
01b	124552	133594	250001	500000	1	374552	383594
01b	129721	133569	250001	500000	1	379721	383569
01b	136278	166050	250001	500000	1	386278	416050
01b	138558	151498	250001	500000	1	388558	401498
01b	158332	160030	250001	500000	1	408332	410030
01b	164023	206154	250001	500000	1	414023	456154
01b	185691	187235	250001	500000	1	435691	437235
01b	186809	187235	250001	500000	1	436809	437235
01b	191290	191330	250001	500000	1	441290	441330
01b	196318	199267	250001	500000	1	446318	449267
01b	196359	206154	250001	500000	1	446359	456154
01b	196359	196993	250001	500000	1	446359	446993
01b	196359	224526	250001	500000	1	446359	474526
01b	211091	225461	250001	500000	1	461091	475461
01b	211773	211946	250001	500000	1	461773	461946
01b	211773	211863	250001	500000	1	461773	461863
01b	219522	219523	250001	500000	1	469522	469523
01b	237778	239358	250001	500000	1	487778	489358
01c	26834	30702	500001	750000	1	526834	530702
01c	26834	55594	500001	750000	1	526834	555594
01c	32432	34820	500001	750000	1	532432	534820
01c	33494	46888	500001	750000	1	533494	546888
01c	34136	37195	500001	750000	1	534136	537195
01c	39306	55594	500001	750000	1	539306	555594
01c	42645	43186	500001	750000	1	542645	543186
01c	42645	43485	500001	750000	1	542645	543485
01c	50889	59788	500001	750000	1	550889	559788
01c	55884	59788	500001	750000	1	555884	559788
01c	57049	60957	500001	750000	1	557049	560957
01c	58421	62143	500001	750000	1	558421	562143
01c	59570	60957	500001	750000	1	559570	560957
01c	61186	74057	500001	750000	1	561186	574057
01c	67819	67835	500001	750000	1	567819	567835
01c	68347	68932	500001	750000	1	568347	568932
01c	68770	68932	500001	750000	1	568770	568932
01c	70551	74222	500001	750000	1	570551	574222
01c	71676	72880	500001	750000	1	571676	572880
01c	71676	73325	500001	750000	1	571676	573325
01c	72880	218684	500001	750000	1	572880	718684
01c	72915	72921	500001	750000	1	572915	572921
01c	74714	114669	500001	750000	1	574714	614669
01c	75211	75367	500001	750000	1	575211	575367
01c	75211	75239	500001	750000	1	575211	575239
